Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Down;54700;UAU;1936;1936;1936;1936;3;7;0;2;0;5;2;M567010;1936;1990;1960;x
Anderson;54701;UAU;1936;1936;1936;1936;3;7;0;1;0;5;1;L54001;1936;1990;1960;x
Barker;54702;UAU;1936;1936;1990;1990;3;7;0;0;0;5;1;L54002;1936;1990;1960;x
Beavis;54703;UAU;1936;1936;1990;1990;3;7;0;1;0;5;0;L54003;1936;1990;1960;x
Bennett;54704;UAU;1936;1936;1936;1990;3;7;0;1;0;5;0;L54004;1936;1990;1960;x
Berryman;54705;UAU;1936;1936;1990;1990;3;7;0;0;0;5;0;L54005;1936;1990;1960;x
Castro Saïs;54706;UAU;1936;1936;1990;1990;3;7;0;0;0;5;2;L45280;1936;1990;1960;x
Blackburn;54707;UAU;1936;1990;1990;1990;3;7;0;1;0;5;0;L54007;1936;1990;1960;x
Blamey;54708;UAU;1936;1990;1990;1990;3;7;0;0;0;5;0;L54008;1936;1990;1960;x
Boase;54709;UAU;1936;1990;1990;1990;3;7;0;2;0;5;1;L54009;1936;1990;1960;x
Bridgeford;54710;UAU;1936;1990;1990;1990;3;7;0;1;0;5;0;L54010;1936;1990;1960;x
Burrows F.A.;54711;UAU;1936;1990;1990;1990;3;7;0;0;0;5;0;L54011;1936;1990;1960;x
Callaghan;54712;UAU;1936;1990;1990;1990;3;7;0;1;0;5;0;L54012;1936;1990;1960;x
Cameron;54713;UAU;1936;1990;1990;1990;3;7;0;2;0;5;0;L54013;1936;1990;1960;x
Cannan;54714;UAU;1936;1936;1990;1990;3;7;0;0;0;5;1;L54014;1936;1990;1960;x
Clowes;54715;UAU;1936;1936;1990;1990;3;7;0;1;0;5;0;L54015;1936;1990;1960;x
Cremor;54716;UAU;1936;1990;1990;1990;3;7;0;0;0;5;0;L54016;1936;1990;1960;x
Dougherty;54717;UAU;1936;1936;1936;1936;3;7;0;1;0;5;0;L54017;1936;1990;1960;x
Eastick;54718;UAU;1936;1990;1990;1990;3;7;0;0;0;5;0;L54018;1936;1990;1960;x
Eather;54719;UAU;1936;1990;1990;1990;3;7;0;0;0;5;0;L54019;1936;1990;1960;x
Evans;54720;UAU;1936;1990;1990;1990;3;7;0;1;0;5;1;L54020;1936;1990;1960;x
Fergusson;54721;UAU;1936;1936;1936;1990;3;7;0;0;0;5;0;L54021;1936;1990;1960;x
Field J.;54722;UAU;1936;1936;1990;1990;3;7;0;0;0;5;0;L54022;1936;1990;1960;x
Godfrey;54723;UAU;1936;1936;1936;1990;3;7;0;0;0;5;0;L54023;1936;1990;1960;x
Mata;54724;UAU;1936;1936;1936;1990;3;7;0;0;0;5;2;L430038;1936;1990;1960;x
Keatinge;54725;UAU;1936;1936;1936;1990;3;7;0;2;0;5;1;L54025;1936;1990;1960;x
King;54726;UAU;1936;1990;1990;1990;3;7;0;1;0;5;0;L54026;1936;1990;1960;x
Langley;54727;UAU;1936;1990;1990;1990;3;7;0;0;0;5;0;L54027;1936;1990;1960;x
Lavarack;54728;UAU;1936;1990;1990;1990;3;7;0;0;0;5;0;L54028;1936;1990;1960;x
Lind;54729;UAU;1936;1990;1990;1990;3;7;0;1;0;5;0;L54029;1936;1990;1960;x
Lloyd  C.E.M.;54730;UAU;1936;1990;1990;1990;3;7;0;2;0;5;1;L54030;1936;1990;1960;x
