Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Bai Chongxi;5370000;UCH;1936;1936;1936;1936;3;7;0;2;0;5;2;L50000;1936;1960;1960;x
Zhang Zhen;5370001;UCH;1936;1936;1936;1936;3;7;0;1;0;5;1;L50001;1936;1960;1960;x
Zhang Zhenn;5370002;UCH;1936;1936;1990;1990;3;7;0;0;0;5;1;L50002;1936;1960;1960;x
Zhang Chi;5370003;UCH;1936;1936;1990;1990;3;7;0;1;0;5;0;L50003;1936;1960;1960;x
Zhang Zhizhong;5370004;UCH;1936;1936;1936;1990;3;7;0;1;0;5;0;L50004;1936;1960;1960;x
Chang Enduo;5370005;UCH;1936;1936;1990;1990;3;7;0;0;0;5;0;L50005;1936;1960;1960;x
Zhang Fakui;5370006;UCH;1936;1936;1990;1990;3;7;0;0;0;5;2;L50006;1936;1960;1960;x
Zhang Fang;5370007;UCH;1936;1990;1990;1990;3;7;0;1;0;5;0;L50007;1936;1960;1960;x
Zhang Xuxing;5370008;UCH;1936;1990;1990;1990;3;7;0;0;0;5;0;L50008;1936;1960;1960;x
Zhang Xuzi;5370009;UCH;1936;1990;1990;1990;3;7;0;2;0;5;1;L50009;1936;1960;1960;x
Zhang Xuezhong;5370010;UCH;1936;1990;1990;1990;3;7;0;1;0;5;0;L50010;1936;1960;1960;x
Zhang Xueliang;5370011;UCH;1936;1990;1990;1990;3;7;0;0;0;5;0;L50011;1936;1960;1960;x
Zhang Gan;5370012;UCH;1936;1990;1990;1990;3;7;0;1;0;5;0;L50012;1936;1960;1960;x
Zhang Kexia;5370013;UCH;1936;1990;1990;1990;3;7;0;2;0;5;0;L50013;1936;1960;1960;x
Zhang Lingfu;5370014;UCH;1936;1936;1990;1990;3;7;0;0;0;5;1;L50014;1936;1960;1960;x
Zhang Shixi;5370015;UCH;1936;1936;1990;1990;3;7;0;1;0;5;0;L50015;1936;1960;1960;x
Zhang Zizhong;5370016;UCH;1936;1990;1990;1990;3;7;0;0;0;5;0;L50016;1936;1960;1960;x
Zhang Dulun;5370017;UCH;1936;1936;1936;1936;3;7;0;1;0;5;0;L50017;1936;1960;1960;x
Zhang Yan;5370018;UCH;1936;1990;1990;1990;3;7;0;0;0;5;0;L50018;1936;1960;1960;x
Zhang Yaoming;5370019;UCH;1936;1990;1990;1990;3;7;0;0;0;5;0;L50019;1936;1960;1960;x
Zhang Yinwu;5370020;UCH;1936;1990;1990;1990;3;7;0;1;0;5;1;L50020;1936;1960;1960;x
Zhao Chengshou;5370021;UCH;1936;1936;1936;1990;3;7;0;0;0;5;0;L50021;1936;1960;1960;x
Zhao Jiaxiang;5370022;UCH;1936;1936;1990;1990;3;7;0;0;0;5;0;L50022;1936;1960;1960;x
Zhao Xizhang;5370023;UCH;1936;1936;1936;1990;3;7;0;0;0;5;0;L50023;1936;1960;1960;x
Zhao Hong Wenguo;5370024;UCH;1936;1936;1936;1990;3;7;0;0;0;5;2;L50024;1936;1960;1960;x
Zhao Guoping;5370025;UCH;1936;1936;1936;1990;3;7;0;2;0;5;1;L50025;1936;1960;1960;x
Zhao Shoushan;5370026;UCH;1936;1990;1990;1990;3;7;0;1;0;5;0;L50026;1936;1960;1960;x
Zhao Dengyu;5370027;UCH;1936;1990;1990;1990;3;7;0;0;0;5;0;L50027;1936;1960;1960;x
Chen Anbao;5370028;UCH;1936;1990;1990;1990;3;7;0;0;0;5;0;L50028;1936;1960;1960;x
Chen Changjie;5370029;UCH;1936;1990;1990;1990;3;7;0;1;0;5;0;L50029;1936;1960;1960;x
Chen Cheng;5370030;UCH;1936;1990;1990;1990;3;7;0;2;0;5;1;L50030;1936;1960;1960;x
Chen Jitang;5370031;UCH;1936;1936;1990;1990;3;7;0;1;0;5;0;L50031;1936;1960;1960;x
Chen Jihuan;5370032;UCH;1936;1936;1990;1990;3;7;0;0;0;5;1;L50032;1936;1960;1960;x
Chen Gongxia;5370033;UCH;1936;1936;1936;1936;3;7;0;0;0;5;0;L50033;1936;1960;1960;x
Chen Mingren;5370034;UCH;1936;1936;1936;1936;3;7;0;1;0;5;1;L50034;1936;1960;1960;x
Chen Daqing;5370035;UCH;1936;1936;1990;1990;3;7;0;0;0;5;0;L50035;1936;1960;1960;x
Chen Tie;5370036;UCH;1936;1936;1936;1990;3;7;0;2;0;5;0;L50036;1936;1960;1960;x
Chen Wanren;5370037;UCH;1936;1936;1936;1990;3;7;0;0;0;5;0;L50037;1936;1960;1960;x
Chen Wenqi;5370038;UCH;1936;1936;1936;1990;3;7;0;1;0;5;0;L50038;1936;1960;1960;x
Zheng Tingzhen;5370039;UCH;1936;1936;1990;1990;3;7;0;0;0;5;1;L50039;1936;1960;1960;x
