Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Afrosimov;11700;UER;1936;1936;1936;1936;3;7;0;2;0;5;2;L9802;1936;1960;1960;x
Ahlyustin;11701;UER;1936;1936;1936;1936;3;7;0;1;0;5;1;L9803;1936;1960;1960;x
Ahmanov;11702;UER;1936;1936;1990;1990;3;7;0;0;0;5;1;L9804;1936;1960;1960;x
Alekhin;11703;UER;1936;1936;1990;1990;3;7;0;1;0;5;0;L9805;1936;1960;1960;x
Alekseenko;11704;UER;1936;1936;1936;1990;3;7;0;1;0;5;0;L9807;1936;1960;1960;x
Andreev;11705;UER;1936;1936;1990;1990;3;7;0;0;0;5;0;L9809;1936;1960;1960;x
Anisimov;11706;UER;1936;1936;1990;1990;3;7;0;0;0;5;2;L9810;1936;1960;1960;x
Anikushkin;11707;UER;1936;1990;1990;1990;3;7;0;1;0;5;0;L9811;1936;1960;1960;x
Apanasenko;11708;UER;1936;1990;1990;1990;3;7;0;0;0;5;0;L9814;1936;1960;1960;x
Argunov;11709;UER;1936;1990;1990;1990;3;7;0;2;0;5;1;L9815;1936;1960;1960;x
Artemenko;11710;UER;1936;1990;1990;1990;3;7;0;1;0;5;0;L9816;1936;1960;1960;x
Aseichev;11711;UER;1936;1990;1990;1990;3;7;0;0;0;5;0;L9818;1936;1960;1960;x
Aslanov;11712;UER;1936;1990;1990;1990;3;7;0;1;0;5;0;L9819;1936;1960;1960;x
Babadzhanian;11713;UER;1936;1990;1990;1990;3;7;0;2;0;5;0;L9820;1936;1960;1960;x
Babayan;11714;UER;1936;1936;1990;1990;3;7;0;0;0;5;1;L9821;1936;1960;1960;x
Badanov;11715;UER;1936;1936;1990;1990;3;7;0;1;0;5;0;L9822;1936;1960;1960;x
Bagramian;11716;UER;1936;1990;1990;1990;3;7;0;0;0;5;0;L9823;1936;1960;1960;x
Baharov;11717;UER;1936;1936;1936;1936;3;7;0;1;0;5;0;L9824;1936;1960;1960;x
Barinov;11718;UER;1936;1990;1990;1990;3;7;0;0;0;5;0;L9829;1936;1960;1960;x
Batitskij;11719;UER;1936;1990;1990;1990;3;7;0;0;0;5;0;L9830;1936;1960;1960;x
Batiuk;11720;UER;1936;1990;1990;1990;3;7;0;1;0;5;1;L9831;1936;1960;1960;x
Batiuna;11721;UER;1936;1936;1936;1990;3;7;0;0;0;5;0;L9832;1936;1960;1960;x
Beletsko;11722;UER;1936;1936;1990;1990;3;7;0;0;0;5;0;L9834;1936;1960;1960;x
Beloborodov;11723;UER;1936;1936;1936;1990;3;7;0;0;0;5;0;L9836;1936;1960;1960;x
Belous;11724;UER;1936;1936;1936;1990;3;7;0;0;0;5;2;L9837;1936;1960;1960;x
Berezin;11725;UER;1936;1936;1936;1990;3;7;0;2;0;5;1;L9842;1936;1960;1960;x
Berman;11726;UER;1936;1990;1990;1990;3;7;0;1;0;5;0;L9843;1936;1960;1960;x
Bikzhanov;11727;UER;1936;1990;1990;1990;3;7;0;0;0;5;0;L9845;1936;1960;1960;x
Biriuzov;11728;UER;1936;1990;1990;1990;3;7;0;0;0;5;0;L9846;1936;1960;1960;x
Biryukov;11729;UER;1936;1990;1990;1990;3;7;0;1;0;5;0;L9847;1936;1960;1960;x
Blagodatov;11730;UER;1936;1990;1990;1990;3;7;0;2;0;5;1;L9848;1936;1960;1960;x
Boldin;11731;UER;1936;1936;1990;1990;3;7;0;1;0;5;0;L9853;1936;1960;1960;x
Bolotnikov;11732;UER;1936;1936;1990;1990;3;7;0;0;0;5;1;L9854;1936;1960;1960;x
Borzikov;11733;UER;1936;1936;1936;1936;3;7;0;0;0;5;0;L9857;1936;1960;1960;x
Borzilov;11734;UER;1936;1936;1936;1936;3;7;0;1;0;5;1;L9858;1936;1960;1960;x
Briukov;11735;UER;1936;1936;1990;1990;3;7;0;0;0;5;0;L9860;1936;1960;1960;x
Bulatov;11736;UER;1936;1936;1936;1990;3;7;0;2;0;5;0;L9863;1936;1960;1960;x
Bunjashin;11737;UER;1936;1936;1936;1990;3;7;0;0;0;5;0;L9865;1936;1960;1960;x
Butkov;11738;UER;1936;1936;1936;1990;3;7;0;1;0;5;0;L9867;1936;1960;1960;x
Chepurkin;11739;UER;1936;1936;1990;1990;3;7;0;0;0;5;1;L9868;1936;1960;1960;x
Cherepanov;11740;UER;1936;1990;1990;1990;3;7;0;0;0;5;0;L9870;1936;1960;1960;x
Cherevichenko;11741;UER;1936;1936;1990;1990;3;7;0;1;0;5;2;L9871;1936;1960;1960;x
Chernoburov;11742;UER;1936;1990;1990;1990;3;7;0;0;0;5;0;L9874;1936;1960;1960;x
Chernyak;11743;UER;1936;1990;1990;1990;3;7;0;0;0;5;0;L9876;1936;1960;1960;x
Dalmatov;11744;UER;1936;1936;1936;1990;3;7;0;1;0;5;1;L9882;1936;1960;1960;x
Dedaev;11745;UER;1936;1990;1990;1990;3;7;0;1;0;5;0;L9883;1936;1960;1960;x
Deev;11746;UER;1936;1936;1990;1990;3;7;0;0;0;5;0;L9884;1936;1960;1960;x
Denisov;11747;UER;1936;1990;1990;1990;3;7;0;1;0;5;0;L9887;1936;1960;1960;x
Devyatov;11748;UER;1936;1990;1990;1990;3;7;0;2;0;5;0;L9888;1936;1960;1960;x
Dobroserdov;11749;UER;1936;1936;1990;1990;3;7;0;0;0;5;0;L9889;1936;1960;1960;x
Dubovoy;11750;UER;1936;1936;1936;1936;3;7;0;1;0;5;0;L9891;1936;1960;1960;x
Dudarev;11751;UER;1936;1936;1990;1990;3;7;0;0;0;5;1;L9892;1936;1960;1960;x
Dukhov;11752;UER;1936;1936;1990;1990;3;7;0;1;0;5;0;L9893;1936;1960;1960;x
Efremov;11753;UER;1936;1990;1990;1990;3;7;0;0;0;5;0;L9895;1936;1960;1960;x
Eliseev;11754;UER;1936;1936;1936;1990;3;7;0;0;0;5;0;L9901;1936;1960;1960;x
Erastov;11755;UER;1936;1936;1936;1990;3;7;0;1;0;5;0;L9902;1936;1960;1960;x
Eremenko;11756;UER;1936;1990;1990;1990;3;7;0;2;0;5;1;L9903;1936;1960;1960;x
Eremin;11757;UER;1936;1990;1990;1990;3;7;0;0;0;5;0;L9904;1936;1960;1960;x
Ermakov;11758;UER;1936;1990;1990;1990;3;7;0;0;0;5;0;L9905;1936;1960;1960;x
Ershakov;11759;UER;1936;1936;1936;1990;3;7;0;2;0;5;1;L9906;1936;1960;1960;x
Fabricius;11760;UER;1936;1936;1990;1990;3;7;0;0;0;5;2;L9907;1936;1960;1960;x
Fediuninski;11761;UER;1936;1990;1990;1990;3;7;0;0;0;5;0;L9908;1936;1960;1960;x
Fediunkin;11762;UER;1936;1990;1990;1990;3;7;0;1;0;5;0;L9909;1936;1960;1960;x
Fedko;11763;UER;1936;1936;1990;1990;3;7;0;0;0;5;1;L9910;1936;1960;1960;x
Fedyun;11764;UER;1936;1990;1990;1990;3;7;0;1;0;5;0;L9914;1936;1960;1960;x
Feklenko;11765;UER;1936;1990;1990;1990;3;7;0;0;0;5;2;L9915;1936;1960;1960;x
Fesin;11766;UER;1936;1936;1936;1936;3;7;0;2;0;5;1;L9916;1936;1960;1960;x
Fetisov;11767;UER;1936;1936;1936;1990;3;7;0;0;0;5;1;L9917;1936;1960;1960;x
Fiksel;11768;UER;1936;1936;1936;1990;3;7;0;1;0;5;0;L9918;1936;1960;1960;x
Filatov;11769;UER;1936;1936;1936;1936;3;7;0;1;0;5;0;L9919;1936;1960;1960;x
Filippovsky;11770;UER;1936;1990;1990;1990;3;7;0;0;0;5;1;L9920;1936;1960;1960;x
Firin;11771;UER;1936;1990;1990;1990;3;7;0;0;0;5;0;L9921;1936;1960;1960;x
Fokanov;11772;UER;1936;1990;1990;1990;3;7;0;0;0;5;1;L9923;1936;1960;1960;x
Fomin;11773;UER;1936;1936;1990;1990;3;7;0;1;0;5;1;L9926;1936;1960;1960;x
Frenkel;11774;UER;1936;1936;1990;1990;3;7;0;0;0;5;2;L9927;1936;1960;1960;x
Frolov;11775;UER;1936;1990;1990;1990;3;7;0;2;0;5;0;L9928;1936;1960;1960;x
Gaj;11776;UER;1936;1990;1990;1990;3;7;0;0;0;5;0;L9930;1936;1960;1960;x
Galitski;11777;UER;1936;1990;1990;1990;3;7;0;0;0;5;0;L9933;1936;1960;1960;x
Gamarnik;11778;UER;1936;1936;1990;1990;3;7;0;2;0;5;0;L9934;1936;1960;1960;x
Garnov;11779;UER;1936;1936;1990;1990;3;7;0;1;0;5;1;L9935;1936;1960;1960;x
Garusski;11780;UER;1936;1936;1990;1990;3;7;0;0;0;5;2;L9936;1936;1960;1960;x
Gastilovich;11781;UER;1936;1990;1990;1990;3;7;0;2;0;5;0;L9937;1936;1960;1960;x
Getman;11782;UER;1936;1936;1990;1990;3;7;0;1;0;5;0;L9942;1936;1960;1960;x
Gidov;11783;UER;1936;1936;1936;1990;3;7;0;0;0;5;1;L9943;1936;1960;1960;x
Glazunov;11784;UER;1936;1936;1936;1990;3;7;0;2;0;5;0;L9944;1936;1960;1960;x
Gorodovikov;11785;UER;1936;1936;1936;1990;3;7;0;1;0;5;0;L9960;1936;1960;1960;x
Govorov;11786;UER;1936;1990;1990;1990;3;7;0;2;0;5;0;L9961;1936;1960;1960;x
Govorunenko;11787;UER;1936;1990;1990;1990;3;7;0;0;0;5;1;L9962;1936;1960;1960;x
Gudymenko;11788;UER;1936;1936;1936;1990;3;7;0;1;0;5;2;L9965;1936;1960;1960;x
Gulyaev;11789;UER;1936;1990;1990;1990;3;7;0;0;0;5;1;L9966;1936;1960;1960;x
Gurev;11790;UER;1936;1936;1990;1990;3;7;0;0;0;5;0;L9967;1936;1960;1960;x
Hadeev;11791;UER;1936;1990;1990;1990;3;7;0;1;0;5;1;L9968;1936;1960;1960;x
Hahanyan;11792;UER;1936;1990;1990;1990;3;7;0;0;0;5;0;L9969;1936;1960;1960;x
Haritonov;11793;UER;1936;1936;1990;1990;3;7;0;0;0;5;0;L9970;1936;1960;1960;x
Hatckilevich;11794;UER;1936;1936;1990;1990;3;7;0;1;0;5;0;L9971;1936;1960;1960;x
Iovlev;11795;UER;1936;1936;1936;1990;3;7;0;0;0;5;1;L9979;1936;1960;1960;x
Iuchimchuk;11796;UER;1936;1990;1990;1990;3;7;0;0;0;5;0;L9980;1936;1960;1960;x
Ivanyuk;11797;UER;1936;1990;1990;1990;3;7;0;1;0;5;0;L9986;1936;1960;1960;x
Ivashenko;11798;UER;1936;1936;1990;1990;3;7;0;2;0;5;1;L9987;1936;1960;1960;x
Juravlev;11799;UER;1936;1990;1990;1990;3;7;0;2;0;5;2;L9988;1936;1960;1960;x
Kachalov;11800;UER;1936;1990;1990;1990;3;7;0;1;0;5;0;L9989;1936;1960;1960;x
Kachanov;11801;UER;1936;1990;1990;1990;3;7;0;0;0;5;1;L9990;1936;1960;1960;x
Kalinovski;11802;UER;1936;1990;1990;1990;3;7;0;2;0;5;0;L9991;1936;1960;1960;x
Kamenev;11803;UER;1936;1990;1990;1990;3;7;0;1;0;5;1;L9992;1936;1960;1960;x
Kamkov;11804;UER;1936;1936;1936;1936;3;7;0;0;0;5;0;L9994;1936;1960;1960;x
Karamishev;11805;UER;1936;1990;1990;1990;3;7;0;0;0;5;1;L9995;1936;1960;1960;x
Kariofilli;11806;UER;1936;1936;1936;1990;3;7;0;2;0;5;2;L9996;1936;1960;1960;x
Karmanov;11807;UER;1936;1936;1990;1990;3;7;0;0;0;5;0;L9997;1936;1960;1960;x
Karpezo;11808;UER;1936;1936;1990;1990;3;7;0;1;0;5;0;L9998;1936;1960;1960;x
Khrulev;11809;UER;1936;1936;1990;1990;3;7;0;0;0;5;1;L10010;1936;1960;1960;x
Khryashchev;11810;UER;1936;1936;1990;1990;3;7;0;1;0;5;0;L10011;1936;1960;1960;x
Kirichenko;11811;UER;1936;1990;1990;1990;3;7;0;1;0;5;0;L10012;1936;1960;1960;x
Kirillov;11812;UER;1936;1990;1990;1990;3;7;0;1;0;5;0;L10013;1936;1960;1960;x
Kiselev;11813;UER;1936;1936;1936;1936;3;7;0;1;0;5;2;L10015;1936;1960;1960;x
Kolobov;11814;UER;1936;1936;1936;1990;3;7;0;0;0;5;0;L10020;1936;1960;1960;x
Kolpakchi;11815;UER;1936;1936;1936;1990;3;7;0;0;0;5;0;L10022;1936;1960;1960;x
Komarovskij;11816;UER;1936;1990;1990;1990;3;7;0;1;0;5;0;L10023;1936;1960;1960;x
Kondratchev;11817;UER;1936;1990;1990;1990;3;7;0;0;0;5;0;L10024;1936;1960;1960;x
Kondrusev;11818;UER;1936;1990;1990;1990;3;7;0;2;0;5;0;L10025;1936;1960;1960;x
Konovov;11819;UER;1936;1936;1936;1990;3;7;0;1;0;5;1;L10027;1936;1960;1960;x
Kopec;11820;UER;1936;1936;1990;1990;3;7;0;2;0;5;2;L10028;1936;1960;1960;x
Koptzov;11821;UER;1936;1990;1990;1990;3;7;0;0;0;5;0;L10029;1936;1960;1960;x
