Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Adair;77700;UES;1936;1936;1936;1936;3;7;0;2;0;5;2;L1000;1936;1990;1960;x
Adam;77701;UES;1936;1936;1936;1936;3;7;0;1;0;5;1;L1001;1936;1990;1960;x
Aikenhead;77702;UES;1936;1936;1990;1990;3;7;0;0;0;5;1;L1002;1936;1990;1960;x
Airey;77703;UES;1936;1936;1990;1990;3;7;0;1;0;5;0;L1003;1936;1990;1960;x
Aizlewood;77704;UES;1936;1936;1936;1990;3;7;0;1;0;5;0;L1004;1936;1990;1960;x
Alanbrooke;77705;UES;1936;1936;1990;1990;3;7;0;0;0;5;0;L1005;1936;1990;1960;x
Allfrey;77706;UES;1936;1936;1990;1990;3;7;0;0;0;5;2;L1007;1936;1990;1960;x
Amyatt-Hull;77707;UES;1936;1990;1990;1990;3;7;0;1;0;5;0;L1009;1936;1990;1960;x
Arbuthnott;77708;UES;1936;1990;1990;1990;3;7;0;0;0;5;0;L1012;1936;1990;1960;x
Arkwright-Hore-Ruthven;77709;UES;1936;1990;1990;1990;3;7;0;2;0;5;1;L1013;1936;1990;1960;x
Baillon;77710;UES;1936;1990;1990;1990;3;7;0;1;0;5;0;L1015;1936;1990;1960;x
Baird of Stonehaven;77711;UES;1936;1990;1990;1990;3;7;0;0;0;5;0;L1016;1936;1990;1960;x
Balerno of Currie;77712;UES;1936;1990;1990;1990;3;7;0;1;0;5;0;L1017;1936;1990;1960;x
Balfour;77713;UES;1936;1990;1990;1990;3;7;0;2;0;5;0;L1018;1936;1990;1960;x
Ballentine;77714;UES;1936;1936;1990;1990;3;7;0;0;0;5;1;L1019;1936;1990;1960;x
Bancroft-Cooke;77715;UES;1936;1936;1990;1990;3;7;0;1;0;5;0;L1020;1936;1990;1960;x
Banks-MacDonald;77716;UES;1936;1990;1990;1990;3;7;0;0;0;5;0;L1021;1936;1990;1960;x
Bartholomew;77717;UES;1936;1936;1936;1936;3;7;0;1;0;5;0;L1024;1936;1990;1960;x
Barstow;77718;UES;1936;1990;1990;1990;3;7;0;0;0;5;0;L1025;1936;1990;1960;x
Bastyan;77719;UES;1936;1990;1990;1990;3;7;0;0;0;5;0;L1026;1936;1990;1960;x
Bateman;77720;UES;1936;1990;1990;1990;3;7;0;1;0;5;1;L1027;1936;1990;1960;x
Beard;77721;UES;1936;1936;1936;1990;3;7;0;0;0;5;0;L1028;1936;1990;1960;x
Beauman;77722;UES;1936;1936;1990;1990;3;7;0;0;0;5;0;L1029;1936;1990;1960;x
Beck;77723;UES;1936;1936;1936;1990;3;7;0;0;0;5;0;L1030;1936;1990;1960;x
Beckett;77724;UES;1936;1936;1936;1990;3;7;0;0;0;5;2;L1031;1936;1990;1960;x
Beloe;77725;UES;1936;1936;1936;1990;3;7;0;2;0;5;1;L1033;1936;1990;1960;x
Bernard;77726;UES;1936;1990;1990;1990;3;7;0;1;0;5;0;L1034;1936;1990;1960;x
Berney-Ficklin;77727;UES;1936;1990;1990;1990;3;7;0;0;0;5;0;L1035;1936;1990;1960;x
Betts;77728;UES;1936;1990;1990;1990;3;7;0;0;0;5;0;L1036;1936;1990;1960;x
Bird;77729;UES;1936;1990;1990;1990;3;7;0;1;0;5;0;L1037;1936;1990;1960;x
Birks;77730;UES;1936;1990;1990;1990;3;7;0;2;0;5;1;L1038;1936;1990;1960;x
Blakiston-Houston;77731;UES;1936;1936;1990;1990;3;7;0;1;0;5;0;L1039;1936;1990;1960;x
Blaxland;77732;UES;1936;1936;1990;1990;3;7;0;0;0;5;1;L1040;1936;1990;1960;x
Boddington;77733;UES;1936;1936;1936;1936;3;7;0;0;0;5;0;L1041;1936;1990;1960;x
Bols;77734;UES;1936;1936;1936;1936;3;7;0;1;0;5;1;L1042;1936;1990;1960;x
Boucher;77735;UES;1936;1936;1990;1990;3;7;0;0;0;5;0;L1043;1936;1990;1960;x
Bourne of Atherstone;77736;UES;1936;1936;1936;1990;3;7;0;2;0;5;0;L1044;1936;1990;1960;x
Bower;77737;UES;1936;1936;1936;1990;3;7;0;0;0;5;0;L1045;1936;1990;1960;x
Broad;77738;UES;1936;1936;1936;1990;3;7;0;1;0;5;0;L1049;1936;1990;1960;x
Brocas-Burrows;77739;UES;1936;1936;1990;1990;3;7;0;0;0;5;1;L1050;1936;1990;1960;x
Brooke-Popham;77740;UES;1936;1990;1990;1990;3;7;0;0;0;5;0;L1051;1936;1990;1960;x
Brown;77741;UES;1936;1936;1990;1990;3;7;0;1;0;5;2;L1052;1936;1990;1960;x
Bruce;77742;UES;1936;1990;1990;1990;3;7;0;0;0;5;0;L1054;1936;1990;1960;x
Bullen-Smith;77743;UES;1936;1990;1990;1990;3;7;0;0;0;5;0;L1056;1936;1990;1960;x
Calthrop-Thorne;77744;UES;1936;1936;1936;1990;3;7;0;1;0;5;1;L1059;1936;1990;1960;x
Calvert-Jones;77745;UES;1936;1990;1990;1990;3;7;0;1;0;5;0;L1060;1936;1990;1960;x
Campbell of Achalader;77746;UES;1936;1936;1990;1990;3;7;0;0;0;5;0;L1062;1936;1990;1960;x
Campbell of Airds;77747;UES;1936;1990;1990;1990;3;7;0;1;0;5;0;L1063;1936;1990;1960;x
Cameron;77748;UES;1936;1990;1990;1990;3;7;0;2;0;5;0;L1065;1936;1990;1960;x
Carne;77749;UES;1936;1936;1990;1990;3;7;0;0;0;5;0;L1066;1936;1990;1960;x
Carr-White;77750;UES;1936;1936;1936;1936;3;7;0;1;0;5;0;L1067;1936;1990;1960;x
Carton de Wiart;77751;UES;1936;1936;1990;1990;3;7;0;0;0;5;1;L1068;1936;1990;1960;x
Carver;77752;UES;1936;1936;1990;1990;3;7;0;1;0;5;0;L1069;1936;1990;1960;x
Charrington;77753;UES;1936;1990;1990;1990;3;7;0;0;0;5;0;L1072;1936;1990;1960;x
Christison;77754;UES;1936;1936;1936;1990;3;7;0;0;0;5;0;L1074;1936;1990;1960;x
Clark;77755;UES;1936;1936;1936;1990;3;7;0;1;0;5;0;L1076;1936;1990;1960;x
Clutterbuck;77756;UES;1936;1990;1990;1990;3;7;0;2;0;5;1;L1078;1936;1990;1960;x
