Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Aphaiwong;101700;UIC;1936;1936;1936;1936;3;7;0;2;0;5;2;L100000;1936;1990;1960;x
Banomyong;101701;UIC;1936;1936;1936;1936;3;7;0;1;0;5;1;L100001;1936;1990;1960;x
Bunyaket;101702;UIC;1936;1936;1990;1990;3;7;0;0;0;5;1;L100002;1936;1990;1960;x
Chitnasongkhla;101703;UIC;1936;1936;1990;1990;3;7;0;1;0;5;0;L100003;1936;1990;1960;x
Huntrakool;101704;UIC;1936;1936;1936;1990;3;7;0;1;0;5;0;L100004;1936;1990;1960;x
Kamlanavin;101705;UIC;1936;1936;1990;1990;3;7;0;0;0;5;0;L100005;1936;1990;1960;x
Khanphialong;101706;UIC;1936;1936;1990;1990;3;7;0;0;0;5;2;L100006;1936;1990;1960;x
Maghaviphulaya;101707;UIC;1936;1990;1990;1990;3;7;0;1;0;5;0;L100007;1936;1990;1960;x
Munsilpa Sinadyodharaksa;101708;UIC;1936;1990;1990;1990;3;7;0;0;0;5;0;L100008;1936;1990;1960;x
Nakrob;101709;UIC;1936;1990;1990;1990;3;7;0;2;0;5;1;L100009;1936;1990;1960;x
Phaholphonphayuhasena;101710;UIC;1936;1990;1990;1990;3;7;0;1;0;5;0;L100010;1936;1990;1960;x
Phamonmontri;101711;UIC;1936;1990;1990;1990;3;7;0;0;0;5;0;L100011;1936;1990;1960;x
Phanomyong;101712;UIC;1936;1990;1990;1990;3;7;0;1;0;5;0;L100012;1936;1990;1960;x
Phibunsongkhram;101713;UIC;1936;1990;1990;1990;3;7;0;2;0;5;0;L100013;1936;1990;1960;x
Phromyothi;101714;UIC;1936;1936;1990;1990;3;7;0;0;0;5;1;L100014;1936;1990;1960;x
Phronalanathai;101715;UIC;1936;1936;1990;1990;3;7;0;1;0;5;0;L100015;1936;1990;1960;x
Punyaketu;101716;UIC;1936;1990;1990;1990;3;7;0;0;0;5;0;L100016;1936;1990;1960;x
Rama Prichulangkorn;101717;UIC;1936;1936;1936;1936;3;7;0;1;0;5;0;L100017;1936;1990;1960;x
Rama VIII;101718;UIC;1936;1990;1990;1990;3;7;0;0;0;5;0;L100018;1936;1990;1960;x
Rangsit;101719;UIC;1936;1990;1990;1990;3;7;0;0;0;5;0;L100019;1936;1990;1960;x
Sampatisiri;101720;UIC;1936;1990;1990;1990;3;7;0;1;0;5;1;L100020;1936;1990;1960;x
Sawatronnachai Sawatdikiat;101721;UIC;1936;1936;1936;1990;3;7;0;0;0;5;0;L100021;1936;1990;1960;x
Shilalongkorn;101722;UIC;1936;1936;1990;1990;3;7;0;0;0;5;0;L100022;1936;1990;1960;x
Suebong;101723;UIC;1936;1936;1936;1990;3;7;0;0;0;5;0;L100023;1936;1990;1960;x
Thishampula;101724;UIC;1936;1936;1936;1990;3;7;0;0;0;5;2;L100024;1936;1990;1960;x
Vechayanrangsarit;101725;UIC;1936;1936;1936;1990;3;7;0;2;0;5;1;L100025;1936;1990;1960;x
Wichitsongkram;101726;UIC;1936;1990;1990;1990;3;7;0;1;0;5;0;L100026;1936;1990;1960;x
Wichitwathakarn;101727;UIC;1936;1990;1990;1990;3;7;0;0;0;5;0;L100027;1936;1990;1960;x
Chamnanarthayutha;101728;UIC;1936;1990;1990;1990;3;7;0;0;0;5;0;L100028;1936;1990;1960;x
Kamonawin;101729;UIC;1936;1990;1990;1990;3;7;0;1;0;5;0;L100029;1936;1990;1960;x
Luansonburano;101730;UIC;1936;1990;1990;1990;3;7;0;2;0;5;1;L100030;1936;1990;1960;x
Pholasinthanawat;101731;UIC;1936;1936;1990;1990;3;7;0;1;0;5;0;L100031;1936;1990;1960;x
Phunawasawat;101732;UIC;1936;1936;1990;1990;3;7;0;0;0;5;1;L100032;1936;1990;1960;x
Phutianands;101733;UIC;1936;1936;1936;1936;3;7;0;0;0;5;0;L100033;1936;1990;1960;x
Preechacholayudha;101734;UIC;1936;1936;1936;1936;3;7;0;1;0;5;1;L100034;1936;1990;1960;x
Thamrongnawasawat;101735;UIC;1936;1936;1990;1990;3;7;0;0;0;5;0;L100035;1936;1990;1960;x
Wichanworajak;101736;UIC;1936;1936;1936;1990;3;7;0;2;0;5;0;L100036;1936;1990;1960;x
Wichcitcholathai;101737;UIC;1936;1936;1936;1990;3;7;0;0;0;5;0;L100037;1936;1990;1960;x
Yuthasatkoson;101738;UIC;1936;1936;1936;1990;3;7;0;1;0;5;0;L100038;1936;1990;1960;x
Aminothraykorn;101739;UIC;1936;1936;1990;1990;3;7;0;0;0;5;1;L100039;1936;1990;1960;x
Arvudsikikorn;101740;UIC;1936;1990;1990;1990;3;7;0;0;0;5;0;L100040;1936;1990;1960;x
