Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Afkhami  A.;440700;UPE;1936;1936;1936;1936;3;7;0;2;0;5;2;L440000;1936;1990;1960;x
Afkhami  H.;440701;UPE;1936;1936;1936;1936;3;7;0;1;0;5;1;L440001;1936;1990;1960;x
Afkhami  M.;440702;UPE;1936;1936;1990;1990;3;7;0;0;0;5;1;L440002;1936;1990;1960;x
Gharamani;440703;UPE;1936;1936;1990;1990;3;7;0;1;0;5;0;L440003;1936;1990;1960;x
Gholam Reza Pahlavi;440704;UPE;1936;1936;1936;1990;3;7;0;1;0;5;0;L440004;1936;1990;1960;x
Gilanshah;440705;UPE;1936;1936;1990;1990;3;7;0;0;0;5;0;L440005;1936;1990;1960;x
Hadi Atabay;440706;UPE;1936;1936;1990;1990;3;7;0;0;0;5;2;L440006;1936;1990;1960;x
Hossein Firooz;440707;UPE;1936;1990;1990;1990;3;7;0;1;0;5;0;L440007;1936;1990;1960;x
Majid Firooz;440708;UPE;1936;1990;1990;1990;3;7;0;0;0;5;0;L440008;1936;1990;1960;x
Khan Koopal;440709;UPE;1936;1990;1990;1990;3;7;0;2;0;5;1;L440009;1936;1990;1960;x
Khan Nakziam;440710;UPE;1936;1990;1990;1990;3;7;0;1;0;5;0;L440010;1936;1990;1960;x
Mir Ghani;440711;UPE;1936;1990;1990;1990;3;7;0;0;0;5;0;L440011;1936;1990;1960;x
Mizani;440712;UPE;1936;1990;1990;1990;3;7;0;1;0;5;0;L440012;1936;1990;1960;x
Nakhjavani;440713;UPE;1936;1990;1990;1990;3;7;0;2;0;5;0;L440013;1936;1990;1960;x
Nizamshah;440714;UPE;1936;1936;1990;1990;3;7;0;0;0;5;1;L440014;1936;1990;1960;x
Quaranshah;440715;UPE;1936;1936;1990;1990;3;7;0;1;0;5;0;L440015;1936;1990;1960;x
Reza Pahlavi;440716;UPE;1936;1990;1990;1990;3;7;0;0;0;5;0;L440016;1936;1990;1960;x
Sepahbodi Qajar;440717;UPE;1936;1936;1936;1936;3;7;0;1;0;5;0;L440017;1936;1990;1960;x
Zahedi;440718;UPE;1936;1990;1990;1990;3;7;0;0;0;5;0;L440018;1936;1990;1960;x
Ahmanpur;440719;UPE;1936;1990;1990;1990;3;7;0;0;0;5;0;L440019;1936;1990;1960;x
Akbarpour;440720;UPE;1936;1990;1990;1990;3;7;0;1;0;5;1;L440020;1936;1990;1960;x
Khan Nakhjavan;440721;UPE;1936;1936;1936;1990;3;7;0;0;0;5;0;L440029;1936;1990;1960;x
Khisrabadi;440722;UPE;1936;1936;1990;1990;3;7;0;0;0;5;0;L440022;1936;1990;1960;x
Khosravani;440723;UPE;1936;1936;1936;1990;3;7;0;0;0;5;0;L440023;1936;1990;1960;x
