Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Afkhami  A.;103700;UPS;1936;1936;1936;1936;3;7;0;2;0;5;2;L440000;1936;1990;1960;x
Afkhami  H.;103701;UPS;1936;1936;1936;1936;3;7;0;1;0;5;1;L440001;1936;1990;1960;x
Afkhami  M.;103702;UPS;1936;1936;1990;1990;3;7;0;0;0;5;1;L440002;1936;1990;1960;x
Gharamani;103703;UPS;1936;1936;1990;1990;3;7;0;1;0;5;0;L440003;1936;1990;1960;x
Gholam Reza Pahlavi;103704;UPS;1936;1936;1936;1990;3;7;0;1;0;5;0;L440004;1936;1990;1960;x
Gilanshah;103705;UPS;1936;1936;1990;1990;3;7;0;0;0;5;0;L440005;1936;1990;1960;x
Hadi Atabay;103706;UPS;1936;1936;1990;1990;3;7;0;0;0;5;2;L440006;1936;1990;1960;x
Hossein Firooz;103707;UPS;1936;1990;1990;1990;3;7;0;1;0;5;0;L440007;1936;1990;1960;x
Majid Firooz;103708;UPS;1936;1990;1990;1990;3;7;0;0;0;5;0;L440008;1936;1990;1960;x
Khan Koopal;103709;UPS;1936;1990;1990;1990;3;7;0;2;0;5;1;L440009;1936;1990;1960;x
Khan Nakziam;103710;UPS;1936;1990;1990;1990;3;7;0;1;0;5;0;L440010;1936;1990;1960;x
Mir Ghani;103711;UPS;1936;1990;1990;1990;3;7;0;0;0;5;0;L440011;1936;1990;1960;x
Mizani;103712;UPS;1936;1990;1990;1990;3;7;0;1;0;5;0;L440012;1936;1990;1960;x
Nakhjavani;103713;UPS;1936;1990;1990;1990;3;7;0;2;0;5;0;L440013;1936;1990;1960;x
Nizamshah;103714;UPS;1936;1936;1990;1990;3;7;0;0;0;5;1;L440014;1936;1990;1960;x
Quaranshah;103715;UPS;1936;1936;1990;1990;3;7;0;1;0;5;0;L440015;1936;1990;1960;x
Reza Pahlavi;103716;UPS;1936;1990;1990;1990;3;7;0;0;0;5;0;L440016;1936;1990;1960;x
Sepahbodi Qajar;103717;UPS;1936;1936;1936;1936;3;7;0;1;0;5;0;L440017;1936;1990;1960;x
Zahedi;103718;UPS;1936;1990;1990;1990;3;7;0;0;0;5;0;L440018;1936;1990;1960;x
Ahmanpur;103719;UPS;1936;1990;1990;1990;3;7;0;0;0;5;0;L440019;1936;1990;1960;x
Akbarpour;103720;UPS;1936;1990;1990;1990;3;7;0;1;0;5;1;L440020;1936;1990;1960;x
Khan Nakhjavan;103721;UPS;1936;1936;1936;1990;3;7;0;0;0;5;0;L440029;1936;1990;1960;x
Khisrabadi;103722;UPS;1936;1936;1990;1990;3;7;0;0;0;5;0;L440022;1936;1990;1960;x
Khosravani;103723;UPS;1936;1936;1936;1990;3;7;0;0;0;5;0;L440023;1936;1990;1960;x
Mizani;103724;UPS;1936;1936;1936;1990;3;7;0;0;0;5;2;L440024;1936;1990;1960;x
Mohanna;103725;UPS;1936;1936;1936;1990;3;7;0;2;0;5;1;L440025;1936;1990;1960;x
Dratsenko;103726;UPS;1936;1990;1990;1990;3;7;0;1;0;5;0;L500120;1936;1990;1960;x
von der Schulenburg;103727;UPS;1936;1990;1990;1990;3;7;0;0;0;5;0;L524020;1936;1990;1960;x
Khan Koopal;103728;UPS;1936;1990;1990;1990;3;7;0;0;0;5;0;L440028;1936;1990;1960;x
Kamalyan;103729;UPS;1936;1990;1990;1990;3;7;0;1;0;5;0;M516010;1936;1990;1960;x
Khosravani;103730;UPS;1936;1990;1990;1990;3;7;0;2;0;5;1;L440030;1936;1990;1960;x
Mohanna;103731;UPS;1936;1936;1990;1990;3;7;0;1;0;5;0;L440031;1936;1990;1960;x
Moini;103732;UPS;1936;1936;1990;1990;3;7;0;0;0;5;1;L440032;1936;1990;1960;x
von Hösslin;103733;UPS;1936;1936;1936;1936;3;7;0;0;0;5;0;L520028;1936;1990;1960;x
Sepahpour;103734;UPS;1936;1936;1936;1936;3;7;0;1;0;5;1;L440034;1936;1990;1960;x
Noodin;103735;UPS;1936;1936;1990;1990;3;7;0;0;0;5;0;L440035;1936;1990;1960;x
Ghoolam Firooz;103736;UPS;1936;1936;1936;1990;3;7;0;2;0;5;0;L440036;1936;1990;1960;x
Baypour;103737;UPS;1936;1936;1936;1990;3;7;0;0;0;5;0;L440037;1936;1990;1960;x
Nizampour;103738;UPS;1936;1936;1936;1990;3;7;0;1;0;5;0;L440038;1936;1990;1960;x
Mirghoolam;103739;UPS;1936;1936;1990;1990;3;7;0;0;0;5;1;L440039;1936;1990;1960;x
