Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Adalberto Duca di Bergamo;6700;URO;1936;1936;1936;1936;3;7;0;2;0;5;2;L6000;1936;1990;1960;x
Albert;6701;URO;1936;1936;1936;1936;3;7;0;1;0;5;1;L6001;1936;1990;1960;x
Ago;6702;URO;1936;1936;1990;1990;3;7;0;0;0;5;1;L6002;1936;1990;1960;x
Ambrosio;6703;URO;1936;1936;1990;1990;3;7;0;1;0;5;0;L6003;1936;1990;1960;x
Amedeo Duca degli Abruzzi;6704;URO;1936;1936;1936;1990;3;7;0;1;0;5;0;L6004;1936;1990;1960;x
Amico;6705;URO;1936;1936;1990;1990;3;7;0;0;0;5;0;L6005;1936;1990;1960;x
Antonelli;6706;URO;1936;1936;1990;1990;3;7;0;0;0;5;2;L6006;1936;1990;1960;x
Ardito;6707;URO;1936;1990;1990;1990;3;7;0;1;0;5;0;L6007;1936;1990;1960;x
Arena;6708;URO;1936;1990;1990;1990;3;7;0;0;0;5;0;L6008;1936;1990;1960;x
Armellini;6709;URO;1936;1990;1990;1990;3;7;0;2;0;5;1;L6009;1936;1990;1960;x
Asinari di Bernezzo;6710;URO;1936;1990;1990;1990;3;7;0;1;0;5;0;L6010;1936;1990;1960;x
Babini;6711;URO;1936;1990;1990;1990;3;7;0;0;0;5;0;L6011;1936;1990;1960;x
Burzagli;6712;URO;1936;1990;1990;1990;3;7;0;1;0;5;0;L6012;1936;1990;1960;x
Baistrocchi;6713;URO;1936;1990;1990;1990;3;7;0;2;0;5;0;L6014;1936;1990;1960;x
Balisti;6714;URO;1936;1936;1990;1990;3;7;0;0;0;5;1;L6016;1936;1990;1960;x
Balocco;6715;URO;1936;1936;1990;1990;3;7;0;1;0;5;0;L6017;1936;1990;1960;x
Barbasetti di Prun;6716;URO;1936;1990;1990;1990;3;7;0;0;0;5;0;L6018;1936;1990;1960;x
Barbieri;6717;URO;1936;1936;1936;1936;3;7;0;1;0;5;0;L6019;1936;1990;1960;x
Basso;6718;URO;1936;1990;1990;1990;3;7;0;0;0;5;0;L6020;1936;1990;1960;x
Bastico;6719;URO;1936;1990;1990;1990;3;7;0;0;0;5;0;L6021;1936;1990;1960;x
Battisti;6720;URO;1936;1990;1990;1990;3;7;0;1;0;5;1;L6022;1936;1990;1960;x
Beraudo di Pralormo;6721;URO;1936;1936;1936;1990;3;7;0;0;0;5;0;L6023;1936;1990;1960;x
Bergonzoli;6722;URO;1936;1936;1990;1990;3;7;0;0;0;5;0;L6024;1936;1990;1960;x
Berti;6723;URO;1936;1936;1936;1990;3;7;0;0;0;5;0;L6025;1936;1990;1960;x
Bettoni;6724;URO;1936;1936;1936;1990;3;7;0;0;0;5;2;L6026;1936;1990;1960;x
