Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Aldea;43700;UTC;1936;1936;1936;1936;3;7;0;2;0;5;2;L4300;1936;1960;1960;x
Alexiu;43701;UTC;1936;1936;1936;1936;3;7;0;1;0;5;1;L4301;1936;1960;1960;x
Antonescu  I.A.;43702;UTC;1936;1936;1990;1990;3;7;0;0;0;5;1;L4302;1936;1960;1960;x
Antonescu  I.V.;43703;UTC;1936;1936;1990;1990;3;7;0;1;0;5;0;L4303;1936;1960;1960;x
Antonescu  P.;43704;UTC;1936;1936;1936;1990;3;7;0;1;0;5;0;L4304;1936;1960;1960;x
Argeseanu;43705;UTC;1936;1936;1990;1990;3;7;0;0;0;5;0;L4305;1936;1960;1960;x
Argetoianu;43706;UTC;1936;1936;1990;1990;3;7;0;0;0;5;2;L4306;1936;1960;1960;x
Avramescu;43707;UTC;1936;1990;1990;1990;3;7;0;1;0;5;0;L4307;1936;1960;1960;x
Badescu;43708;UTC;1936;1990;1990;1990;3;7;0;0;0;5;0;L4308;1936;1960;1960;x
Baldescu;43709;UTC;1936;1990;1990;1990;3;7;0;2;0;5;1;L4309;1936;1960;1960;x
Bardan;43710;UTC;1936;1990;1990;1990;3;7;0;1;0;5;0;L4310;1936;1960;1960;x
Boiteanu;43711;UTC;1936;1990;1990;1990;3;7;0;0;0;5;0;L4311;1936;1960;1960;x
Bratescu;43712;UTC;1936;1990;1990;1990;3;7;0;1;0;5;0;L4312;1936;1960;1960;x
Bucliu;43713;UTC;1936;1990;1990;1990;3;7;0;2;0;5;0;L4313;1936;1960;1960;x
Calotescu;43714;UTC;1936;1936;1990;1990;3;7;0;0;0;5;1;L4314;1936;1960;1960;x
Caracas;43715;UTC;1936;1936;1990;1990;3;7;0;1;0;5;0;L4315;1936;1960;1960;x
Carlaont;43716;UTC;1936;1990;1990;1990;3;7;0;0;0;5;0;L4316;1936;1960;1960;x
Ceausu;43717;UTC;1936;1936;1936;1936;3;7;0;1;0;5;0;L4317;1936;1960;1960;x
Chirnoaga;43718;UTC;1936;1990;1990;1990;3;7;0;0;0;5;0;L4318;1936;1960;1960;x
Cialâk;43719;UTC;1936;1990;1990;1990;3;7;0;0;0;5;0;L4319;1936;1960;1960;x
Ciuperca;43720;UTC;1936;1990;1990;1990;3;7;0;1;0;5;1;L4320;1936;1960;1960;x
Codreanu  I.;43721;UTC;1936;1936;1936;1990;3;7;0;0;0;5;0;L4321;1936;1960;1960;x
Constantinescu-Claps;43722;UTC;1936;1936;1990;1990;3;7;0;0;0;5;0;L4322;1936;1960;1960;x
Cosma;43723;UTC;1936;1936;1936;1990;3;7;0;0;0;5;0;L4323;1936;1960;1960;x
Dascalescu;43724;UTC;1936;1936;1936;1990;3;7;0;0;0;5;2;L4324;1936;1960;1960;x
Dimitriu;43725;UTC;1936;1936;1936;1990;3;7;0;2;0;5;1;L4325;1936;1960;1960;x
Dobre;43726;UTC;1936;1990;1990;1990;3;7;0;1;0;5;0;L4326;1936;1960;1960;x
Dragalina;43727;UTC;1936;1990;1990;1990;3;7;0;0;0;5;0;L4327;1936;1960;1960;x
Dragomir;43728;UTC;1936;1990;1990;1990;3;7;0;0;0;5;0;L4328;1936;1960;1960;x
Dumitrache;43729;UTC;1936;1990;1990;1990;3;7;0;1;0;5;0;L4329;1936;1960;1960;x
Dumitrescu;43730;UTC;1936;1990;1990;1990;3;7;0;2;0;5;1;L4330;1936;1960;1960;x
Eftimiu;43731;UTC;1936;1936;1990;1990;3;7;0;1;0;5;0;L4331;1936;1960;1960;x
Enescu;43732;UTC;1936;1936;1990;1990;3;7;0;0;0;5;1;L4332;1936;1960;1960;x
