Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Agimi;34580;ALB;1930;1990;1990;1990;3;3;128;0;0;3;0;L34580;1930;1960;1960;x
Agolli;34581;ALB;1930;1939;1990;1990;3;3;0;1;0;3;0;L34581;1930;1960;1960;x
Bicaku;34582;ALB;1930;1930;1990;1990;2;5;768;1;0;4;0;L34582;1930;1960;1960;x
Bushati;34583;ALB;1930;1930;1939;1990;1;4;528;2;0;2;0;L34583;1939;1945;1960;x
Cajupi;34584;ALB;1930;1990;1990;1990;3;3;0;0;0;3;0;L34584;1930;1960;1960;x
Floxhi;34585;ALB;1930;1990;1990;1990;3;3;0;0;0;5;0;L34585;1930;1960;1960;x
Frashëri;34586;ALB;1930;1943;1945;1990;2;4;16;3;0;2;0;L34586;1930;1960;1960;x
Hoxha;34587;ALB;1930;1940;1944;1946;2;6;0;3;0;3;0;L34587;1940;1960;1960;x
Jaxha;34588;ALB;1930;1990;1990;1990;3;3;64;0;0;3;0;L34588;1930;1960;1960;x
Komani;34589;ALB;1930;1930;1944;1990;2;4;32;1;0;3;0;L34589;1930;1946;1960;x
Kristo;34590;ALB;1941;1990;1990;1990;3;4;16;0;0;3;0;L34590;1941;1960;1960;x
Malëshova;34591;ALB;1940;1990;1990;1990;3;2;16;0;0;3;0;L34591;1940;1960;1960;x
Moisiu;34592;ALB;1930;1930;1930;1990;1;3;0;1;0;4;0;L34592;1930;1960;1960;x
Mori;34593;ALB;1930;1943;1990;1990;3;5;264;1;0;3;0;L34593;1930;1945;1960;x
Musai;34594;ALB;1930;1937;1990;1990;2;3;0;1;0;3;0;L34594;1930;1960;1960;x
Nergutti;34595;ALB;1942;1944;1990;1990;2;2;2;1;0;5;0;L34595;1942;1960;1960;x
Percy;34596;ALB;1930;1930;1990;1990;2;5;1;1;0;5;0;L34596;1930;1960;1960;x
Pervizi;34597;ALB;1930;1941;1990;1990;2;3;4;1;0;3;0;L34597;1930;1960;1960;x
Shatun;34598;ALB;1930;1930;1930;1990;1;3;2;1;0;3;0;L34598;1930;1960;1960;x
Shehu;34599;ALB;1930;1930;1990;1990;2;3;4;0;0;2;0;L34599;1930;1960;1960;x
Trajce;34600;ALB;1930;1937;1990;1990;2;3;0;1;0;3;0;L34600;1930;1960;1960;x
Ypi;34601;ALB;1942;1945;1990;1990;3;2;16;1;0;3;0;L34601;1942;1960;1960;x
Zog I;34602;ALB;1930;1930;1930;1930;0;2;0;0;0;5;0;L34602;1930;1960;1960;x
Delvinë;34603;ALB;1930;1937;1943;1990;2;3;0;1;0;3;1;L34603;1930;1960;1960;x
Ghaxa;34604;ALB;1930;1941;1990;1990;3;3;0;1;0;3;1;L34604;1930;1960;1960;x
Kristo;34605;ALB;1941;1990;1990;1990;3;2;0;0;0;3;1;L34605;1941;1960;1960;x
Pakazi;34606;ALB;1930;1930;1930;1990;1;3;0;0;0;3;1;L34606;1930;1960;1960;x
Agolli;34607;ALB;1930;1939;1990;1990;3;3;4096;1;0;3;2;L34607;1930;1960;1960;x
Delvinë;34608;ALB;1930;1939;1990;1990;3;4;131072;1;0;3;2;L34608;1930;1960;1960;x
Floxhi;34609;ALB;1930;1930;1990;1990;2;3;0;0;0;5;2;L34609;1930;1960;1960;x
Musai;34610;ALB;1930;1930;1990;1990;2;3;0;0;0;3;2;L34610;1930;1960;1960;x
Pervizi;34611;ALB;1930;1930;1990;1990;2;3;0;0;0;3;2;L34611;1930;1960;1960;x
Shefqeti;34633;ALB;1908;1990;1990;1990;1;5;536870912;1;0;3;0;8542;1908;1932;1999;x
Kolonja;34634;ALB;1918;1990;1990;1990;1;2;0;0;0;3;0;unknownleader;1918;1932;1999;x
Leskoviku;34635;ALB;1918;1990;1990;1990;1;2;0;0;0;3;0;unknownleader;1918;1932;1999;x
Fevziu;34636;ALB;1920;1990;1990;1990;1;2;0;0;0;3;0;unknownleader;1920;1932;1999;x
de Veer;34637;ALB;1913;1913;1990;1990;2;6;37;2;0;3;0;3;1913;1915;1999;x
Thompson;34638;ALB;1913;1990;1990;1990;1;5;0;2;0;3;0;4;1913;1915;1999;x
