Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Bilstein de Menenses;568000;ANG;1930;1930;1990;1990;2;4;544;1;0;5;0;L568000;1930;1960;1960;x
Carvalho;568001;ANG;1930;1940;1990;1990;2;3;0;1;0;5;0;M568032;1930;1960;1960;x
d'Aluz Ribeiro;568002;ANG;1938;1942;1990;1990;2;4;1;1;0;5;0;M568028;1938;1960;1960;x
da Silveira Malheiro;568003;ANG;1938;1944;1990;1990;2;3;128;1;0;5;0;L568003;1938;1960;1960;x
de Freitas Morna;568004;ANG;1942;1990;1990;1990;3;6;272;1;0;5;0;M568003;1942;1960;1960;x
de Morais Sarmento;568005;ANG;1930;1930;1941;1990;1;4;2;1;0;5;0;M568027;1930;1960;1960;x
de Paula Pinheido;568006;ANG;1930;1940;1990;1990;2;4;1;1;0;5;0;M568023;1930;1960;1960;x
Domingues;568007;ANG;1930;1930;1990;1990;2;5;528;1;0;5;0;L568007;1930;1943;1960;x
Fragosa de Carmona;568008;ANG;1930;1930;1930;1930;0;3;514;1;0;5;0;L568008;1930;1945;1960;x
Gomes da Costa;568009;ANG;1930;1942;1990;1990;2;3;0;1;0;5;0;M568019;1930;1960;1960;x
Lopes Alves;568010;ANG;1940;1943;1990;1990;2;4;128;1;0;5;0;M568004;1940;1960;1960;x
Lopes Soares Branco;568011;ANG;1938;1941;1990;1990;2;4;64;1;0;5;0;L568011;1938;1960;1960;x
Macedo é Brito;568012;ANG;1930;1930;1990;1990;2;6;516;1;0;5;0;M568007;1930;1943;1960;x
Perreira de Eca;568013;ANG;1930;1930;1930;1990;1;5;514;1;0;5;0;M568008;1930;1941;1960;x 
Placido Durarte;568014;ANG;1930;1939;1990;1990;2;4;2;1;0;5;0;M568025;1930;1960;1960;x
Rodrigues;568015;ANG;1938;1943;1990;1990;2;5;256;1;0;5;0;L568015;1938;1960;1960;x
da Costa Andrade;568016;ANG;1930;1940;1990;1990;2;4;4096;1;0;5;1;M568030;1930;1960;1960;x
de Albuquerque;568017;ANG;1930;1930;1990;1990;2;4;1536;1;0;5;1;M568009;1930;1960;1960;x
Ribeiro;568018;ANG;1930;1930;1990;1990;2;4;2560;1;0;5;1;L568018;1930;1960;1960;x
Carvalho;568019;ANG;1930;1940;1990;1990;2;4;4096;1;0;5;2;M568032;1930;1960;1960;x
d'Aluz Ribeiro;568020;ANG;1938;1942;1990;1990;2;3;0;1;0;5;2;M568028;1938;1960;1960;x
de Freitas Morna;568021;ANG;1942;1990;1990;1990;3;3;0;0;0;5;2;M568003;1942;1960;1960;x
Fangueiro;568022;ANG;1930;1940;1945;1990;1;5;16384;3;0;5;2;M568010;1930;1960;1960;x
Goncalves de Campos;568023;ANG;1930;1940;1990;1990;2;4;16384;1;0;5;2;M568026;1930;1960;1960;x
Commander;568900;ANG;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;568901;ANG;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;568902;ANG;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;568903;ANG;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;568904;ANG;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;568905;ANG;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;568906;ANG;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;568907;ANG;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;568908;ANG;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;568909;ANG;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;568910;ANG;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;568911;ANG;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;568912;ANG;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;568913;ANG;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;568914;ANG;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;568915;ANG;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
