Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Abdullah I;558000;ARA;1930;1930;1930;1930;0;3;4;0;0;5;0;M556008;1930;1960;1960;x
Abrash;558001;ARA;1942;1990;1990;1990;3;2;0;0;0;5;0;M528054;1942;1960;1960;x
Aflatan Pasha;558002;ARA;1930;1930;1941;1990;2;3;0;1;0;5;0;M512083;1930;1943;1960;x
Ahti;558003;ARA;1930;1940;1990;1990;2;3;2;1;0;5;0;M556029;1930;1960;1960;x
al-Abboud;558004;ARA;1945;1990;1990;1990;3;2;0;1;0;5;0;L529000;1945;1960;1960;x
al-Amir;558005;ARA;1941;1990;1990;1990;3;2;0;0;0;5;0;L556002;1941;1960;1960;x
al-Arab;558006;ARA;1944;1990;1990;1990;3;2;128;0;0;5;0;L529000;1944;1960;1960;x
al-Aslan;558007;ARA;1943;1990;1990;1990;3;2;0;0;0;5;0;L528001;1943;1960;1960;x
al-Fiqri;558008;ARA;1943;1990;1990;1990;3;2;16;0;0;5;0;L528002;1943;1960;1960;x
al-Gawzi;558009;ARA;1930;1930;1930;1990;1;3;576;1;0;5;0;M528024;1930;1946;1960;x
al-Hashimi;558010;ARA;1939;1990;1990;1990;3;5;16;0;0;5;0;L556003;1939;1960;1960;x
al-Hasic;558011;ARA;1930;1990;1990;1990;3;2;1;0;0;5;0;L529002;1930;1946;1960;x
al-Jafaar;558012;ARA;1930;1990;1990;1990;3;2;0;0;0;5;0;M556031;1930;1943;1960;x
al-Nasser;558013;ARA;1945;1990;1990;1990;3;5;256;0;0;5;0;L512001;1945;1960;1960;x
al-Quawugji;558014;ARA;1930;1943;1990;1990;2;2;2;1;0;5;0;M528049;1930;1960;1960;x
al-Shishakli;558015;ARA;1937;1942;1945;1990;2;3;0;2;0;5;0;M528051;1937;1960;1960;x
al-Wali;558016;ARA;1940;1990;1990;1990;3;2;2;0;0;5;0;M556028;1940;1960;1960;x
al-Zaim;558017;ARA;1930;1942;1945;1990;2;3;0;2;0;5;0;M528047;1930;1960;1960;x
Amer;558018;ARA;1945;1990;1990;1990;3;4;4;0;0;5;0;L512002;1945;1960;1960;x
an-Nukraishi;558019;ARA;1930;1930;1990;1990;2;3;513;1;0;5;0;M512016;1930;1942;1960;x
Aoun;558020;ARA;1944;1990;1990;1990;3;2;128;0;0;5;0;L529003;1944;1960;1960;x
as-Sadat;558021;ARA;1944;1946;1990;1990;2;5;4;1;0;3;0;L512004;1944;1960;1960;x
Azzam;558022;ARA;1930;1990;1990;1990;3;2;256;0;0;5;0;M529057;1930;1946;1960;x
Barakat;558023;ARA;1943;1945;1990;1990;2;2;2;1;0;5;0;L529005;1943;1960;1960;x
ben Jamil;558024;ARA;1938;1941;1990;1990;3;3;32;1;0;5;0;L556006;1938;1960;1960;x
Beyran Pasha;558025;ARA;1930;1930;1990;1990;2;3;514;1;0;5;0;L512005;1930;1943;1960;x
Bitar;558026;ARA;1945;1990;1990;1990;3;2;0;0;0;5;0;L529006;1945;1960;1960;x
Chakour;558027;ARA;1939;1944;1990;1990;2;2;2;1;0;5;0;L528012;1939;1960;1960;x
Chehab  A.;558028;ARA;1944;1990;1990;1990;3;2;32;0;0;5;0;L529009;1944;1960;1960;x
Chehab  F.;558029;ARA;1939;1942;1944;1990;1;3;0;2;0;5;0;M529056;1939;1960;1960;x
Daher;558030;ARA;1930;1990;1990;1990;3;2;1;0;0;5;0;L529011;1930;1945;1960;x
el-Hakeem Amer;558031;ARA;1938;1939;1942;1946;1;4;0;3;0;5;0;L512006;1938;1960;1960;x
el-Hamza Makkawi;558032;ARA;1946;1990;1990;1990;3;3;128;0;0;5;0;L512007;1946;1960;1960;x
el-Nizar Ali;558033;ARA;1938;1942;1990;1990;2;4;256;1;0;5;0;L556009;1938;1960;1960;x
el-Rihaz;558034;ARA;1930;1990;1990;1990;3;2;128;0;0;5;0;L556010;1930;1960;1960;x
Fathy Pasha;558035;ARA;1930;1930;1930;1930;0;2;512;1;0;5;0;L512008;1930;1940;1960;x
Fouad Pasha;558036;ARA;1930;1930;1990;1990;2;3;513;1;0;5;0;L512009;1930;1942;1960;x
Ghanem;558037;ARA;1941;1944;1990;1990;2;2;2;1;0;5;0;M529053;1941;1960;1960;x
Ghayib;558038;ARA;1943;1946;1990;1990;2;4;128;1;0;5;0;L512010;1943;1960;1960;x
Goktai;558039;ARA;1930;1938;1943;1990;2;5;1;2;0;5;0;L512011;1930;1960;1960;x
Hamza;558040;ARA;1930;1990;1990;1990;3;4;16;0;0;5;0;L512012;1930;1943;1960;x
Jad;558041;ARA;1941;1990;1990;1990;3;2;1;0;0;5;0;M529059;1941;1960;1960;x
Kamel;558042;ARA;1930;1930;1938;1990;1;3;2;1;0;5;0;M512087;1930;1945;1960;x
