Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Accame;120000;ARG;1930;1941;1990;1990;3;4;0;1;0;4;0;L120000;1930;1943;1960;x
Anaya;120001;ARG;1930;1939;1990;1990;2;5;128;1;0;4;0;L120001;1930;1946;1960;x
Aramburu;120002;ARG;1941;1944;1946;1990;2;5;8;2;0;4;0;L120002;1941;1960;1960;x
Bautista Molina;120003;ARG;1930;1930;1990;1990;2;4;0;0;0;3;0;L120003;1930;1943;1960;x
Brinzoni;120004;ARG;1945;1990;1990;1990;3;4;4;0;0;3;0;L120004;1945;1960;1960;x
Dellepiane;120005;ARG;1930;1930;1990;1990;2;6;514;1;0;3;0;L120005;1930;1939;1960;x
de Olano;120006;ARG;1939;1944;1952;1990;1;4;128;2;0;4;0;L120006;1939;1960;1960;x
Farrell Plaul;120007;ARG;1937;1939;1941;1990;1;4;0;2;0;4;0;L120007;1937;1946;1960;x
Fasola Castano;120008;ARG;1930;1930;1990;1990;2;5;32;0;0;4;0;L120008;1930;1943;1960;x
Florit;120009;ARG;1938;1942;1945;1990;2;6;256;2;0;4;0;L120009;1938;1960;1960;x
Giovanelli;120010;ARG;1945;1990;1990;1990;3;4;16;0;0;4;0;L120010;1945;1960;1960;x
Guido y Lavalle;120011;ARG;1930;1938;1990;1990;2;4;32;1;0;4;0;L120011;1930;1941;1960;x
Ibarra;120012;ARG;1930;1942;1990;1990;2;6;256;1;0;4;0;L120012;1930;1945;1960;x
Justo;120013;ARG;1930;1930;1930;1930;0;5;0;1;0;5;0;L120013;1930;1938;1960;x
Leiva;120014;ARG;1930;1990;1990;1990;3;5;513;1;0;3;0;L120014;1930;1940;1960;x
Lonardi;120015;ARG;1938;1944;1990;1990;3;4;16;1;0;4;0;L120015;1938;1960;1960;x
Lugones;120016;ARG;1930;1990;1990;1990;3;4;2;0;0;4;0;L120016;1930;1940;1960;x
Marquez;120017;ARG;1939;1941;1945;1990;2;5;2;2;0;5;0;L120017;1939;1960;1960;x
Martinez;120018;ARG;1930;1938;1990;1990;2;4;1;1;0;4;0;L120018;1930;1946;1960;x
Menendez;120019;ARG;1944;1947;1990;1990;3;4;4;1;0;4;0;L120019;1944;1960;1960;x
Molina Gomez;120020;ARG;1937;1941;1946;1990;1;4;0;2;0;4;0;L120020;1937;1960;1960;x
Mosconi;120021;ARG;1930;1930;1990;1990;2;6;2;0;0;5;0;L120021;1930;1940;1960;x
Peron;120022;ARG;1942;1944;1946;1990;2;6;4;2;0;5;0;L120022;1942;1960;1960;x
Pistarini;120023;ARG;1939;1945;1990;1990;3;5;64;1;0;3;0;L120023;1939;1960;1960;x
Ramirez;120024;ARG;1930;1938;1940;1990;1;5;0;2;0;3;0;L120024;1930;1944;1960;x
Rivarola;120025;ARG;1930;1990;1990;1990;3;4;2;0;0;4;0;L120025;1930;1941;1960;x
Rodriguez;120026;ARG;1938;1941;1945;1990;2;4;0;2;0;4;0;L120026;1938;1946;1960;x
Samiento;120027;ARG;1944;1946;1990;1990;3;4;0;1;0;3;0;L120027;1944;1960;1960;x
San Martín;120028;ARG;1940;1943;1990;1990;2;5;4;1;0;3;0;L120028;1940;1960;1960;x
Sanquiña;120029;ARG;1943;1990;1990;1990;3;5;128;0;0;4;0;L120029;1943;1960;1960;x
Sarobe;120030;ARG;1930;1930;1930;1990;1;4;0;0;0;4;0;L120030;1930;1942;1960;x
Savio;120031;ARG;1942;1944;1990;1990;2;5;1;1;0;5;0;L120031;1942;1960;1960;x
Urdapilleta;120032;ARG;1930;1941;1990;1990;3;6;64;1;0;4;0;L120032;1930;1947;1960;x
Uriburo;120033;ARG;1930;1930;1930;1990;1;4;64;0;0;3;0;L120033;1930;1937;1960;x
Vacca;120034;ARG;1941;1990;1990;1990;3;4;4;0;0;4;0;L120034;1941;1960;1960;x
Vaccarezza;120035;ARG;1930;1939;1990;1990;2;4;2;1;0;4;0;L120035;1930;1944;1960;x
Velez;120036;ARG;1930;1930;1938;1990;1;6;513;2;0;4;0;L120036;1930;1941;1960;x
Vieyra Spangenberg;120037;ARG;1940;1945;1990;1990;3;5;128;1;0;4;0;L120037;1940;1960;1960;x
von der Becke;120038;ARG;1939;1945;1990;1990;3;4;4;1;0;5;0;L120038;1939;1946;1960;x
Zuloaga;120039;ARG;1938;1990;1990;1990;3;4;1;0;0;3;0;L120039;1938;1960;1960;x
Aguirre Renaldo;120040;ARG;1944;1990;1990;1990;3;4;1024;0;0;4;1;L120040;1944;1960;1960;x
Blanco Carrera;120041;ARG;1945;1990;1990;1990;3;4;0;0;0;4;1;L120041;1945;1960;1960;x
Casal;120042;ARG;1939;1944;1990;1990;3;5;8192;1;0;5;1;L120042;1939;1946;1960;x
Cavalieri;120043;ARG;1930;1930;1990;1990;2;4;0;0;0;5;1;L120043;1930;1944;1960;x
Galindez;120044;ARG;1937;1941;1990;1990;2;4;0;1;0;5;1;L120044;1937;1960;1960;x
Grosso Soto;120045;ARG;1930;1930;1990;1990;2;6;1536;1;0;5;1;L120045;1930;1940;1960;x
Irizar;120046;ARG;1930;1930;1930;1930;0;5;8704;1;0;5;1;L120046;1930;1937;1960;x
La Galíne;120047;ARG;1942;1946;1950;1990;1;4;8192;2;0;3;1;L120047;1942;1960;1960;x
Ojeda;120048;ARG;1945;1947;1990;1990;3;4;0;1;0;4;1;L120048;1945;1960;1960;x
Parodi;120049;ARG;1938;1990;1990;1990;3;4;0;0;0;3;1;L120049;1938;1945;1960;x
Pedemonte;120050;ARG;1930;1937;1941;1990;2;5;0;2;0;4;1;L120050;1930;1946;1960;x
Pertine;120051;ARG;1939;1943;1990;1990;2;5;2048;1;0;5;1;L120051;1939;1960;1960;x
Putalla Vignolo;120052;ARG;1945;1990;1990;19900;3;5;0;0;0;4;1;L120052;1945;1960;1960;x
Rawson Bustamante;120053;ARG;1930;1930;1940;1990;1;4;4608;1;0;4;1;L120053;1930;1943;1960;x
Sanchez Scasso;120054;ARG;1941;1990;1990;1990;3;5;1024;0;0;4;1;L120054;1941;1960;1960;x
Silva Carrasco;120055;ARG;1943;1947;1990;1990;3;4;0;1;0;5;1;L120055;1943;1960;1960;x
Storni;120056;ARG;1930;1937;1940;1990;1;4;0;2;0;4;1;L120056;1930;1946;1960;x
Videla;120057;ARG;1942;1946;1990;1990;3;5;4096;1;0;5;1;L120057;1942;1960;1960;x
Ahrens;120058;ARG;1945;1990;1990;1990;3;4;65536;0;0;4;2;L120058;1945;1960;1960;x
Cassinelli;120059;ARG;1930;1930;1990;1990;2;5;8704;1;0;4;2;L120059;1930;1941;1960;x
Castex Lainford;120060;ARG;1944;1990;1990;1990;3;5;32768;0;0;4;2;L120060;1944;1960;1960;x
de la Colina;120061;ARG;1946;1990;1990;1990;3;4;0;0;0;5;2;L120061;1946;1960;1960;x
del Riva;120062;ARG;1939;1944;1990;1990;3;5;0;1;0;3;2;L120062;1939;1960;1960;x
Fabri;120063;ARG;1938;1941;1990;1990;2;4;16384;1;0;4;2;L120063;1938;1947;1960;x
Hermansson;120064;ARG;1945;1990;1990;1990;3;4;0;0;0;5;2;L120064;1945;1960;1960;x
Manni;120065;ARG;1940;1945;1990;1990;3;4;4096;1;0;4;2;L120065;1940;1960;1960;x
Maurino;120066;ARG;1941;1990;1990;1990;3;4;0;0;0;4;2;L120066;1941;1960;1960;x
Muratorio;120067;ARG;1943;1990;1990;1990;3;4;0;0;0;4;2;L120067;1943;1960;1960;x
Ojeda;120068;ARG;1943;1945;1947;1990;3;5;32768;2;0;4;2;L120068;1943;1960;1960;x
Parodi;120069;ARG;1930;1941;1990;1990;2;5;131072;1;0;3;2;L120069;1930;1945;1960;x
Peluffo;120070;ARG;1942;1990;1990;1990;3;4;0;0;0;4;2;L120070;1942;1946;1960;x
Sustaita;120071;ARG;1945;1950;1990;1990;2;4;0;1;0;3;2;L120071;1945;1960;1960;x
Vedoya;120072;ARG;1946;1990;1990;1990;3;4;0;0;0;4;2;L120072;1946;1960;1960;x
Verdaguer;120073;ARG;1939;1943;1990;1990;2;4;0;1;0;2;2;L120073;1939;1960;1960;x
Zanni;120074;ARG;1940;1946;1990;1990;3;5;0;1;0;2;2;L120074;1940;1960;1960;x
Zinny;120075;ARG;1946;1990;1990;1990;3;4;0;0;0;4;2;L120075;1946;1960;1960;x
Allaria;120077;ARG;1908;1912;1932;1932;2;5;0;2;0;5;0;7979;1908;1932;1999;x
Obligado;120078;ARG;1908;1932;1932;1932;3;4;0;1;0;5;2;7;1908;1932;1999;x
Matienzo;120079;ARG;1908;1932;1932;1932;3;4;32768;1;0;5;2;8;1908;1932;1999;x
Uriburu;120080;ARG;1908;1932;1932;1932;3;5;0;2;0;5;0;9;1908;1932;1999;x
Crespo;120081;ARG;1908;1932;1932;1932;3;5;0;2;0;5;0;10;1908;1932;1999;x
Commander;120900;ARG;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;120901;ARG;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
