Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Asadorian;515000;ARM;1930;1990;1990;1990;3;3;32;0;0;5;0;L515000;1930;1960;1960;x
Babajanian;515001;ARM;1930;1930;1941;1990;2;4;128;1;0;5;0;M515024;1930;1960;1960;x
Baghramyan;515002;ARM;1930;1930;1941;1990;2;4;0;1;0;5;0;L515002;1930;1960;1960;x
Feyerabend;515003;ARM;1930;1941;1990;1990;2;3;64;1;0;5;0;L515003;1930;1960;1960;x
Hoffmann;515004;ARM;1930;1990;1990;1990;3;3;0;0;0;5;0;M515007;1930;1960;1960;x
Kalaydjian;515005;ARM;1930;1990;1990;1990;3;4;1;0;0;5;0;L515005;1930;1960;1960;x
Kanyan;515006;ARM;1930;1930;1930;1990;1;2;1;0;0;5;0;L515006;1930;1960;1960;x
Kardashian;515007;ARM;1930;1990;1990;1990;3;2;0;0;0;5;0;L515007;1930;1960;1960;x
Khachatrian;515008;ARM;1930;1990;1990;1990;3;2;0;0;0;5;0;L515008;1930;1960;1960;x
Nzdek;515009;ARM;1930;1930;1990;1990;2;2;0;0;0;5;0;M515017;1930;1960;1960;x
Osanian;515010;ARM;1930;1930;1930;1930;0;2;513;1;0;5;0;M515008;1930;1960;1960;x
Osebian;515011;ARM;1930;1939;1990;1990;2;2;0;1;0;5;0;M515021;1930;1960;1960;x
Razmik;515012;ARM;1930;1990;1990;1990;3;3;4;0;0;5;0;L515012;1930;1960;1960;x
Rubene;515013;ARM;1930;1990;1990;1990;3;2;256;0;0;5;0;L515013;1930;1960;1960;x
Safaryan;515014;ARM;1930;1990;1990;1990;3;3;4;0;0;5;0;L515014;1930;1960;1960;x
Seviahian;515015;ARM;1930;1990;1990;1990;3;2;16;0;0;5;0;L515015;1930;1960;1960;x
von Gablenz;515016;ARM;1930;1990;1990;1990;3;2;256;0;0;5;0;L515016;1930;1960;1960;x
von Germar;515017;ARM;1930;1990;1990;1990;3;3;0;0;0;5;0;L515017;1930;1960;1960;x
von Hörauf;515018;ARM;1930;1990;1990;1990;3;4;514;1;0;5;0;L515018;1930;1960;1960;x
Yessayan;515019;ARM;1930;1990;1990;1990;3;2;0;0;0;5;0;L515019;1930;1960;1960;x
Betche;515020;ARM;1930;1990;1990;1990;3;4;1536;1;0;5;1;M515009;1930;1960;1960;x
Gadow;515021;ARM;1930;1990;1990;1990;3;3;0;0;0;5;1;L515021;1930;1960;1960;x
Isahakian;515022;ARM;1930;1930;1942;1990;2;4;0;1;0;5;1;M515026;1930;1960;1960;x
Rubene;515023;ARM;1930;1990;1990;1990;3;2;0;0;0;5;1;L515013;1930;1960;1960;x
Witthöft-Emden;515024;ARM;1930;1930;1990;1990;2;3;0;0;0;5;1;L515024;1930;1960;1960;x
Agazarian;515025;ARM;1930;1990;1990;1990;3;2;4096;0;0;5;2;M515006;1930;1960;1960;x
Gotthard;515026;ARM;1930;1990;1990;1990;3;3;0;0;0;5;2;L515026;1930;1960;1960;x
Hasse;515027;ARM;1930;1990;1990;1990;3;3;16384;0;0;5;2;L515027;1930;1960;1960;x
Höfert;515028;ARM;1930;1990;1990;1990;3;3;65536;0;0;5;2;L515028;1930;1960;1960;x
Klein;515029;ARM;1930;1938;1990;1990;2;3;0;1;0;5;2;M515010;1930;1960;1960;x
von Gablenz;515030;ARM;1930;1990;1990;1990;3;3;0;0;0;5;2;L515016;1930;1960;1960;x
Manougian;515032;ARM;1897;1914;1914;1914;0;4;2;3;0;5;0;11;1897;1932;1999;x
Nazarpekian;515033;ARM;1897;1914;1914;1932;1;4;0;3;0;5;0;unknownleader;1897;1932;1999;x
Tro;515034;ARM;1897;1914;1914;1914;0;4;0;3;0;5;0;unknownleader;1897;1932;1999;x
Siligian;515035;ARM;1897;1932;1932;1932;3;3;0;2;0;5;0;unknownleader;1897;1932;1999;x
Aligian;515036;ARM;1897;1932;1932;1932;3;3;0;2;0;5;0;unknownleader;1897;1932;1999;x
Araradian;515037;ARM;1897;1932;1932;1932;3;3;0;2;0;5;0;unknownleader;1897;1932;1999;x
Ghorganian;515038;ARM;1897;1914;1932;1932;2;3;0;2;0;5;0;unknownleader;1897;1932;1999;x
Hamazasb;515039;ARM;1897;1932;1932;1932;3;3;0;2;0;5;0;unknownleader;1897;1932;1999;x
Shant;515040;ARM;1897;1932;1932;1932;3;3;0;2;0;5;0;unknownleader;1897;1932;1999;x
Kachaznouni;515041;ARM;1897;1932;1932;1932;3;3;0;2;0;5;0;unknownleader;1897;1932;1999;x
Hakhverdian;515042;ARM;1897;1932;1932;1932;3;3;0;2;0;5;0;unknownleader;1897;1932;1999;x
Hovsepian;515043;ARM;1897;1932;1932;1932;3;3;0;2;0;5;0;unknownleader;1897;1932;1999;x
Kamazian;515044;ARM;1897;1932;1932;1932;3;3;0;2;0;5;0;unknownleader;1897;1932;1999;x
Antranik;515045;ARM;1897;1932;1932;1932;3;3;0;2;0;5;0;unknownleader;1897;1932;1999;x
Piroumian;515046;ARM;1897;1932;1932;1932;3;3;0;2;0;5;0;unknownleader;1897;1932;1999;x
Paghramanian;515047;ARM;1897;1932;1932;1932;3;3;0;2;0;5;0;unknownleader;1897;1932;1999;x
Commander;515900;ARM;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;515901;ARM;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;515902;ARM;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;515903;ARM;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;515904;ARM;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;515905;ARM;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;515906;ARM;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;515907;ARM;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;515908;ARM;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;515909;ARM;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;515910;ARM;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;515911;ARM;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;515912;ARM;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;515913;ARM;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;515914;ARM;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;515915;ARM;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;515916;ARM;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;515917;ARM;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;515918;ARM;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;515919;ARM;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;515920;ARM;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;515921;ARM;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;515922;ARM;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;515923;ARM;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;515924;ARM;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;515925;ARM;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;515926;ARM;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;515927;ARM;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;515928;ARM;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;515929;ARM;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;515930;ARM;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;515931;ARM;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
