Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Allen;54000;AST;1941;1990;1990;1990;3;4;0;1;0;5;0;L54000;1941;1960;1960;x
Anderson;54001;AST;1942;1946;1990;1990;2;4;0;2;0;5;0;L54001;1942;1960;1960;x
Barker;54002;AST;1941;1990;1990;1990;3;4;2;1;0;5;0;L54002;1941;1960;1960;x
Beavis;54003;AST;1940;1943;1990;1990;2;6;0;2;0;5;0;L54003;1940;1960;1960;x
Bennett;54004;AST;1930;1942;1990;1990;2;6;1;2;0;5;0;L54004;1930;1944;1960;x
Berryman;54005;AST;1941;1942;1946;1990;2;6;1;3;0;5;0;L54005;1941;1960;1960;x
Bingham-White;54006;AST;1930;1930;1930;1990;1;5;518;1;0;5;0;L54006;1930;1940;1960;x
Blackburn;54007;AST;1940;1990;1990;1990;3;4;1;1;0;5;0;L54007;1940;1942;1960;x
Blamey;54008;AST;1930;1939;1941;1946;1;5;5;3;0;5;0;L54008;1930;1960;1960;x
Boase;54009;AST;1939;1942;1990;1990;2;5;0;2;0;5;0;L54009;1939;1960;1960;x
Bridgeford;54010;AST;1940;1942;1990;1990;2;5;0;2;0;5;0;L54010;1940;1960;1960;x
Burrows;54011;AST;1930;1990;1990;1990;3;4;0;1;0;5;0;L54011;1930;1945;1960;x
Callaghan;54012;AST;1930;1990;1990;1990;3;4;64;1;0;5;0;L54012;1930;1942;1960;x
Cameron;54013;AST;1938;1990;1990;1990;3;4;0;1;0;5;0;L54013;1938;1945;1960;x
Cannan;54014;AST;1930;1940;1990;1990;2;4;513;2;0;5;0;L54014;1930;1946;1960;x
Clowes;54015;AST;1938;1943;1990;1990;3;4;0;2;0;5;0;L54015;1938;1960;1960;x
Cremor;54016;AST;1942;1990;1990;1990;3;6;3;1;0;5;0;L54016;1942;1960;1960;x
Dougherty;54017;AST;1939;1942;1990;1990;2;4;2;2;0;5;0;L54017;1939;1946;1960;x
Eastick;54018;AST;1943;1990;1990;1990;3;4;0;1;0;5;0;L54018;1943;1960;1960;x
Eather;54019;AST;1930;1941;1990;1990;2;4;1;2;0;5;0;L54019;1930;1946;1960;x
Evans;54020;AST;1942;1990;1990;1990;3;4;0;1;0;5;0;L54020;1942;1960;1960;x
Fergusson;54021;AST;1938;1990;1990;1990;3;4;128;1;0;5;0;L54021;1938;1945;1960;x
Field;54022;AST;1942;1990;1990;1990;3;4;0;1;0;5;0;L54022;1942;1945;1960;x
Godfrey;54023;AST;1939;1990;1990;1990;3;4;0;1;0;5;0;L54023;1939;1942;1960;x
Herring;54024;AST;1937;1941;1944;1990;2;6;0;3;0;5;0;L54024;1937;1960;1960;x
Keatinge;54025;AST;1930;1990;1990;1990;3;5;514;1;0;5;0;L54025;1930;1946;1960;x
King;54026;AST;1938;1990;1990;1990;3;4;0;1;0;5;0;L54026;1938;1941;1960;x
Langley;54027;AST;1930;1930;1990;1990;2;4;513;1;0;5;0;L54027;1930;1941;1960;x
Lavarack;54028;AST;1937;1940;1990;1990;2;7;1;3;0;5;0;L54028;1937;1946;1960;x
Lind;54029;AST;1930;1990;1990;1990;3;4;0;1;0;5;0;L54029;1930;1942;1960;x
Lloyd  C.E.M.;54030;AST;1941;1990;1990;1990;3;4;1;1;0;5;0;L54030;1941;1946;1960;x
Lloyd  H.W.;54031;AST;1930;1941;1990;1990;2;6;514;2;0;5;0;L54031;1930;1946;1960;x
Lloyd  J.E.;54032;AST;1942;1990;1990;1990;3;5;256;1;0;5;0;L54032;1942;1945;1960;x
Mackay;54033;AST;1930;1937;1945;1990;1;6;576;4;0;5;0;L54033;1930;1960;1960;x
McKenzie;54034;AST;1942;1990;1990;1990;3;4;0;1;0;5;0;L54034;1942;1947;1960;x
Milford;54035;AST;1938;1990;1990;1990;3;4;2;1;0;5;0;L54035;1938;1960;1960;x
Morshead;54036;AST;1930;1939;1944;1990;2;7;1;4;0;5;0;L54036;1930;1960;1960;x
Murray;54037;AST;1941;1945;1990;1990;3;4;0;2;0;5;0;L54037;1941;1946;1960;x
North;54038;AST;1940;1990;1990;1990;3;4;0;1;0;5;0;L54038;1940;1945;1960;x
Northcott;54039;AST;1930;1941;1942;1990;2;6;0;3;0;5;0;L54039;1930;1960;1960;x
Phillips;54040;AST;1930;1990;1990;1990;3;4;544;1;0;5;0;L54040;1930;1942;1960;x
Plant;54041;AST;1930;1941;1990;1990;2;5;0;2;0;5;0;L54041;1930;1990;1990;x
Porter;54042;AST;1942;1990;1990;1990;3;4;0;1;0;5;0;L54042;1942;1945;1960;x
Potts;54043;AST;1942;1990;1990;1990;3;4;0;1;0;5;0;L54043;1942;1944;1960;x
Ramsay;54044;AST;1939;1944;1990;1990;3;4;64;2;0;5;0;L54044;1939;1960;1960;x
Robertson;54045;AST;1939;1942;1990;1990;2;6;128;2;0;5;0;L54045;1939;1960;1960;x
Rowell;54046;AST;1940;1942;1990;1990;2;5;0;2;0;5;0;L54046;1940;1960;1960;x
Sandover;54047;AST;1944;1990;1990;1990;3;4;0;1;0;5;0;L54047;1944;1946;1960;x
Savige;54048;AST;1938;1942;1990;1990;2;6;0;2;0;5;0;L54048;1938;1946;1960;x
Smart;54049;AST;1930;1941;1945;1990;1;4;0;3;0;5;0;L54049;1930;1960;1960;x
Squires;54050;AST;1930;1938;1990;1990;2;6;2;2;0;5;0;L54050;1930;1941;1960;x
Steele  A.B.;54051;AST;1942;1990;1990;1990;3;4;1;1;0;5;0;L54051;1942;1960;1960;x
Steele  C.S.;54052;AST;1937;1941;1990;1990;2;4;32;2;0;5;0;L54052;1937;1960;1960;x
Stevens;54053;AST;1942;1990;1990;1990;3;4;0;1;0;5;0;L54053;1942;1945;1960;x
Strutt;54054;AST;1938;1990;1990;1990;3;4;2;1;0;5;0;L54054;1938;1944;1960;x
Sturdee;54055;AST;1930;1940;1944;1990;2;6;0;3;0;5;0;L54055;1930;1960;1960;x
Sutherland;54056;AST;1939;1990;1990;19900;3;6;0;1;0;5;0;L54056;1939;1943;1960;x
Varley;54057;AST;1930;1990;1990;1990;3;4;0;1;0;5;0;L54057;1930;1944;1960;x
Vasey;54058;AST;1938;1990;1990;1990;3;6;128;1;0;5;0;L54058;1938;1960;1960;x
Windeyer;54059;AST;1942;1990;1990;1990;3;5;0;1;0;5;0;L54059;1942;1960;1960;x
Winning;54060;AST;1942;1990;1990;1990;3;4;4;1;0;5;0;L54060;1942;1946;1960;x
Wooten;54061;AST;1940;1990;1990;1990;3;4;32;1;0;5;0;L54061;1940;1960;1960;x
Wynter;54062;AST;1930;1939;1990;1990;2;6;0;2;0;5;0;L54062;1930;1945;1960;x
Boucher;54063;AST;1941;1990;1990;1990;3;5;0;1;0;5;1;L54063;1941;1960;1960;x
Collins;54064;AST;1930;1990;1990;1990;3;6;12288;2;0;5;1;L54064;1930;1941;1960;x
Colvin;54065;AST;1930;1930;1940;1945;1;4;0;3;0;5;1;L54065;1930;1960;1960;x
Crace;54066;AST;1930;1990;1990;1990;3;6;4096;1;0;5;1;L54066;1930;1942;1960;x
Crutchley;54067;AST;1930;1942;1990;1990;2;6;1536;2;0;5;1;L54067;1930;1944;1960;x
Custance;54068;AST;1938;1945;1990;1990;3;4;0;2;0;5;1;L54068;1938;1960;1960;x
Dechaineux;54069;AST;1930;1990;1990;1990;3;5;0;1;0;5;1;L54069;1930;1944;1960;x
Farncomb;54070;AST;1930;1990;1990;1990;3;5;0;1;0;5;1;L54070;1930;1960;1960;x
Getting;54071;AST;1938;1990;1990;1990;3;6;0;1;0;5;1;L54071;1938;1942;1960;x
Howden;54072;AST;1939;1990;1990;1990;3;5;2048;1;0;5;1;L54072;1939;1960;1960;x
Hyde;54073;AST;1930;1930;1990;1990;2;5;2048;1;0;5;1;L54073;1930;1941;1960;x
Royle;54074;AST;1930;1930;1941;1990;1;6;4096;2;0;5;1;L54074;1930;1945;1960;x
Showers;54075;AST;1930;1944;1945;1990;3;5;0;3;0;5;1;L54075;1930;1960;1960;x
Waller;54076;AST;1930;1990;1990;1990;3;6;8192;1;0;5;1;L54076;1930;1942;1960;x
Arthur;54077;AST;1941;1990;1990;1990;3;5;4096;1;0;5;2;L54077;1941;1946;1960;x
Bostock;54078;AST;1930;1930;1941;1990;1;6;131584;2;0;5;2;L54078;1930;1946;1960;x
Burnett;54079;AST;1941;1944;1946;1990;2;5;0;3;0;5;2;L54079;1941;1960;1960;x
Caldwell;54080;AST;1940;1990;1990;1990;3;7;4096;1;0;5;2;L54080;1940;1946;1960;x
Charlesworth;54081;AST;1938;1942;1990;1990;2;4;65536;2;0;5;2;L54081;1938;1960;1960;x
Cobby;54082;AST;1938;1990;1990;1990;3;4;131072;1;0;5;2;L54082;1938;1946;1960;x
Garing;54083;AST;1930;1940;1946;1990;2;6;0;3;0;5;2;L54083;1930;1960;1960;x
Goble;54084;AST;1930;1930;1930;1990;1;5;8704;1;0;5;2;L54084;1930;1946;1960;x
Hewitt;54085;AST;1941;1945;1990;1990;3;5;0;2;0;5;2;L54085;1941;1960;1960;x
Jeffrey;54086;AST;1943;1990;1990;1990;3;4;0;1;0;5;2;L54086;1943;1947;1960;x
Jones;54087;AST;1930;1941;1990;1990;2;6;32768;2;0;5;2;L54087;1930;1960;1960;x
