Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Bastin;68000;BEL;1938;1990;1990;1990;3;4;0;0;0;5;0;L68000;1938;1960;1960;x
Beernaerts;68001;BEL;1930;1990;1990;1990;3;3;0;0;0;5;0;L68001;1930;1939;1960;x
Chardonne;68002;BEL;1930;1930;1990;1990;2;5;256;0;0;2;0;L68002;1930;1960;1960;x
Collyns;68003;BEL;1930;1930;1938;1990;1;4;513;2;0;5;0;L68003;1930;1960;1960;x
Daufresne de la Chevalerie;68004;BEL;1930;1942;1990;1990;2;3;0;1;0;5;0;L68004;1930;1960;1960;x
de Boussu-Walcourt;68005;BEL;1930;1930;1945;1990;2;3;2;1;0;5;0;L68005;1930;1946;1960;x
de Grave;68006;BEL;1939;1990;1990;1990;3;3;0;0;0;5;0;L68006;1939;1960;1960;x
de Krahe;68007;BEL;1930;1930;1990;1990;2;3;2;0;0;5;0;L68007;1930;1939;1960;x
Deffontaine;68008;BEL;1930;1939;1990;1990;2;3;2;1;0;5;0;L68008;1930;1960;1960;x
Denis;68009;BEL;1930;1937;1990;1990;2;3;2;1;0;5;0;L68009;1930;1960;1960;x
Descamps;68010;BEL;1942;1990;1990;1990;3;4;1;0;0;5;0;L68010;1942;1960;1960;x
Drubbel;68011;BEL;1930;1990;1990;1990;3;6;513;2;0;5;0;L68011;1930;1939;1960;x
Duthoy;68012;BEL;1942;1990;1990;1990;3;3;64;0;0;5;0;L68012;1942;1960;1960;x
Gerard;68013;BEL;1930;1942;1990;1990;2;5;2;1;0;5;0;L68013;1930;1960;1960;x
Janssens;68014;BEL;1944;1990;1990;1990;3;3;1;0;0;5;0;L68014;1944;1960;1960;x
Keyaerts;68015;BEL;1930;1930;1990;1990;2;4;2;0;0;5;0;L68015;1930;1960;1960;x
Liebrecht;68016;BEL;1937;1990;1990;1990;3;3;128;0;0;5;0;L68016;1937;1960;1960;x
Michez;68017;BEL;1930;1940;1990;1990;2;3;128;1;0;5;0;L68017;1930;1960;1960;x
Michiels;68018;BEL;1930;1930;1990;1990;2;5;2;0;0;5;0;L68018;1930;1960;1960;x
Nuyten;68019;BEL;1930;1930;1990;1990;2;5;513;1;0;5;0;L68019;1930;1939;1960;x
Pire;68020;BEL;1937;1942;1990;1990;2;5;16;1;0;5;0;L68020;1937;1960;1960;x
Piron;68021;BEL;1939;1941;1990;1990;2;5;128;1;0;5;0;L68021;1939;1960;1960;x
Selliers de Moranville;68022;BEL;1930;1930;1990;1990;2;3;514;1;0;5;0;L68022;1930;1960;1960;x
Six;68023;BEL;1940;1990;1990;1990;3;3;0;0;0;5;0;L68023;1940;1960;1960;x
Strydonck de Burkel;68024;BEL;1930;1930;1930;1940;1;5;2;3;0;5;0;L68024;1930;1946;1960;x
Triest;68025;BEL;1930;1990;1990;1990;3;3;64;0;0;5;0;L68025;1930;1960;1960;x
van Caubergh;68026;BEL;1930;1930;1990;1990;2;5;513;1;0;5;0;L68026;1930;1960;1960;x
van den Bergen;68027;BEL;1930;1930;1930;1990;1;3;2;0;0;5;0;L68027;1930;1960;1960;x
van der Hofstadt;68028;BEL;1930;1937;1990;1990;2;4;2;1;0;5;0;L68028;1930;1960;1960;x
van der Veken;68029;BEL;1930;1942;1990;1990;2;5;2;1;0;5;0;L68029;1930;1947;1960;x
van Overstraeten;68030;BEL;1930;1930;1942;1990;2;5;513;2;0;5;0;L68030;1930;1940;1960;x
van Langehove;68031;BEL;1938;1990;1990;1990;3;3;32;0;0;5;0;L68031;1938;1960;1960;x
van Parys;68032;BEL;1942;1990;1990;1990;3;3;0;0;0;5;0;L68032;1942;1960;1960;x
Wibier;68033;BEL;1937;1990;1990;1990;3;3;0;0;0;5;0;L68033;1937;1960;1960;x
Billet;68034;BEL;1938;1990;1990;1990;3;5;0;0;0;5;1;L68034;1938;1942;1960;x
Blasin;68035;BEL;1930;1990;1990;1990;3;3;1024;0;0;5;1;L68035;1930;1960;1960;x
Daumerie;68036;BEL;1930;1990;1990;1990;3;3;0;0;0;5;1;L68036;1930;1944;1960;x
Geluyckens;68037;BEL;1941;1990;1990;1990;3;4;0;0;0;5;1;L68037;1941;1960;1960;x
Goethals;68038;BEL;1944;1990;1990;1990;3;3;0;0;0;5;1;L68038;1944;1990;1990;x
Hellemans;68039;BEL;1945;1990;1990;1990;3;3;0;0;0;5;1;L68039;1945;1960;1960;x
Timmermans;68040;BEL;1930;1930;1990;1990;2;3;2048;0;0;5;1;L68040;1930;1960;1960;x
Daumerie;68041;BEL;1930;1990;1990;1990;3;4;131072;0;0;5;2;L68041;1930;1944;1960;x
de Hemricourt de Grunne;68042;BEL;1930;1990;1990;1990;3;5;0;0;0;5;2;L68042;1930;1941;1960;x
du Moncrou;68043;BEL;1939;1990;1990;1990;3;3;0;0;0;5;2;L68043;1939;1960;1960;x
du Vivier;68044;BEL;1941;1990;1990;1990;3;3;0;0;0;5;2;L68044;1941;1960;1960;x
Guillaume;68045;BEL;1938;1990;1990;1990;3;3;0;0;0;5;2;L68045;1938;1944;1960;x
Iserentant;68046;BEL;1930;1930;1930;1990;1;4;4096;1;0;5;2;L68046;1930;1960;1960;x
Leboutte;68047;BEL;1939;1945;1990;1990;3;4;0;1;0;5;2;L68047;1939;1960;1960;x
Lienart;68048;BEL;1930;1930;1990;1990;2;3;16384;0;0;5;2;L68048;1930;1960;1960;x
Offenberg;68049;BEL;1941;1990;1990;1990;3;3;0;0;0;5;2;L68049;1941;1960;1960;x
van Rolleghem;68050;BEL;1942;1990;1990;1990;3;3;0;0;0;5;2;L68050;1942;1960;1960;x
Wouters;68051;BEL;1939;1943;1946;1990;2;4;4096;2;0;5;2;L68051;1939;1960;1960;x
King Albert I;68053;BEL;1909;1909;1909;1909;0;7;0;3;0;5;0;40;1909;1932;1999;x
de Monge;68054;BEL;1911;1917;1930;1932;2;6;0;2;0;4;0;unknownleader;1911;1932;1999;x
Clooten;68055;BEL;1909;1915;1930;1932;2;6;0;2;0;4;0;41;1909;1932;1999;x
Deguise;68056;BEL;1908;1913;1932;1932;2;6;2;2;0;4;0;42;1908;1932;1999;x
de Selliers de Moranville;68057;BEL;1904;1911;1914;1932;2;6;512;2;0;4;0;43;1904;1932;1999;x
Baix;68058;BEL;1908;1912;1932;1932;2;7;0;2;0;4;0;44;1908;1932;1999;x
Dossin de Saint-Georges;68059;BEL;1902;1908;1920;1932;2;7;0;3;0;4;0;45;1902;1932;1999;x
Leman;68060;BEL;1904;1911;1932;1932;2;7;2;3;0;4;0;46;1904;1920;1999;x
Michel du Faing d'Aigremont;68061;BEL;1905;1911;1932;1932;2;7;2;2;0;4;0;47;1905;1932;1999;x
Ruwet;68062;BEL;1908;1914;1932;1932;2;6;0;2;0;4;0;48;1908;1932;1999;x
Lantonnois van Rode;68063;BEL;1900;1908;1932;1932;2;6;0;2;0;4;0;49;1900;1934;1999;x
de Witte de Haelen;68064;BEL;1908;1912;1932;1932;2;7;4;3;0;4;0;50;1908;1932;1999;x
Dufour;68065;BEL;1911;1916;1932;1932;2;5;0;2;0;4;0;51;1911;1932;1999;x
de Ceuninck;68066;BEL;1903;1912;1919;1932;2;6;0;3;0;4;0;52;1903;1932;1999;x
Maglinse;68067;BEL;1917;1920;1932;1932;2;6;0;2;0;4;0;7962;1917;1932;1999;x
Jacquet;68068;BEL;1906;1915;1932;1932;2;5;0;2;0;4;0;53;1906;1918;1999;x
Baltia;68069;BEL;1907;1918;1932;1932;3;7;0;2;0;4;0;54;1907;1932;1999;x
Bernheim;68070;BEL;1911;1915;1932;1932;2;6;0;2;0;4;0;55;1911;1932;1999;x
Drubbel;68071;BEL;1906;1915;1932;1932;2;7;2;3;0;4;0;56;1906;1924;1999;x
Jacques de Dixmude;68072;BEL;1907;1914;1932;1932;2;7;0;3;0;4;0;57;1907;1928;1999;x
Rucquoy;68073;BEL;1908;1917;1925;1932;2;6;0;3;0;4;0;58;1908;1932;1999;x
Biebuyck;68074;BEL;1904;1913;1932;1932;2;6;0;3;0;4;0;59;1904;1932;1999;x
Lemercier;68075;BEL;1918;1932;1932;1932;3;6;4;1;0;4;0;60;1918;1932;1999;x
Lambotte;68076;BEL;1919;1932;1932;1932;3;7;0;2;0;4;0;61;1919;1932;1999;x
Wahis;68077;BEL;1897;1899;1912;1932;2;7;4;3;0;4;0;62;1897;1914;1999;x
du Chastel D'Andelot de la Howarderie;68078;BEL;1902;1911;1932;1932;2;6;0;2;0;4;0;63;1902;1920;1999;x
Delforge;68079;BEL;1908;1918;1932;1932;3;6;1;2;0;4;0;64;1908;1932;1999;x
d'Hespel;68080;BEL;1917;1932;1932;1932;3;5;0;1;0;4;0;65;1917;1932;1999;x
Proost;68081;BEL;1908;1916;1932;1932;2;6;0;3;0;4;0;66;1908;1932;1999;x
Colin;68082;BEL;1915;1932;1932;1932;3;5;0;1;0;4;0;67;1915;1932;1999;x
Coppejans;68083;BEL;1910;1919;1932;1932;3;6;0;2;0;4;0;68;1910;1932;1999;x
Lotz;68084;BEL;1911;1920;1932;1932;3;7;0;2;0;4;0;69;1911;1932;1999;x
Arnold;68085;BEL;1907;1920;1932;1932;3;6;0;2;0;4;0;70;1907;1932;1999;x
Greindl;68086;BEL;1916;1920;1932;1932;2;6;0;2;0;4;0;71;1916;1932;1999;x
Maes;68087;BEL;1908;1915;1932;1932;3;6;0;2;0;4;0;72;1908;1915;1999;x
Buffin de Chosal;68088;BEL;1909;1915;1932;1932;2;6;4;2;0;4;0;73;1909;1932;1999;x
Andringa;68089;BEL;1908;1932;1932;1932;3;5;0;1;0;4;0;74;1908;1932;1999;x
Verbist;68090;BEL;1910;1920;1932;1932;3;6;4;2;0;4;0;75;1910;1932;1999;x
Bertrand;68091;BEL;1908;1916;1932;1932;2;6;0;2;0;4;0;76;1908;1932;1999;x
Gillain;68092;BEL;1907;1915;1920;1932;2;6;0;3;0;4;0;77;1907;1932;1999;x
Janssen;68093;BEL;1908;1932;1932;1932;3;6;0;2;0;4;0;78;1908;1932;1999;x
Muller;68094;BEL;1904;1913;1932;1932;2;6;0;2;0;4;0;79;1904;1920;1999;x
Tombeur;68095;BEL;1916;1920;1932;1932;2;6;16;2;0;4;0;80;1916;1932;1999;x
de Ryckel;68096;BEL;1914;1918;1932;1932;3;6;4;2;0;4;0;unknownleader;1914;1932;1999;x
Jacquet;68097;BEL;1912;1932;1932;1932;3;7;65536;0;0;4;2;81;1912;1932;1999;x
Olieslagers;68098;BEL;1906;1932;1932;1932;3;6;0;0;0;4;2;82;1906;1932;1999;x
Coppens;68099;BEL;1914;1918;1932;1932;3;8;4096;1;0;4;2;83;1914;1932;1999;x
Thieffry;68100;BEL;1914;1932;1932;1932;3;7;32768;1;0;4;2;84;1914;1932;1999;x
Wahis;68101;BEL;1908;1914;1932;1932;2;6;0;0;0;4;2;85;1908;1932;1999;x
Crombez;68102;BEL;1911;1932;1932;1932;3;6;0;0;0;4;2;86;1911;1932;1999;x
Demanet;68103;BEL;1914;1932;1932;1932;3;5;0;0;0;4;2;87;1914;1932;1999;x
Meulemeester;68104;BEL;1915;1932;1932;1932;3;6;0;0;0;4;2;88;1915;1932;1999;x
d'Hespel;68105;BEL;1907;1932;1932;1932;3;5;8192;0;0;4;2;89;1907;1932;1999;x
Hanciau;68106;BEL;1914;1932;1932;1932;3;5;0;0;0;4;2;90;1914;1932;1999;x
de Caters;68107;BEL;1904;1932;1932;1932;3;5;0;0;0;4;2;91;1904;1932;1999;x
Hedo;68108;BEL;1915;1932;1932;1932;3;5;0;0;0;4;2;92;1915;1932;1999;x
de Saint-Marcq;68109;BEL;1914;1932;1932;1932;3;5;0;0;0;4;2;93;1914;1932;1999;x
Stellingwerf;68110;BEL;1910;1932;1932;1932;3;5;0;0;0;4;2;94;1910;1932;1999;x
Tyck;68111;BEL;1907;1932;1932;1932;3;5;8192;0;0;4;2;95;1907;1932;1999;x
de Rennette de Villers Perwin;68112;BEL;1918;1925;1932;1932;3;5;0;1;0;4;0;96;1918;1932;1999;x
Jungbluth;68113;BEL;1903;1911;1932;1932;2;6;0;3;0;4;0;97;1903;1930;1999;x
du Roy de Blicquy;68114;BEL;1917;1924;1932;1932;2;6;0;2;0;4;0;98;1917;1932;1999;x
Guiette;68115;BEL;1906;1917;1932;1932;2;6;0;2;0;4;0;99;1906;1929;1999;x
de Blauwe;68116;BEL;1914;1924;1932;1932;3;5;0;1;0;4;0;100;1914;1932;1999;x
de Posch;68117;BEL;1911;1918;1932;1932;2;6;1;2;0;4;0;101;1911;1932;1999;x
de Jonghe d'Ardoye;68118;BEL;1914;1920;1932;1932;3;6;1;2;0;4;0;102;1914;1932;1999;x
Lauwens;68119;BEL;1917;1922;1932;1932;2;6;1;1;0;4;0;103;1917;1932;1999;x
Demuyter;68120;BEL;1919;1990;1990;1990;3;5;0;0;0;5;2;104;1919;1990;1999;x
Sarteel;68121;BEL;1911;1990;1990;1990;3;5;0;0;0;5;2;105;1911;1932;1999;x
Verbessem;68122;BEL;1916;1990;1990;1990;3;5;0;0;0;5;2;106;1916;1932;1999;x
van der Born;68123;BEL;1908;1990;1990;1990;3;5;0;0;0;5;2;107;1908;1990;1999;x
Braconnier;68124;BEL;1902;1990;1990;1990;3;6;0;1;0;5;0;108;1902;1920;1999;x
Brassine;68125;BEL;1897;1897;1897;1990;1;6;512;1;0;5;0;109;1897;1899;1999;x
