Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Bauzus;517000;BLR;1930;1990;1990;1990;3;4;0;0;0;5;0;L517000;1930;1960;1960;x
Bene;517001;BLR;1930;1990;1990;1990;3;3;0;0;0;5;0;L517001;1930;1960;1960;x
Berger;517002;BLR;1930;1990;1990;1990;3;2;0;0;0;5;0;L517002;1930;1960;1960;x
Bodnar;517003;BLR;1930;1990;1990;1990;3;4;128;0;0;5;0;L517003;1930;1960;1960;x
Brandt;517004;BLR;1930;1990;1990;1990;3;3;32;0;0;5;0;L517004;1930;1960;1960;x
Bronsart von Schellendorff;517005;BLR;1930;1990;1990;1990;3;3;128;0;0;5;0;L517005;1930;1960;1960;x
Bucher;517006;BLR;1930;1990;1990;1990;3;3;2;0;0;5;0;L517006;1930;1960;1960;x
Crisolli;517007;BLR;1930;1990;1990;1990;3;3;0;1;0;5;0;L517007;1930;1960;1960;x
Domansky;517008;BLR;1930;1990;1990;1990;3;3;64;0;0;5;0;L517008;1930;1960;1960;x
Dowbor-Musnicki;517009;BLR;1930;1939;1990;1990;2;3;1;2;0;5;0;L517009;1930;1960;1960;x
Dürking;517010;BLR;1930;1990;1990;1990;3;3;8;0;0;5;0;L517010;1930;1960;1960;x
Frömert;517011;BLR;1930;1990;1990;1990;3;3;4;0;0;5;0;L517011;1930;1960;1960;x
Förster;517012;BLR;1930;1990;1990;1990;3;2;0;0;0;5;0;L517012;1930;1960;1960;x
Heyden;517013;BLR;1930;1990;1990;1990;3;3;32;0;0;5;0;L517013;1930;1960;1960;x
Kalinovski;517014;BLR;1930;1939;1990;1990;2;4;4;1;0;5;0;L517014;1930;1960;1960;x
Kaminski;517015;BLR;1930;1930;1990;1990;2;2;0;1;0;5;0;M517048;1930;1960;1960;x
