Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Arandos Villa;170000;BOL;1945;1990;1990;1990;3;2;256;0;0;5;0;L170000;1945;1960;1960;x
Ballivián Rojas;170001;BOL;1930;1942;1946;1990;2;4;64;2;0;3;0;L170001;1930;1947;1960;x
Bilbao Roja;170002;BOL;1939;1944;1990;1990;3;4;256;1;0;4;0;L170002;1939;1960;1960;x
Blanco Galindo;170003;BOL;1930;1940;1990;1990;2;3;128;1;0;3;0;L170003;1930;1946;1960;x
Busch Beccera;170004;BOL;1930;1930;1990;1990;2;5;16;1;0;4;0;L170004;1930;1939;1960;x
Chacón Morales;170005;BOL;1944;1990;1990;1990;3;3;256;0;0;3;0;L170005;1944;1960;1960;x
Eduardo Sanchéz;170006;BOL;1945;1990;1990;1990;3;3;0;0;0;4;0;L170006;1945;1960;1960;x
Franco Rafél;170007;BOL;1930;1941;1946;1990;2;3;0;2;0;4;0;L170007;1930;1947;1960;x
Kundt;170008;BOL;1930;1930;1930;1990;1;3;0;0;0;3;0;L170008;1930;1938;1960;x
Limár Lanza;170009;BOL;1930;1930;1941;1990;2;3;2;1;0;5;0;L170009;1930;1943;1960;x
Lopez y Lopez;170010;BOL;1943;1947;1990;1990;3;3;1;1;0;3;0;L170010;1943;1947;1960;x
Marzana Reyés;170011;BOL;1930;1930;1990;1990;2;5;544;1;0;4;0;L170011;1930;1940;1960;x
Monje Guiterrez;170012;BOL;1942;1945;1947;1990;2;4;4;2;0;4;0;L170012;1943;1960;1960;x
Montalvo Ruiz;170013;BOL;1938;1940;1990;1990;3;3;1;1;0;3;0;L170013;1938;1944;1960;x
Morales Jauregi;170014;BOL;1937;1990;1990;1990;3;3;0;0;0;5;0;L170014;1937;1946;1960;x
Ovando Candia;170015;BOL;1930;1939;1990;1990;2;3;0;1;0;2;0;L170015;1930;1947;1960;x
Pastor Baldiviseo;170016;BOL;1942;1990;1990;1990;3;3;0;0;0;3;0;L170016;1944;1960;1960;x
Peñaranda del Castillo;170017;BOL;1930;1930;1930;1940;1;3;4;1;0;4;0;L170017;1930;1944;1960;x
Pinto Sanchez;170018;BOL;1943;1990;1990;1990;3;4;0;0;0;3;0;L170018;1943;1960;1960;x
Quintanilla Quiroga;170019;BOL;1930;1930;1990;1990;2;3;1;0;0;4;0;L170019;1930;1940;1960;x
