Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Agong;567000;BRU;1943;1946;1990;1990;2;3;1;1;0;5;0;L567000;1943;1960;1960;x
Down;567001;BRU;1930;1930;1990;1990;2;4;0;0;0;5;0;M567010;1930;1943;1960;x
Enyang;567002;BRU;1941;1990;1990;1990;3;2;0;0;0;5;0;M567015;1941;1945;1960;x
Ghati;567003;BRU;1945;1990;1990;1990;3;3;128;0;0;5;0;L567003;1945;1960;1960;x
Gibb;567004;BRU;1938;1990;1990;1990;3;5;256;1;0;5;0;L567004;1938;1960;1960;x
Henderson;567005;BRU;1930;1930;1930;1990;1;4;4;0;0;5;0;M567008;1930;1942;1960;x
Kamarul;567006;BRU;1943;1946;1990;1990;2;3;1;1;0;5;0;M567014;1943;1960;1960;x
Kattiri;567007;BRU;1930;1930;1930;1990;1;3;513;1;0;5;0;L567007;1930;1941;1960;x
Martanda;567008;BRU;1930;1990;1990;1990;3;2;32;0;0;5;0;M567019;1930;1945;1960;x
Masyhur;567009;BRU;1945;1990;1990;1990;3;3;1;0;0;5;0;M567020;1945;1960;1960;x
Rama Varma VI;567010;BRU;1930;1930;1990;1990;2;2;2;0;0;5;0;M567023;1930;1943;1960;x
Ranjit;567011;BRU;1930;1990;1990;1990;3;3;528;1;0;5;0;M567004;1930;1942;1960;x
Rattak;567012;BRU;1944;1990;1990;1990;3;4;0;0;0;5;0;M567022;1944;1960;1960;x
Razik;567013;BRU;1945;1990;1990;1990;3;3;64;0;0;5;0;M567018;1945;1960;1960;x
Salif;567014;BRU;1930;1942;1944;1990;2;3;128;2;0;5;0;M567007;1930;1960;1960;x
Sumair;567015;BRU;1938;1990;1990;1990;3;4;4;0;0;5;0;L567015;1938;1947;1960;x
Taranagoor;567016;BRU;1930;1990;1990;1990;3;2;2;0;0;5;0;M567021;1930;1945;1960;x
Yakut;567017;BRU;1930;1930;1990;1990;2;2;0;0;0;5;0;M567017;1930;1946;1960;x
Arant;567018;BRU;1930;1939;1990;1990;2;4;1024;1;0;5;1;M567009;1930;1960;1960;x
Dewanagar Singh;567019;BRU;1944;1990;1990;1990;3;3;8192;0;0;5;1;M567026;1944;1960;1960;x
Noodai;567020;BRU;1930;1930;1990;1990;2;2;0;0;0;5;1;M567013;1930;1945;1960;x
Rama Varma VI;567021;BRU;1930;1990;1990;1990;3;2;0;0;0;5;1;M567023;1930;1943;1960;x
Down;567022;BRU;1930;1930;1990;1990;2;3;4096;1;0;5;2;M567010;1930;1943;1960;x
Emck;567023;BRU;1944;1946;1990;1990;3;4;16384;1;0;5;2;M567029;1944;1960;1960;x
Holmes;567024;BRU;1940;1990;1990;1990;3;4;0;1;0;5;2;L567024;1940;1960;1960;x
Oddie;567025;BRU;1940;1943;1990;1990;2;4;131072;1;0;5;2;M567028;1940;1960;1960;x
Taranagoor;567026;BRU;1930;1930;1990;1990;2;2;0;0;0;5;2;M567021;1930;1945;1960;x
Vincent;567027;BRU;1940;1990;1990;1990;3;4;8192;0;0;5;2;L567027;1940;1960;1960;x
Commander;567900;BRU;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;567901;BRU;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;567902;BRU;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;567903;BRU;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;567904;BRU;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;567905;BRU;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;567906;BRU;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;567907;BRU;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;567908;BRU;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;567909;BRU;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;567910;BRU;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;567911;BRU;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;567912;BRU;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;567913;BRU;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;567914;BRU;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;567915;BRU;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
