Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Atanasov;34000;BUL;1944;1945;1990;1990;2;5;0;1;0;5;0;L34000;1944;1960;1960;x
Bakyrdjiev;34001;BUL;1930;1930;1930;1990;1;7;513;1;0;5;0;L34001;1930;1938;1960;x
Boratchev;34002;BUL;1944;1946;1990;1990;3;5;0;1;0;5;0;L34002;1944;1960;1960;x
Boris III;34003;BUL;1930;1930;1930;1930;0;4;2;0;0;5;0;L34003;1930;1943;1960;x
Boydev;34004;BUL;1940;1942;1943;1990;2;4;1;2;0;3;0;L34004;1940;1960;1960;x
Bylgaranov;34005;BUL;1944;1945;1990;1990;3;5;256;1;0;5;0;L34005;1944;1960;1960;x
Daskalov;34006;BUL;1930;1939;1942;1990;2;5;0;2;0;3;0;L34006;1930;1960;1960;x
Dilchovski;34007;BUL;1944;1990;1990;1990;3;4;0;0;0;2;0;L34007;1944;1960;1960;x
Dotcev;34008;BUL;1942;1946;1990;1990;3;5;0;1;0;3;0;L34008;1942;1960;1960;x
Ganev  S.;34009;BUL;1944;1990;1990;1990;3;4;0;0;0;3;0;L34009;1944;1960;1960;x
Ganev  T.;34010;BUL;1942;1945;1990;1990;3;5;0;1;0;4;0;L34010;1942;1960;1960;x
Gentchev;34011;BUL;1942;1944;1990;1990;2;5;0;1;0;2;0;L34011;1942;1946;1960;x
Georgiev  T.;34012;BUL;1930;1930;1990;1990;2;4;0;0;0;4;0;L34012;1930;1939;1960;x
Georgiev  Z.;34013;BUL;1944;1990;1990;1990;3;4;0;0;0;5;0;L34013;1944;1960;1960;x
Grekov;34014;BUL;1944;1945;1990;1990;2;5;0;1;0;5;0;L34014;1944;1960;1960;x
Hadjiivanov;34015;BUL;1942;1944;1990;1990;2;4;0;1;0;4;0;L34015;1942;1960;1960;x
Hadjipetkov;34016;BUL;1937;1940;1990;1990;2;5;0;1;0;2;0;L34016;1937;1942;1960;x
Iliev;34017;BUL;1943;1990;1990;1990;3;4;0;0;0;4;0;L34017;1943;1960;1960;x
Iovov;34018;BUL;1930;1990;1990;1990;3;4;513;1;0;3;0;L34018;1930;1940;1960;x
