Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
An San Kham;541000;CMB;1930;1990;1990;1990;3;2;1;0;0;5;0;L541000;1930;1960;1960;x
Chhun Lim;541001;CMB;1930;1945;1990;1990;2;2;64;1;0;5;0;M541045;1930;1960;1960;x
Claude;541002;CMB;1942;1990;1990;1990;3;3;256;0;0;5;0;L541002;1942;1960;1960;x
Coquoin;541003;CMB;1937;1990;1990;1990;3;3;128;0;0;5;0;L541003;1937;1943;1960;x
de Roussac Salcién;541004;CMB;1930;1930;1990;1990;2;4;514;1;0;5;0;M541008;1930;1941;1960;x
Fournier de la Barre;541005;CMB;1940;1990;1990;1990;3;4;129;1;0;5;0;L541005;1940;1960;1960;x
Gauthier;541006;CMB;1930;1930;1943;1990;2;3;258;1;0;5;0;M541007;1930;1960;1960;x
Kieng Vang;541007;CMB;1930;1945;1990;1990;2;3;1;1;0;5;0;M541047;1930;1960;1960;x
Krisan Cheda;541008;CMB;1938;1990;1990;1990;3;2;0;0;0;5;0;M541026;1938;1960;1960;x
Laffon;541009;CMB;1940;1990;1990;1990;3;4;128;0;0;5;0;M541048;1940;1960;1960;x
Lon Nol;541010;CMB;1941;1946;1990;1990;2;3;4;1;0;5;0;M541035;1941;1960;1960;x
Noireau;541011;CMB;1940;1990;1990;1990;3;4;272;1;0;5;0;L541011;1940;1960;1960;x
Oliver;541012;CMB;1939;1990;1990;1990;3;3;96;1;0;5;0;L541012;1939;1945;1960;x
Quantin;541013;CMB;1941;1990;1990;1990;3;3;256;0;0;5;0;L541013;1941;1960;1960;x
Sakiwat Phirun;541014;CMB;1939;1990;1990;1990;3;2;0;0;0;5;0;M541037;1939;1960;1960;x
Sihanouk Norodom;541015;CMB;1941;1941;1941;1990;1;2;0;0;0;5;0;M541044;1941;1960;1960;x
Sisowath Monireth;541016;CMB;1930;1940;1990;1990;2;2;1;1;0;5;0;M541046;1930;1960;1960;x 
Sisowath Monivong;541017;CMB;1930;1930;1930;1990;1;2;0;0;0;5;0;L541017;1930;1941;1960;x
Sisowath Watchayavong;541018;CMB;1930;1943;1990;1990;2;2;0;1;0;5;0;M541049;1930;1960;1960;x
Son Sen;541019;CMB;1930;1940;1990;1990;2;5;16;1;0;5;0;M541051;1930;1960;1960;x
Tranape;541020;CMB;1940;1990;1990;1990;3;4;256;0;0;5;0;L541020;1940;1960;1960;x
Claude;541021;CMB;1942;1990;1990;1990;3;2;8192;1;0;5;1;L541002;1942;1960;1960;x
Hy Weng;541022;CMB;1939;1990;1990;1990;3;2;8192;0;0;5;1;M541041;1939;1960;1960;x
Norodom Sihanouk;541023;CMB;1941;1941;1990;1990;2;2;0;0;0;5;1;M541054;1941;1960;1960;x
Patou;541024;CMB;1939;1943;1990;1990;2;4;4096;1;0;5;1;M541053;1939;1960;1960;x
Thibeaudeau;541025;CMB;1930;1930;1990;1990;2;3;1024;1;0;5;1;M541002;1930;1943;1960;x
