Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Alexander;52000;CAN;1930;1937;1990;1990;2;5;513;2;0;5;0;L52000;1930;1942;1960;x
Allard;52001;CAN;1948;1958;1966;1990;3;7;4;2;0;5;0;L52001;1948;1990;1990;x
Anderson  J.F.V.;52002;CAN;1940;1990;1990;1990;3;4;32;1;0;5;0;L52002;1940;1946;1960;x
Anderson  T.V.;52003;CAN;1930;1938;1990;1990;2;6;35;2;0;5;0;L52003;1930;1943;1960;x
Ashton;52004;CAN;1930;1930;1990;1990;2;5;1;1;0;5;0;L52004;1930;1941;1960;x
Bernatchez;52005;CAN;1944;1990;1990;1990;3;5;4;1;0;5;0;L52005;1944;1990;1990;x
Bevan;52006;CAN;1945;1990;1990;1990;3;4;0;1;0;5;0;L52006;1945;1990;1990;x
Bingham;52007;CAN;1944;1990;1990;1990;3;6;128;1;0;4;0;L52007;1944;1990;1990;x
Boutet;52008;CAN;1938;1943;1990;1990;2;4;4;2;0;5;0;L52008;1938;1945;1960;x
Buell;52009;CAN;1930;1990;1990;1990;3;4;128;1;0;5;0;L52009;1930;1942;1960;x
Burns;52010;CAN;1943;1944;1990;1990;2;6;128;2;0;5;0;L52010;1943;1990;1990;x
Cabeldu;52011;CAN;1941;1945;1990;1990;3;6;4;2;0;5;0;L52011;1941;1990;1990;x
Calkin;52012;CAN;1939;1990;1990;1990;3;4;1;1;0;5;0;L52012;1939;1942;1960;x
Crerar;52013;CAN;1930;1942;1944;1990;1;7;5;3;0;5;0;L52013;1930;1946;1960;x
Currie;52014;CAN;1930;1940;1990;1990;2;5;64;2;0;5;0;L52014;1930;1943;1960;x
Ethell;52015;CAN;1944;1990;1990;1990;3;4;0;1;0;5;0;L52015;1944;1990;1990;x
Farndale;52016;CAN;1930;1942;1990;1990;2;5;0;2;0;5;0;L52016;1930;1990;1990;x
Forbes;52017;CAN;1941;1990;1990;1990;3;5;4;1;0;5;0;L52017;1941;1947;1960;x
Foster;52018;CAN;1940;1990;1990;1990;2;7;130;3;0;5;0;L52018;1940;1990;1990;x
Foulkes;52019;CAN;1943;1944;1945;1990;2;7;256;3;0;5;0;L52019;1943;1990;1990;x
Gammon;52020;CAN;1938;1990;1990;1990;3;4;0;1;0;5;0;L52020;1938;1940;1960;x
Gardner;52021;CAN;1944;1990;1990;1990;3;4;128;1;0;5;0;L52021;1944;1990;1990;x
Gianelli;52022;CAN;1941;1990;1990;1990;3;7;128;1;0;5;0;L52022;1941;1990;1990;x
Gordon;52023;CAN;1940;1990;1990;1990;3;5;256;1;0;5;0;L52023;1940;1944;1960;x
Harvey;52024;CAN;1930;1930;1990;1990;2;4;544;1;0;5;0;L52024;1930;1940;1960;x
Hertzberg;52025;CAN;1940;1990;1990;1990;3;4;32;1;0;5;0;L52025;1940;1944;1960;x
Hoffmeister;52026;CAN;1944;1990;1990;1990;3;5;0;2;0;5;0;L52026;1944;1990;1990;x
Hughes;52027;CAN;1930;1990;1990;1990;3;5;2;1;0;5;0;L52027;1930;1942;1960;x
Hyde;52028;CAN;1942;1990;1990;1990;3;5;128;1;0;5;0;L52028;1942;1990;1990;x
Jefferson;52029;CAN;1943;1946;1990;1990;3;6;4;2;0;5;0;L52029;1943;1990;1990;x
Keefler;52030;CAN;1944;1990;1990;1990;3;4;256;1;0;5;0;L52030;1944;1990;1990;x
Keller;52031;CAN;1942;1990;1990;1990;2;5;0;1;0;5;0;L52031;1942;1946;1960;x
Kitching;52032;CAN;1944;1990;1990;1990;3;6;128;2;0;5;0;L52032;1944;1990;1990;x
Lafferty;52033;CAN;1930;1930;1990;1990;2;6;520;1;0;5;0;L52033;1930;1939;1960;x
Lawson;52034;CAN;1930;1990;1990;1990;3;4;0;1;0;5;0;L52034;1930;1941;1960;x
Leclerc;52035;CAN;1942;1990;1990;1990;3;6;2;2;0;5;0;L52035;1942;1990;1990;x
Legér;52036;CAN;1939;1990;1990;1990;3;4;2;1;0;5;0;L52036;1939;1946;1960;x
MacKay;52037;CAN;1930;1990;1990;1990;3;4;0;1;0;5;0;L52037;1930;1940;1960;x
MacLean;52038;CAN;1943;1990;1990;1990;3;4;32;1;0;5;0;L52038;1943;1947;1960;x
Matthews;52039;CAN;1944;1990;1990;1990;3;4;0;1;0;5;0;L52039;1944;1990;1990;x
McAvity;52040;CAN;1939;1943;1990;1990;2;5;128;2;0;5;0;L52040;1939;1990;1990;x
McGowan;52041;CAN;1938;1990;1990;1990;3;5;0;1;0;5;0;L52041;1938;1944;1960;x
McKelvey;52042;CAN;1938;1945;1990;1990;2;4;2;2;0;5;0;L52042;1938;1946;1960;x
McKenzie;52043;CAN;1937;1943;1990;1990;2;5;32;2;0;5;0;L52043;1937;1990;1990;x
McNaughton;52044;CAN;1930;1930;1942;1990;1;7;32;2;0;5;0;L52044;1930;1944;1960;x
Melville;52045;CAN;1943;1990;1990;1990;3;5;32;1;0;5;0;L52045;1943;1990;1990;x
Morton;52046;CAN;1944;1990;1990;1990;3;6;5;2;0;5;0;L52046;1944;1990;1990;x
Munroe;52047;CAN;1930;1930;1990;1990;2;6;516;1;0;5;0;L52047;1930;1943;1960;x
Murchie;52048;CAN;1942;1945;1990;1990;1;5;0;2;0;5;0;L52048;1942;1946;1960;x
Neatby;52049;CAN;1940;1990;1990;1990;3;6;260;2;0;5;0;L52049;1940;1990;1990;x
Nicklin;52050;CAN;1944;1990;1990;1990;3;5;256;1;0;5;0;L52050;1944;1990;1990;x
Norton;52051;CAN;1939;1945;1990;1990;3;6;128;2;0;5;0;L52051;1939;1990;1990;x
Oulton;52052;CAN;1938;1941;1946;1990;2;6;1;3;0;5;0;L52052;1938;1990;1990;x
Pearkes;52053;CAN;1938;1941;1990;1990;2;5;4;2;0;5;0;L52053;1938;1990;1990;x
Plow;52054;CAN;1950;1990;1990;1990;3;5;64;1;0;5;0;L52054;1950;1990;1990;x
Price;52055;CAN;1941;1990;1990;1990;3;4;0;1;0;5;0;L52055;1941;1990;1990;x
Roaf;52056;CAN;1943;1990;1990;1990;3;4;32;1;0;5;0;L52056;1943;1947;1960;x
Roberts;52057;CAN;1941;1990;1990;1990;1;5;0;1;0;5;0;L52057;1941;1990;1990;x
Rockingham;52058;CAN;1944;1990;1990;1990;3;5;256;1;0;5;0;L52058;1944;1990;1990;x
Rowley;52059;CAN;1939;1990;1990;1990;3;5;256;1;0;5;0;L52059;1939;1943;1960;x
Russell;52060;CAN;1937;1990;1990;1990;3;5;4;1;0;5;0;L52060;1937;1943;1960;x
Salmon;52061;CAN;1942;1990;1990;1990;3;5;1;1;0;5;0;L52061;1942;1943;1960;x
Sansom;52062;CAN;1930;1943;1990;1990;2;6;128;2;0;5;0;L52062;1930;1990;1990;x
Sharp;52063;CAN;1941;1990;1990;1990;3;4;4;1;0;5;0;L52063;1941;1945;1960;x
Shields;52064;CAN;1938;1990;1990;1990;3;5;514;2;0;5;0;L52064;1938;1945;1960;x
Simonds;52065;CAN;1941;1943;1944;1990;2;8;132;3;0;5;0;L52065;1941;1990;1990;x
Spragee;52066;CAN;1942;1990;1990;1990;3;5;256;1;0;5;0;L52066;1942;1947;1960;x
Spry;52067;CAN;1944;1990;1990;1990;3;4;0;1;0;5;0;L52067;1944;1946;1960;x
Stanley George;52068;CAN;1930;1990;1990;1990;3;4;128;1;0;5;0;L52068;1930;1941;1960;x
Stothart;52069;CAN;1938;1945;1990;1990;3;5;1;2;0;5;0;L52069;1938;1990;1990;x
Stuart;52070;CAN;1930;1941;1943;1990;2;6;4;2;0;5;0;L52070;1930;1945;1960;x
Turnbill;52071;CAN;1939;1990;1990;1990;3;4;2;1;0;5;0;L52071;1939;1945;1960;x
Vanier;52072;CAN;1930;1930;1938;1990;1;6;516;3;0;5;0;L52072;1930;1990;1990;x
Vokes;52073;CAN;1943;1944;1990;1990;3;6;128;1;0;5;0;L52073;1943;1990;1990;x
Walker;52074;CAN;1943;1990;1990;1990;3;5;256;1;0;5;0;L52074;1943;1990;1990;x
Ware;52075;CAN;1930;1941;1990;1990;3;4;0;2;0;5;0;L52075;1930;1942;1960;x
Watson;52076;CAN;1941;1990;1990;1990;3;6;128;1;0;5;0;L52076;1941;1947;1960;x
White;52077;CAN;1930;1990;1990;1990;3;5;514;1;0;5;0;L52077;1930;1945;1960;x
Worthington;52078;CAN;1942;1946;1990;1990;3;6;128;2;0;5;0;L52078;1942;1990;1990;x
Barber;52079;CAN;1939;1941;1990;1990;2;5;0;2;0;5;1;L52079;1939;1990;1990;x
Baillie-Grohman;52080;CAN;1938;1941;1944;1990;2;7;8192;3;0;5;1;L52080;1938;1946;1960;x
Bishop;52081;CAN;1940;1990;1990;1990;3;5;0;1;0;5;1;L52081;1940;1990;1990;x
Brodeur;52082;CAN;1930;1942;1990;1990;3;5;0;2;0;5;1;L52082;1930;1946;1960;x
Desmond;52083;CAN;1945;1990;1990;1990;3;5;0;1;0;5;1;L52083;1945;1990;1990;x
DeWolf;52084;CAN;1938;1943;1990;1990;3;4;0;2;0;5;1;L52084;1938;1945;1960;x
Jones;52085;CAN;1930;1941;1990;1990;2;6;4096;2;0;5;1;L52085;1930;1990;1990;x
Law;52086;CAN;1939;1990;1990;1990;3;5;1024;1;0;5;1;L52086;1939;1946;1960;x
Murray;52087;CAN;1930;1930;1930;1990;1;5;2560;2;0;5;1;L52087;1930;1943;1960;x
Murray-Adam;52088;CAN;1942;1990;1990;1990;3;6;8192;1;0;5;1;L52088;1942;1990;1990;x
Nelles;52089;CAN;1930;1940;1943;1990;1;6;4096;3;0;5;1;L52089;1930;1945;1960;x
Palutchin;52090;CAN;1945;1990;1990;1990;3;4;0;1;0;5;1;L52090;1945;1990;1990;x
Petitpas;52091;CAN;1941;1990;1990;1990;3;5;1024;1;0;5;1;L52091;1941;1990;1990;x
Piers;52092;CAN;1943;1947;1990;1990;3;6;0;2;0;5;1;L52092;1943;1990;1990;x
Reid;52093;CAN;1943;1946;1990;1990;3;6;4096;2;0;5;1;L52093;1943;1990;1990;x
Richardson;52094;CAN;1940;1990;1990;1990;3;5;0;1;0;5;1;L52094;1940;1990;1990;x
Sonderstrom;52095;CAN;1937;1941;1990;1990;2;6;4096;2;0;5;1;L52095;1937;1990;1990;x
Welland;52096;CAN;1938;1990;1990;1990;3;5;8192;1;0;5;1;L52096;1938;1942;1960;x
Akitt;52097;CAN;1930;1941;1990;1990;2;6;33280;2;0;5;2;L52097;1930;1946;1960;x
Beurling;52098;CAN;1943;1990;1990;1990;3;5;65536;1;0;5;2;L52098;1943;1990;1990;x
Bishop;52099;CAN;1930;1941;1946;1990;2;7;16384;3;0;5;2;L52099;1930;1947;1960;x
Brookes;52100;CAN;1930;1940;1990;1990;2;5;4096;2;0;5;2;L52100;1930;1944;1960;x
Croil;52101;CAN;1930;1938;1943;1990;2;5;0;3;0;5;2;L52101;1930;1944;1960;x
Cuffe;52102;CAN;1930;1930;1939;1990;1;7;4608;3;0;5;2;L52102;1930;1990;1990;x
Fultz;52103;CAN;1942;1946;1990;1990;3;5;131584;2;0;5;2;L52103;1942;1990;1990;x
Glazier;52104;CAN;1941;1990;1990;1990;3;6;0;1;0;5;2;L52104;1941;1990;1990;x
Gower;52105;CAN;1940;1990;1990;1990;3;5;0;1;0;5;2;L52105;1940;1943;1960;x
Hurley;52106;CAN;1943;1990;1990;1990;3;5;0;1;0;5;2;L52106;1943;1990;1990;x
Kerr;52107;CAN;1943;1990;1990;1990;3;4;65536;1;0;5;2;L52107;1943;1990;1990;x
Langlois;52108;CAN;1945;1990;1990;1990;3;4;0;1;0;5;2;L52108;1945;1990;1990;x
