Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Ariosto Herrera;140000;CHL;1938;1942;1990;1990;2;3;0;1;0;3;0;L140000;1938;1945;1960;x
Ariosto Otarés;140001;CHL;1930;1990;1990;1990;3;3;0;0;0;5;0;L140001;1930;1940;1960;x
Arraya Stiglich;140002;CHL;1939;1942;1990;1990;2;4;4;1;0;5;0;L140002;1939;1960;1960;x
Barrios Tirado;140003;CHL;1938;1990;1990;1990;3;3;128;0;0;5;0;L140003;1938;1944;1960;x
Blanché;140004;CHL;1930;1930;1930;1990;1;4;528;1;0;5;0;L140004;1930;1940;1960;x
Canas Montalva;140005;CHL;1939;1990;1990;1990;3;4;0;0;0;5;0;L140005;1939;1960;1960;x
Castillo Arabquiz;140006;CHL;1941;1990;1990;1990;3;4;0;0;0;5;0;L140006;1941;1960;1960;x
Charpin Rival;140007;CHL;1930;1938;1990;1990;2;4;4;1;0;5;0;L140007;1930;1946;1960;x
Danus Peña;140008;CHL;1939;1943;1990;1990;3;3;256;1;0;5;0;L140008;1939;1960;1960;x
Escudero Otarola;140009;CHL;1930;1930;1990;1990;2;3;1;0;0;5;0;L140009;1930;1945;1960;x
Espinoza Mujica;140010;CHL;1930;1939;1941;1990;1;5;0;2;0;5;0;L140010;1930;1960;1960;x
Fernandez Reyes;140011;CHL;1930;1930;1990;1990;2;4;1;0;0;5;0;L140011;1930;1960;1960;x
Franco Hidalgo;140012;CHL;1938;1990;1990;1990;3;3;1;0;0;5;0;L140012;1938;1946;1960;x
Fuentes Pantoja;140014;CHL;1937;1942;1990;1990;3;4;0;1;0;5;0;L140014;1937;1960;1960;x
Fuentes Rabe;140015;CHL;1930;1930;1930;1990;1;3;0;1;0;5;0;L140015;1930;1941;1960;x
Izurieta Molina;140016;CHL;1942;1990;1990;1990;3;3;256;0;0;5;0;L140016;1942;1960;1960;x
Martinez Pitta;140017;CHL;1939;1941;1944;1990;2;4;2;2;0;5;0;L140017;1939;1960;1960;x
Mezzana;140018;CHL;1930;1990;1990;1990;3;5;32;0;0;5;0;L140018;1930;1944;1960;x
Migueles Caridi;140019;CHL;1938;1943;1990;1990;3;4;128;1;0;5;0;L140019;1938;1946;1960;x
Moreno;140020;CHL;1930;1930;1990;1990;2;3;64;0;0;5;0;L140020;1930;1944;1960;x
Novoa Fuentes;140021;CHL;1930;1930;1930;1930;0;3;0;1;0;5;0;L140021;1930;1942;1960;x
Osuña Marcando;140022;CHL;1943;1946;1990;1990;2;4;0;1;0;3;0;L140022;1943;1960;1960;x
