Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Cardenas Roa;180000;COL;1941;1990;1990;1990;3;5;256;0;0;5;0;L180000;1941;1960;1960;x
Castaneda Sanchez;180001;COL;1930;1930;1939;1990;1;3;1;1;0;3;0;L180001;1930;1945;1960;x
Folio Lozano;180002;COL;1938;1990;1990;1990;3;4;32;0;0;4;0;L180002;1938;1960;1960;x
Gaitan Vargas;180003;COL;1942;1944;1946;1990;2;4;0;2;0;5;0;L180003;1942;1960;1960;x
Galves Serrano;180004;COL;1930;1939;1990;1990;2;3;64;1;0;2;0;L180004;1930;1946;1960;x
German Ocampo;180005;COL;1943;1990;1990;1990;3;3;4;0;0;3;0;L180005;1943;1960;1960;x
Londoño y Londoño;180006;COL;1930;1941;1990;1990;2;3;128;1;0;2;0;L180006;1930;1946;1960;x
Martinéz Pérez;180007;COL;1944;1990;1990;1990;3;4;128;0;0;5;0;L180007;1944;1960;1960;x
Mendieta Leon;180008;COL;1939;1945;1990;1990;3;4;0;1;0;4;0;L180008;1939;1960;1960;x
Mercado;180009;COL;1930;1930;1990;1990;2;3;1;0;0;4;0;L180009;1930;1945;1960;x
Mercado Sanchez;180010;COL;1930;1939;1943;1990;2;3;128;2;0;5;0;L180010;1930;1960;1960;x
Moutis Harquer;180011;COL;1938;1942;1990;1990;2;3;4;1;0;4;0;L180011;1938;1946;1960;x
Padilla Manrique;180012;COL;1940;1990;1990;1990;3;3;4;0;0;3;0;L180012;1940;1960;1960;x
Piedrahita Arango;180013;COL;1930;1939;1990;1990;2;3;1;1;0;3;0;L180013;1930;1946;1960;x
Piedrahita Escobar;180014;COL;1930;1990;1990;1990;3;5;0;0;0;4;0;L180014;1930;1941;1960;x
Poirier Escobar;180015;COL;1930;1930;1930;1930;0;5;514;1;0;5;0;L180015;1930;1940;1960;x
Quinones;180016;COL;1930;1938;1943;1990;1;5;64;2;0;4;0;L180016;1930;1960;1960;x
Ramos Vasquez;180017;COL;1945;1990;1990;1990;3;3;0;0;0;4;0;L180017;1945;1960;1960;x
Rojas Pinilla;180018;COL;1930;1939;1942;1946;1;5;1;4;0;4;0;L180018;1930;1960;1960;x
Romero Albeiro;180019;COL;1943;1945;1990;1990;2;3;0;1;0;4;0;L180019;1943;1960;1960;x
Ruiz Mares;180020;COL;1930;1939;1990;1990;2;3;2;1;0;3;0;L180020;1930;1947;1960;x
Sanchez Vargas;180021;COL;1944;1990;1990;1990;3;3;1;0;0;5;0;L180021;1944;1960;1960;x
Tamayo;180022;COL;1943;1990;1990;1990;3;4;256;0;0;3;0;L180022;1943;1960;1960;x
Villamil Cespedes;180023;COL;1938;1943;1990;1990;3;5;256;1;0;2;0;L180023;1938;1960;1960;x
Acevedo;180024;COL;1930;1930;1930;1990;1;3;8704;1;0;5;1;L180024;1930;1960;1960;x
Balancá Morales;180025;COL;1942;1990;1990;1990;3;3;1024;0;0;5;1;L180025;1942;1960;1960;x
Benitez Moreno;180026;COL;1945;1990;1990;1990;3;3;8192;0;0;4;1;L180026;1945;1960;1960;x
Espinoza Gacitua;180027;COL;1930;1941;1990;1990;3;4;0;1;0;4;1;L180027;1930;1945;1960;x
Mantilla Duarte;180028;COL;1938;1943;1990;1990;2;3;0;1;0;3;1;L180028;1938;1960;1960;x
Monsado Urribe;180029;COL;1945;1990;1990;1990;3;5;2048;0;0;4;1;L180029;1945;1960;1960;x
Porto Anzuela;180030;COL;1940;1990;1990;1990;3;3;0;0;0;4;1;L180030;1940;1946;1960;x
Rojas Mercado;180031;COL;1939;1942;1990;1990;2;3;0;1;0;4;1;L180031;1939;1946;1960;x
Soto Gomez;180032;COL;1941;1990;1990;1990;3;3;0;0;0;4;1;L180032;1941;1960;1960;x
Trevisor Mendez;180033;COL;1944;1946;1990;1990;2;3;0;1;0;4;1;L180033;1944;1960;1960;x
Daza Alvarez;180034;COL;1930;1930;1939;1990;1;5;0;2;0;5;2;L180034;1930;1946;1960;x
