Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Braun;76300;CHC;1930;1990;1990;1990;3;4;64;1;0;4;0;L76300;1930;1939;1960;x
Zhang Qinqiu;76301;CHC;1930;1990;1990;1990;3;4;0;1;0;4;0;L76301;1930;1943;1960;x
Zhang Guotao;76302;CHC;1938;1940;1942;1944;1;4;0;4;0;1;0;L76302;1938;1970;1970;x
Chang Dingcheng;76303;CHC;1941;1990;1990;1990;3;4;0;1;0;4;0;L76303;1941;1970;1970;x
Chang Yunyi;76304;CHC;1938;1943;1946;1990;2;4;0;3;0;4;0;L76304;1938;1970;1970;x
Zhao Shangzhi;76305;CHC;1930;1990;1990;1990;3;4;0;1;0;4;0;L76305;1930;1946;1960;x
Zhao Yiman;76306;CHC;1939;1990;1990;1990;3;5;0;1;0;4;0;L76306;1939;1970;1970;x
Chen Changhao;76307;CHC;1930;1930;1939;1990;1;6;0;2;0;4;0;L76307;1930;1970;1970;x
Chen Geng;76308;CHC;1941;1945;1990;1990;3;4;0;2;0;4;0;L76308;1941;1970;1970;x
Chen Guang;76309;CHC;1940;1990;1990;1990;3;4;4;1;0;4;0;L76309;1940;1970;1970;x
Chen Yi;76310;CHC;1930;1930;1942;1990;1;7;68;3;0;4;0;L76310;1930;1970;1970;x
Zhou Enlai;76311;CHC;1930;1930;1930;1990;1;4;1;2;0;4;0;L76311;1930;1970;1970;x
Zhu De;76312;CHC;1930;1930;1930;1946;1;8;0;4;0;4;0;L76312;1930;1970;1970;x
He Long;76313;CHC;1942;1943;1990;1990;2;6;0;2;0;3;0;L76313;1942;1970;1970;x
Xiang Ying;76314;CHC;1930;1990;1990;1990;3;4;0;1;0;4;0;L76314;1930;1939;1960;x
Xu Haidong;76315;CHC;1938;1940;1990;1990;2;4;0;2;0;4;0;L76315;1938;1970;1970;x
Xu Xiangqian;76316;CHC;1940;1943;1990;1990;2;4;0;2;0;4;0;L76316;1940;1970;1970;x
Xu Guangda;76317;CHC;1939;1942;1947;1990;2;5;0;3;0;4;0;L76317;1939;1970;1970;x
Huang Kecheng;76318;CHC;1940;1945;1990;1990;3;4;0;2;0;4;0;L76318;1940;1970;1970;x
Gao Gang;76319;CHC;1930;1990;1990;1990;3;4;16;1;0;4;0;L76319;1930;1945;1960;x
Kim Weon-bong;76320;CHC;1940;1990;1990;1990;3;4;0;1;0;2;0;L76320;1940;1944;1960;x
Li Chen;76321;CHC;1943;1990;1990;1990;3;4;16;1;0;4;0;L76321;1943;1970;1970;x
Li Xiannian;76322;CHC;1930;1930;1940;1990;1;4;0;2;0;4;0;L76322;1930;1970;1970;x
Li Youbang;76323;CHC;1938;1990;1990;1990;3;4;1;1;0;4;0;L76323;1938;1946;1960;x
Lin Biao;76324;CHC;1938;1942;1955;1957;1;8;18;5;0;3;0;L76324;1938;1970;1970;x
