Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
David;574000;CON;1944;1946;1990;1990;2;3;4;1;0;5;0;L574000;1944;1960;1960;x
Defraiteur;574001;CON;1939;1943;1946;1990;1;5;128;2;0;5;0;M574028;1939;1960;1960;x
de Vlaminge;574002;CON;1930;1930;1930;1990;1;6;3;1;0;5;0;M574006;1930;1945;1960;x
Deruycke;574003;CON;1930;1930;1990;1990;2;4;2;0;0;5;0;M574005;1930;1946;1960;x
Gerima;574004;CON;1945;1990;1990;1990;3;3;256;0;0;5;0;L574004;1945;1960;1960;x
Kasavubu;574005;CON;1939;1941;1944;1990;1;4;32;2;0;5;0;M574027;1939;1960;1960;x
Lapierre;574006;CON;1930;1990;1990;1990;3;5;528;1;0;5;0;M574024;1930;1941;1960;x
LeMagnen;574007;CON;1930;1930;1990;1990;2;4;514;1;0;5;0;M574029;1930;1942;1960;x
Manera;574008;CON;1930;1990;1990;1990;3;4;64;0;0;5;0;L574008;1930;1960;1960;x
Mboma;574009;CON;1943;1945;1990;1990;2;3;5;1;0;5;0;L574009;1943;1960;1960;x
Micombero;574010;CON;1944;1990;1990;1990;3;4;256;0;0;5;0;M574022;1944;1960;1960;x
Mobutu;574011;CON;1943;1945;1946;1990;1;4;1;2;0;5;0;M574030;1943;1960;1960;x
Mutara III;574012;CON;1930;1930;1930;1930;0;2;1;0;0;5;0;M574001;1930;1960;1960;x
Renondeau;574013;CON;1930;1990;1990;1990;3;3;2;0;0;5;0;M574026;1930;1943;1960;x
Teissier;574014;CON;1930;1990;1990;1990;3;3;1;0;0;5;0;L574014;1930;1960;1960;x
van Reynden;574015;CON;1930;1930;1939;1990;1;5;0;1;0;5;0;M574008;1930;1960;1960;x
Berghen;574016;CON;1940;1990;1990;1990;3;3;1024;0;0;5;1;M574031;1940;1960;1960;x
Mbonyumutwa;574017;CON;1944;1990;1990;1990;3;2;0;0;0;5;1;M574032;1944;1960;1960;x
Nillesen;574018;CON;1941;1990;1990;1990;3;3;0;0;0;5;1;L574018;1941;1960;1960;x
Raffage;574019;CON;1943;1946;1990;1990;2;4;4096;1;0;5;1;M574033;1943;1960;1960;x
van Reynden;574020;CON;1930;1930;1990;1990;1;3;0;1;0;5;1;M574008;1930;1960;1960;x
Berghen;574021;CON;1940;1990;1990;1990;3;4;131072;0;0;5;2;M574031;1940;1960;1960;x
Gerima;574022;CON;1945;1990;1990;1990;3;3;0;0;0;5;2;L574004;1945;1960;1960;x
Mahongo;574023;CON;1943;1990;1990;1990;3;2;0;0;0;5;2;L574023;1943;1960;1960;x
Manera;574024;CON;1930;1990;1990;1990;3;3;0;0;0;5;2;L574008;1930;1960;1960;x
Mwambutsa IV;574025;CON;1930;1930;1939;1990;2;2;0;1;0;5;2;M574011;1930;1960;1960;x
Pascal;574026;CON;1930;1940;1990;1990;2;4;16384;1;0;5;2;M574010;1930;1960;1960;x
Dhanis;574028;CON;1897;1897;1932;1932;2;7;261;3;0;5;0;333;1897;1900;1999;x
Van Dorpe;574029;CON;1897;1932;1932;1932;3;5;256;1;0;5;0;unknownleader;1897;1914;1999;x
Dielman;574030;CON;1898;1932;1932;1932;3;5;256;1;0;5;0;unknownleader;1898;1914;1999;x
Tonglet;574031;CON;1898;1932;1932;1932;3;5;256;1;0;5;0;unknownleader;1900;1914;1999;x
Seghers;574032;CON;1901;1932;1932;1932;3;5;256;1;0;5;0;unknownleader;1903;1914;1999;x
Warnant;574033;CON;1902;1932;1932;1932;3;5;256;1;0;5;0;unknownleader;1904;1914;1999;x
Gomine;574034;CON;1904;1932;1932;1932;3;5;256;1;0;5;0;unknownleader;1906;1932;1999;x
Paternoster;574035;CON;1905;1932;1932;1932;3;5;256;1;0;5;0;unknownleader;1907;1932;1999;x
Rom;574036;CON;1897;1932;1932;1932;3;7;256;3;0;5;0;334;1897;1932;1999;x
Wahis;574037;CON;1897;1908;1932;1932;2;6;256;2;0;5;0;335;1897;1932;1999;x
Costermans;574038;CON;1897;1897;1932;1932;2;7;257;3;0;5;0;336;1897;1906;1999;x
Jacques;574039;CON;1897;1932;1932;1932;3;7;256;3;0;5;0;337;1897;1908;1999;x
Commander;574900;CON;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;574901;CON;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;574902;CON;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;574903;CON;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;574904;CON;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;574905;CON;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;574906;CON;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;574907;CON;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;574908;CON;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;574909;CON;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;574910;CON;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;574911;CON;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;574912;CON;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;574913;CON;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;574914;CON;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;574915;CON;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;574916;CON;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;574917;CON;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;574918;CON;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;574919;CON;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;574920;CON;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;574921;CON;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;574922;CON;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;574923;CON;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;574924;CON;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;574925;CON;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;574926;CON;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;574927;CON;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;574928;CON;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;574929;CON;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;574930;CON;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;574931;CON;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;574932;CON;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;574933;CON;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;574934;CON;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;574935;CON;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;574936;CON;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;574937;CON;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;574938;CON;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;574939;CON;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;574940;CON;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;574941;CON;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;574942;CON;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;574943;CON;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;574944;CON;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;574945;CON;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
