Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Acevedo Aléman;128000;CUB;1942;1990;1990;1990;3;3;4;0;0;4;0;L128000;1942;1960;1960;x
Barquin;128001;CUB;1939;1990;1990;1990;3;3;0;0;0;3;0;L128001;1939;1960;1960;x
Batista y Zaldivár;128002;CUB;1930;1930;1938;1990;1;5;0;2;0;2;0;L128002;1930;1960;1960;x
Blas Hernandez;128003;CUB;1930;1930;1938;1990;2;4;16;1;0;2;0;L128003;1930;1943;1960;x
Cancio Bello;128004;CUB;1930;1930;1990;1990;2;3;64;0;0;4;0;L128004;1930;1941;1960;x
Castaneda Castro;128005;CUB;1944;1990;1990;1990;3;3;4;0;0;3;0;L128005;1944;1960;1960;x
Costa Gomez;128006;CUB;1930;1990;1990;1990;3;3;1;0;0;3;0;L128006;1930;1943;1960;x
Del Castillo;128007;CUB;1938;1943;1990;1990;2;3;0;1;0;3;0;L128007;1938;1946;1960;x
Gonzalez Cruz;128008;CUB;1942;1990;1990;1990;3;3;128;0;0;4;0;L128008;1942;1960;1960;x
Masferrer;128009;CUB;1930;1941;1990;1990;3;4;4;1;0;4;0;L128009;1930;1946;1960;x
Perez Dameda;128010;CUB;1930;1940;1990;1990;2;3;1;1;0;3;0;L128010;1930;1943;1960;x
Pérez y Pérez;128011;CUB;1944;1990;1990;1990;3;3;1;0;0;2;0;L128011;1944;1960;1960;x
Raimundo Ferrer;128012;CUB;1930;1990;1990;1990;3;3;0;0;0;3;0;L128012;1930;1943;1960;x
Rodda y Lenquita;128013;CUB;1930;1990;1990;1990;3;3;0;0;0;4;0;L128013;1930;1942;1960;x
Sanguily;128014;CUB;1930;1930;1990;1990;2;5;128;0;0;3;0;L128014;1930;1940;1960;x
Tabernillas;128015;CUB;1938;1990;1990;1990;3;3;128;0;0;4;0;L128015;1938;1960;1960;x
Valdéz Castro;128016;CUB;1945;1990;1990;1990;3;3;0;0;0;3;0;L128016;1945;1960;1960;x
Valdéz Hilario;128017;CUB;1930;1940;1990;1990;2;3;1;1;0;3;0;L128017;1930;1960;1960;x
