Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Barreras Ruíz;190000;DOM;1943;1990;1990;1990;3;3;0;0;0;5;0;L190000;1943;1960;1960;x
Calixte;190001;DOM;1939;1990;1990;1990;3;3;16;0;0;3;0;L190001;1939;1946;1960;x
da Costa-Ruiz;190002;DOM;1930;1940;1990;1990;2;4;513;1;0;4;0;L190002;1930;1943;1960;x
de los Santos Ortiz;190003;DOM;1945;1990;1990;1990;3;3;128;0;0;3;0;L190003;1945;1960;1960;x
Eliezer Caamaño;190004;DOM;1938;1942;1990;1990;2;4;2;1;0;4;0;L190004;1938;1960;1960;x
Frías Gómez;190005;DOM;1945;1990;1990;1990;3;3;0;0;0;4;0;L190005;1945;1960;1960;x
Leyba Pou;190006;DOM;1941;1990;1990;1990;3;3;256;0;0;2;0;L190006;1941;1960;1960;x
Peña Battle;190007;DOM;1930;1930;1990;1990;2;3;0;1;0;5;0;L190007;1930;1942;1960;x
Rodriguez Garcia;190008;DOM;1939;1990;1990;1990;3;3;0;0;0;2;0;L190008;1939;1960;1960;x
Roman Fernandez;190009;DOM;1930;1939;1943;1990;2;4;0;2;0;5;0;L190009;1930;1960;1960;x
Trujillo Molinas  H.;190010;DOM;1938;1942;1990;1990;2;3;0;1;0;3;0;L190010;1938;1960;1960;x
Trujillo Molinas  R.;190011;DOM;1930;1930;1930;1930;0;2;0;1;0;3;0;L190011;1930;1960;1960;x
Viñas Roman;190012;DOM;1942;1945;1990;1990;3;4;4;1;0;3;0;L190012;1942;1960;1960;x
Martinez;190013;DOM;1943;1990;1990;1990;3;3;0;0;0;3;1;L190013;1943;1960;1960;x
Javier Rivera;190014;DOM;1938;1941;1990;1990;2;3;0;1;0;4;1;L190014;1938;1946;1960;x
Rojas;190015;DOM;1930;1990;1990;1990;3;3;0;0;0;4;1;L190015;1930;1944;1960;x
Trujillo Molinas;190016;DOM;1930;1930;1930;1990;1;2;0;0;0;5;1;L190016;1930;1960;1960;x
Yuna Robles;190017;DOM;1930;1990;1990;1990;3;3;0;0;0;4;1;L190017;1930;1943;1960;x
Humeau Hidalgo;190018;DOM;1944;1990;1990;1990;3;3;0;0;0;4;2;L190018;1944;1960;1960;x
Imbert McGregor;190019;DOM;1943;1990;1990;1990;3;3;0;0;0;3;2;L190019;1943;1960;1960;x
Feliz Miranda;190020;DOM;1930;1941;1990;1990;3;4;131072;1;0;4;2;L190020;1930;1946;1960;x
Ortega Frier;190021;DOM;1945;1990;1990;1990;3;2;0;0;0;5;2;L190021;1945;1960;1960;x
Vallejo Sosa;190022;DOM;1938;1942;1990;1990;2;3;65536;1;0;4;2;L190022;1938;1960;1960;x
Commander;190900;DOM;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;190901;DOM;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
