Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Amin;5519000;EAF;1944;1946;1990;1990;2;3;32;1;0;5;0;L550000;1944;1960;1960;x
Bantariza;5519001;EAF;1945;1990;1990;1990;3;3;256;0;0;5;0;L550001;1945;1960;1960;x
Bogita;5519002;EAF;1940;1945;1990;1990;2;3;128;1;0;5;0;M550042;1940;1960;1960;x
Brooke-Popham;5519003;EAF;1930;1930;1930;1990;1;6;513;3;0;5;0;L1051;1930;1942;1960;x
Carver;5519004;EAF;1941;1943;1990;1990;2;8;129;1;0;5;0;L1069;1941;1960;1960;x
Chawa;5519005;EAF;1930;1990;1990;1990;3;2;0;0;0;5;0;M550044;1930;1943;1960;x
Datawi;5519006;EAF;1945;1990;1990;1990;3;2;0;0;0;5;0;M550043;1945;1960;1960;x
Gebre;5519007;EAF;1943;1945;1990;1990;2;3;1;1;0;5;0;L550007;1943;1960;1960;x
ibn Kharub;5519008;EAF;1930;1930;1930;1930;0;1;0;0;0;5;0;M550011;1930;1960;1960;x
Jumara;5519009;EAF;1945;1990;1990;1990;3;2;64;0;0;5;0;M550039;1945;1960;1960;x
Mills;5519010;EAF;1941;1990;1990;1990;3;5;257;1;0;5;0;M550040;1941;1960;1960;x
Mitchell;5519011;EAF;1930;1930;1945;1990;2;3;1;2;0;5;0;M550001;1930;1960;1960;x
Mutesa;5519012;EAF;1938;1990;1990;1990;3;2;0;0;0;5;0;M550038;1938;1960;1960;x
Muzewa;5519013;EAF;1945;1990;1990;1990;3;2;0;0;0;5;0;L550013;1945;1960;1960;x
Nicholson;5519014;EAF;1942;1990;1990;1990;3;5;16;0;0;5;0;L550014;1942;1960;1960;x
Ohidja;5519015;EAF;1945;1990;1990;1990;3;2;0;0;0;5;0;L550015;1945;1960;1960;x
Okello;5519016;EAF;1945;1990;1990;1990;3;2;64;0;0;5;0;L550016;1945;1960;1960;x
Opande;5519017;EAF;1945;1990;1990;1990;3;2;4;0;0;5;0;L550017;1945;1960;1960;x
Pierson;5519018;EAF;1939;1942;1990;1990;2;4;4;1;0;5;0;M550037;1940;1960;1960;x
Pilling;5519019;EAF;1940;1940;1945;1990;1;3;2;1;0;5;0;M550018;1940;1960;1960;x
Stevenson;5519020;EAF;1930;1930;1990;1990;2;3;514;1;0;5;0;M550007;1930;1940;1960;x
Battershill;5519021;EAF;1930;1939;1941;1990;1;4;4096;2;0;5;1;M550009;1930;1960;1960;x
Chawa;5519022;EAF;1930;1990;1990;1990;3;1;2048;0;0;5;1;M550044;1930;1943;1960;x
Matthew;5519023;EAF;1941;1990;1990;1990;3;2;0;0;0;5;1;L550023;1941;1944;1960;x
Pathel;5519024;EAF;1940;1943;1990;1990;2;4;0;1;0;5;1;L550024;1940;1960;1960;x
Castro Duarte;5519025;EAF;1944;1990;1990;1990;3;3;32768;0;0;5;2;L550025;1944;1960;1960;x
Farquharson Dundas;5519026;EAF;1930;1940;1990;1990;2;4;4096;1;0;5;2;M550010;1930;1960;1960;x
Howe-Dobson;5519027;EAF;1939;1942;1990;1990;2;3;16384;1;0;5;2;M550048;1939;1960;1960;x
