Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Adair;1000;ENG;1942;1990;1990;1990;3;5;0;1;0;5;0;L1000;1942;1947;1960;x
Adam;1001;ENG;1930;1930;1942;1990;2;6;513;2;0;5;0;L1001;1930;1946;1960;x
Aikenhead;1002;ENG;1944;1990;1990;1990;3;5;64;1;0;5;0;L1002;1944;1947;1960;x
Airey;1003;ENG;1943;1946;1990;1990;3;4;129;2;0;5;0;L1003;1943;1960;1960;x
Aizlewood;1004;ENG;1940;1990;1990;1990;3;5;128;1;0;5;0;L1004;1940;1945;1960;x
Alanbrooke;1005;ENG;1930;1930;1939;1944;1;9;6;5;0;5;0;L1005;1930;1946;1960;x
Alexander;1006;ENG;1930;1940;1942;1944;1;9;7;5;0;5;0;L1006;1930;1946;1960;x
Allfrey;1007;ENG;1941;1944;1990;1990;3;6;2;2;0;5;0;L1007;1941;1960;1960;x
Ambrose;1008;ENG;1943;1990;1990;1990;3;5;16;1;0;5;0;L1008;1943;1947;1960;x
Amyatt-Hull;1009;ENG;1943;1944;1947;1954;0;7;128;4;0;5;0;L1009;1943;1970;1970;x
Anderson  D.F.;1010;ENG;1939;1940;1990;1990;2;5;0;2;0;5;0;L1010;1939;1944;1960;x
Anderson  K.A.N.;1011;ENG;1938;1942;1990;1990;2;7;3;3;0;5;0;L1011;1938;1960;1960;x
Arbuthnott;1012;ENG;1943;1990;1990;1990;3;5;0;1;0;5;0;L1012;1943;1960;1960;x
Arkwright-Hore-Ruthven;1013;ENG;1942;1990;1990;1990;3;5;128;1;0;5;0;L1013;1942;1960;1960;x
Auchinleck;1014;ENG;1930;1939;1940;1946;1;8;7;5;0;5;0;L1014;1930;1947;1960;x
Baillon;1015;ENG;1941;1990;1990;1990;3;5;0;1;0;5;0;L1015;1941;1960;1960;x
Baird of Stonehaven;1016;ENG;1930;1930;1930;1990;1;5;514;1;0;5;0;L1016;1930;1940;1960;x
Balerno of Currie;1017;ENG;1942;1990;1990;1990;3;4;0;1;0;5;0;L1017;1942;1945;1960;x
Balfour;1018;ENG;1930;1941;1990;1990;2;5;0;2;0;5;0;L1018;1930;1942;1960;x
Ballentine;1019;ENG;1943;1990;1990;1990;3;5;128;1;0;5;0;L1019;1943;1960;1960;x
Bancroft-Cooke;1020;ENG;1943;1990;1990;1990;3;7;192;1;0;5;0;L1020;1943;1960;1960;x
Banks-MacDonald;1021;ENG;1939;1990;1990;1990;3;4;516;1;0;5;0;L1021;1939;1945;1960;x
Barker  E.H.;1022;ENG;1941;1944;1990;1990;3;5;0;2;0;5;0;L1022;1941;1960;1960;x
Barker  M.G.H.;1023;ENG;1930;1940;1990;1990;2;4;528;2;0;5;0;L1023;1930;1941;1960;x
Bartholomew;1024;ENG;1930;1937;1990;1990;2;5;0;2;0;5;0;L1024;1930;1940;1960;x
Barstow;1025;ENG;1938;1990;1990;1990;3;5;256;1;0;5;0;L1025;1938;1942;1960;x
Bastyan;1026;ENG;1942;1943;1990;1990;2;5;4;2;0;5;0;L1026;1942;1960;1960;x
Bateman;1027;ENG;1940;1990;1990;1990;3;5;1;1;0;5;0;L1027;1940;1960;1960;x
Beard;1028;ENG;1943;1990;1990;1990;3;5;2;1;0;5;0;L1028;1943;1946;1960;x
Beauman;1029;ENG;1930;1990;1990;1990;3;5;0;1;0;5;0;L1029;1930;1944;1960;x
Beck;1030;ENG;1938;1990;1990;1990;3;5;128;1;0;5;0;L1030;1938;1940;1960;x
Beckett;1031;ENG;1941;1990;1990;1990;3;5;64;1;0;5;0;L1031;1941;1946;1960;x
Beckwith-Smith;1032;ENG;1938;1990;1990;1990;3;4;256;1;0;5;0;L1032;1938;1942;1960;x
Beloe;1033;ENG;1930;1990;1990;1990;3;5;128;1;0;5;0;L1033;1930;1939;1960;x
Bernard;1034;ENG;1930;1939;1990;1990;2;4;544;1;0;5;0;L1034;1930;1941;1960;x
Berney-Ficklin;1035;ENG;1943;1990;1990;1990;3;5;1;1;0;5;0;L1035;1943;1960;1960;x
Betts;1036;ENG;1945;1990;1990;1990;3;5;1;1;0;5;0;L1036;1945;1960;1960;x
Bird;1037;ENG;1939;1942;1990;1990;3;5;1;2;0;5;0;L1037;1939;1944;1960;x
Birks;1038;ENG;1943;1990;1990;1990;3;5;128;1;0;5;0;L1038;1943;1946;1960;x
Blakiston-Houston;1039;ENG;1930;1990;1990;1990;3;5;576;1;0;5;0;L1039;1930;1941;1960;x
Blaxland;1040;ENG;1942;1943;1990;1990;2;5;1;2;0;5;0;L1040;1942;1960;1960;x
Boddington;1041;ENG;1944;1946;1990;1990;2;5;32;2;0;5;0;L1041;1944;1960;1960;x
Bols;1042;ENG;1944;1990;1990;1990;3;5;256;1;0;5;0;L1042;1944;1960;1960;x
Boucher;1043;ENG;1942;1990;1990;1990;3;7;256;1;0;5;0;L1043;1942;1960;1960;x
Bourne of Atherstone;1044;ENG;1943;1990;1990;1990;2;6;257;1;0;5;0;L1044;1943;1960;1960;x
Bower;1045;ENG;1945;1990;1990;1990;3;5;256;1;0;5;0;L1045;1945;1960;1960;x
Bradshaw;1046;ENG;1942;1990;1990;1990;3;5;0;1;0;5;0;L1046;1942;1946;1960;x
Briggs  H.R.;1047;ENG;1940;1942;1990;1990;2;5;1;2;0;5;0;L1047;1940;1960;1960;x
Briggs  R.;1048;ENG;1940;1990;1990;1990;3;5;128;1;0;5;0;L1048;1940;1947;1960;x
Broad;1049;ENG;1930;1940;1990;1990;2;5;640;2;0;5;0;L1049;1930;1942;1960;x
Brocas-Burrows;1050;ENG;1940;1942;1990;1990;2;5;4;2;0;5;0;L1050;1940;1946;1960;x
Brooke-Popham;1051;ENG;1930;1930;1930;1990;1;6;513;3;0;5;0;L1051;1930;1941;1960;x
Brown;1052;ENG;1944;1990;1990;1990;3;5;128;1;0;5;0;L1052;1944;1960;1960;x
Browning;1053;ENG;1940;1944;1990;1990;3;7;256;2;0;5;0;L1053;1940;1960;1960;x
Bruce;1054;ENG;1944;1990;1990;1990;3;5;264;1;0;5;0;L1054;1944;1960;1960;x
Bucknall;1055;ENG;1939;1941;1990;1990;2;5;0;2;0;5;0;L1055;1939;1990;1990;x
Bullen-Smith;1056;ENG;1942;1990;1990;1990;3;5;0;1;0;5;0;L1056;1942;1960;1960;x
Burns;1057;ENG;1940;1990;1990;1990;3;5;64;1;0;5;0;L1057;1940;1960;1960;x
Butler;1058;ENG;1943;1990;1990;1990;3;4;1;1;0;5;0;L1058;1943;1944;1960;x
Calthrop-Thorne;1059;ENG;1945;1990;1990;1990;3;5;0;1;0;5;0;L1059;1945;1960;1960;x
Calvert-Jones;1060;ENG;1942;1990;1990;1990;3;5;64;1;0;5;0;L1060;1942;1960;1960;x
Campbell  A.D.;1061;ENG;1943;1990;1990;1990;3;5;32;1;0;5;0;L1061;1943;1960;1960;x
Campbell of Achalader;1062;ENG;1941;1990;1990;1990;3;5;4;1;0;5;0;L1062;1941;1946;1960;x
Campbell of Airds;1063;ENG;1943;1990;1990;1990;3;6;0;1;0;5;0;L1063;1943;1945;1960;x
Campbell  J.;1064;ENG;1941;1990;1990;1990;3;5;128;1;0;5;0;L1064;1941;1942;1960;x
Cameron;1065;ENG;1942;1944;1990;1990;3;5;2;2;0;5;0;L1065;1942;1960;1960;x
