Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Appert;535000;EQA;1930;1939;1990;1990;2;3;1;1;0;5;0;M535018;1930;1960;1960;x
Bokassa;535001;EQA;1943;1946;1990;1990;2;2;1;1;0;5;0;M535017;1943;1960;1960;x
Bouchinet-Serreulles;535002;EQA;1941;1990;1990;1990;3;4;16;1;0;5;0;L535002;1941;1960;1960;x
Brunet de Sarigne;535003;EQA;1937;1942;1990;1990;2;5;256;1;0;5;0;L535003;1937;1960;1960;x
Kobaya;535004;EQA;1945;1990;1990;1990;3;2;32;0;0;5;0;L535004;1945;1960;1960;x
Kosseyo;535005;EQA;1930;1990;1990;1990;3;2;2;0;0;5;0;M535026;1930;1960;1960;x
Langlois de Bazillac;535006;EQA;1940;1990;1990;1990;3;3;2;0;0;5;0;L535006;1940;1960;1960;x
Magendie;535007;EQA;1939;1943;1990;1990;2;3;4;1;0;5;0;M535024;1939;1960;1960;x
Mangard;535008;EQA;1945;1990;1990;1990;3;2;256;0;0;5;0;M535028;1945;1960;1960;x
Pruvost;535009;EQA;1942;1990;1990;1990;3;3;32;0;0;5;0;M535029;1942;1960;1960;x
Saint-Mart;535010;EQA;1930;1939;1942;1990;1;3;64;2;0;5;0;M535007;1930;1960;1960;x
Sautot;535011;EQA;1930;1942;1990;1990;2;2;256;1;0;5;0;M535009;1930;1960;1960;x
Mangard;535012;EQA;1945;1990;1990;1990;3;1;0;0;0;5;1;M535028;1945;1960;1960;x
Sautot;535013;EQA;1930;1942;1990;1990;2;3;4096;1;0;5;1;M535009;1930;1960;1960;x
Schaerrer;535014;EQA;1930;1990;1990;1990;3;3;1024;0;0;5;1;L535014;1930;1942;1960;x
Bagindre;535015;EQA;1944;1990;1990;1990;3;2;0;0;0;5;2;M535030;1944;1960;1960;x
Denis;535016;EQA;1930;1941;1990;1990;2;3;4096;1;0;5;2;M535010;1930;1960;1960;x
Lafont;535017;EQA;1942;1990;1990;1990;3;3;0;0;0;5;2;L535017;1942;1960;1960;x
Pruvost;535018;EQA;1942;1990;1990;1990;3;2;0;0;0;5;2;M535029;1942;1960;1960;x
Commander;535900;EQA;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;535901;EQA;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;535902;EQA;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;535903;EQA;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;535904;EQA;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;535905;EQA;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;535906;EQA;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;535907;EQA;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;535908;EQA;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;535909;EQA;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;535910;EQA;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;535911;EQA;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;535912;EQA;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;535913;EQA;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;535914;EQA;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;535915;EQA;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;535916;EQA;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;535917;EQA;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;535918;EQA;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;535919;EQA;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;535920;EQA;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;535921;EQA;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;535922;EQA;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;535923;EQA;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;535924;EQA;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;535925;EQA;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;535926;EQA;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;535927;EQA;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;535928;EQA;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;535929;EQA;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;535930;EQA;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;535931;EQA;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
