Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Brede;4900;EST;1930;1930;1990;1990;2;5;4;0;0;5;0;L4900;1930;1940;1960;x
Heinze;4901;EST;1930;1943;1990;1990;3;4;256;1;0;4;0;L4901;1930;1945;1960;x
Helk;4902;EST;1930;1930;1990;1990;2;4;2;0;0;4;0;L4902;1930;1940;1960;x
Jaakson;4903;EST;1930;1930;1930;1990;1;4;0;1;0;4;0;L4903;1930;1940;1960;x
Jervan;4904;EST;1930;1990;1990;1990;3;4;128;0;0;4;0;L4904;1930;1940;1960;x
Jonson;4905;EST;1938;1942;1990;1990;3;5;0;1;0;5;0;L4905;1938;1960;1960;x
Kaerma;4906;EST;1939;1990;1990;1990;3;5;64;0;0;4;0;L4906;1939;1945;1960;x
Kasekamp;4907;EST;1930;1930;1990;1990;2;4;0;0;0;3;0;L4907;1930;1940;1960;x
Kauler;4908;EST;1930;1990;1990;1990;3;4;0;0;0;3;0;L4908;1930;1940;1960;x
Kruus;4909;EST;1937;1942;1990;1990;3;4;0;1;0;3;0;L4909;1937;1960;1960;x
Kurvits;4910;EST;1930;1990;1990;1990;3;4;32;0;0;4;0;L4910;1930;1940;1960;x
Laidoner;4911;EST;1930;1930;1930;1990;1;4;0;1;0;4;0;L4911;1930;1940;1960;x
Nugiseks;4912;EST;1942;1990;1990;1990;3;4;4;0;0;4;0;L4912;1942;1960;1960;x
Rebane;4913;EST;1930;1990;1990;1990;3;4;2;0;0;4;0;L4913;1930;1940;1960;x
Reek;4914;EST;1930;1930;1943;1990;2;4;0;2;0;4;0;L4914;1930;1960;1960;x
Riipalu;4915;EST;1930;1990;1990;1990;3;4;16;0;0;4;0;L4915;1930;1940;1960;x
Sinka;4916;EST;1930;1990;1990;1990;3;4;0;0;0;3;0;L4916;1930;1940;1960;x
Tolmoff;4917;EST;1930;1930;1990;1990;2;4;8;0;0;5;0;L4917;1930;1940;1960;x
Toomsar;4918;EST;1930;1942;1990;1990;2;4;0;1;0;4;0;L4918;1930;1945;1960;x
Traksmaa;4919;EST;1939;1945;1990;1990;3;4;0;1;0;4;0;L4919;1939;1960;1960;x
Tuisk;4920;EST;1930;1990;1990;1990;3;4;0;0;0;4;0;L4920;1930;1940;1960;x
Tuuling;4921;EST;1938;1990;1990;1990;3;4;1;0;0;4;0;L4921;1938;1943;1960;x
Vent;4922;EST;1930;1930;1990;1990;2;4;0;0;0;4;0;L4922;1930;1945;1960;x
Vermet;4923;EST;1938;1944;1990;1990;3;5;0;1;0;4;0;L4923;1938;1960;1960;x
Nirk;4924;EST;1938;1945;1990;1990;3;5;1024;1;0;5;1;L4924;1938;1960;1960;x
Mere;4925;EST;1945;1947;1990;1990;3;4;0;1;0;5;1;L4925;1945;1960;1960;x
Pitka;4926;EST;1930;1930;1990;1990;2;4;0;0;0;5;1;L4926;1930;1940;1960;x
Streimann;4927;EST;1944;1990;1990;1990;3;4;0;0;0;5;1;L4927;1944;1960;1960;x
Laud;4928;EST;1930;1990;1990;1990;3;4;0;0;0;5;2;L4928;1930;1940;1960;x
Tiido;4929;EST;1938;1990;1990;1990;3;4;0;0;0;5;2;L4929;1938;1945;1960;x
Tomberg;4930;EST;1940;1945;1990;1990;2;5;0;1;0;5;2;L4930;1940;1960;1960;x
Tõnisson;4931;EST;1930;1930;1990;1990;2;4;32768;0;0;4;2;L4931;1930;1940;1960;x
von Salza;4932;EST;1930;1930;1990;1990;2;4;0;1;0;5;1;L4932;1930;1939;1960;x
Soots;4935;EST;1914;1932;1932;1932;3;5;0;3;0;4;0;374;1914;1932;1999;x
Reiman;4936;EST;1914;1932;1932;1932;3;5;0;3;0;4;0;375;1914;1932;1999;x
Põdder;4937;EST;1914;1916;1918;1932;1;5;0;3;0;4;0;376;1914;1932;1999;x
Partz;4938;EST;1914;1932;1932;1932;3;5;0;3;0;4;0;unknownleader;1914;1932;1999;x
Puskar;4939;EST;1914;1932;1932;1932;3;5;0;3;0;4;0;6896;1914;1932;1999;x
Larka;4940;EST;1916;1917;1918;1919;3;7;19;4;0;5;0;8151;1914;1932;1999;x
Ekstrom;4941;EST;1917;1918;1919;1932;3;5;19;2;0;5;0;8149;1915;1932;1999;x
Irv;4942;EST;1917;1918;1919;1932;3;5;19;2;0;5;0;6897;1915;1932;1999;x
Kuperjanov;4943;EST;1917;1918;1919;1932;3;5;19;2;0;5;0;6898;1915;1932;1999;x
Kalm;4944;EST;1917;1918;1919;1932;2;5;6;3;0;5;0;8150;1915;1932;1999;x
Commander;490900;EST;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;490901;EST;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;490902;EST;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;490903;EST;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;490904;EST;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;490905;EST;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;490906;EST;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;490907;EST;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;490908;EST;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;490909;EST;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;490910;EST;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;490911;EST;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;490912;EST;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;490913;EST;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;490914;EST;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;490915;EST;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;490916;EST;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;490917;EST;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;490918;EST;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;490919;EST;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;490920;EST;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;490921;EST;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;490922;EST;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;490923;EST;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;490924;EST;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;490925;EST;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;490926;EST;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;490927;EST;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;490928;EST;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;490929;EST;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;490930;EST;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;490931;EST;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;490932;EST;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;490933;EST;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;490934;EST;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;490935;EST;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;490936;EST;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;490937;EST;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;490938;EST;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;490939;EST;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;490940;EST;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;490941;EST;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;490942;EST;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;490943;EST;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;490944;EST;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;490945;EST;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;490946;EST;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;490947;EST;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;490948;EST;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;490949;EST;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;490950;EST;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;490951;EST;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;490952;EST;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;490953;EST;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;490954;EST;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;490955;EST;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;490956;EST;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;490957;EST;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;490958;EST;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;490959;EST;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;490960;EST;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;490961;EST;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;490962;EST;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;490963;EST;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;490964;EST;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;490965;EST;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;490966;EST;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;490967;EST;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;490968;EST;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;490969;EST;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;490970;EST;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;490971;EST;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;490972;EST;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;490973;EST;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;490974;EST;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;490975;EST;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;490976;EST;9999;9999;9999;9999;1;1;0;0;0;5;2;unknown;1960;9999;9999;x
Commander;490977;EST;9999;9999;9999;9999;1;1;0;0;0;5;2;unknown;1960;9999;9999;x
Commander;490978;EST;9999;9999;9999;9999;1;1;0;0;0;5;2;unknown;1960;9999;9999;x
Commander;490979;EST;9999;9999;9999;9999;1;1;0;0;0;5;2;unknown;1960;9999;9999;x
Commander;490980;EST;9999;9999;9999;9999;1;1;0;0;0;5;2;unknown;1960;9999;9999;x
Commander;490981;EST;9999;9999;9999;9999;1;1;0;0;0;5;2;unknown;1960;9999;9999;x
Commander;490982;EST;9999;9999;9999;9999;1;1;0;0;0;5;2;unknown;1960;9999;9999;x
Commander;490983;EST;9999;9999;9999;9999;1;1;0;0;0;5;2;unknown;1960;9999;9999;x
Commander;490984;EST;9999;9999;9999;9999;1;1;0;0;0;5;2;unknown;1960;9999;9999;x
Commander;490985;EST;9999;9999;9999;9999;1;1;0;0;0;5;2;unknown;1960;9999;9999;x
Commander;490986;EST;9999;9999;9999;9999;1;1;0;0;0;5;2;unknown;1960;9999;9999;x
Commander;490987;EST;9999;9999;9999;9999;1;1;0;0;0;5;2;unknown;1960;9999;9999;x
Commander;490988;EST;9999;9999;9999;9999;1;1;0;0;0;5;2;unknown;1960;9999;9999;x
Commander;490989;EST;9999;9999;9999;9999;1;1;0;0;0;5;2;unknown;1960;9999;9999;x
Commander;490990;EST;9999;9999;9999;9999;1;1;0;0;0;5;2;unknown;1960;9999;9999;x
Commander;490991;EST;9999;9999;9999;9999;1;1;0;0;0;5;2;unknown;1960;9999;9999;x
Commander;490992;EST;9999;9999;9999;9999;1;1;0;0;0;5;2;unknown;1960;9999;9999;x
Commander;490993;EST;9999;9999;9999;9999;1;1;0;0;0;5;2;unknown;1960;9999;9999;x
Commander;490994;EST;9999;9999;9999;9999;1;1;0;0;0;5;2;unknown;1960;9999;9999;x
Commander;490995;EST;9999;9999;9999;9999;1;1;0;0;0;5;2;unknown;1960;9999;9999;x
Commander;490996;EST;9999;9999;9999;9999;1;1;0;0;0;5;2;unknown;1960;9999;9999;x
Commander;490997;EST;9999;9999;9999;9999;1;1;0;0;0;5;2;unknown;1960;9999;9999;x
Commander;490998;EST;9999;9999;9999;9999;1;1;0;0;0;5;2;unknown;1960;9999;9999;x
