Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Abba Mersa;3300;ETH;1930;1930;1990;1990;2;3;16;0;0;5;0;L3300;1930;1944;1960;x
Abebe Aregay;3301;ETH;1930;1930;1990;1990;2;3;16;0;0;5;0;L3301;1930;1947;1960;x
Abiye Abebe;3302;ETH;1930;1990;1990;1990;3;2;0;0;0;5;0;L3302;1930;1960;1960;x
Adafrisau;3303;ETH;1930;1930;1990;1990;2;2;514;1;0;5;0;L3303;1930;1938;1960;x
Aman Andom;3304;ETH;1944;1990;1990;1990;3;2;128;0;0;4;0;L3304;1944;1960;1960;x
Balcha;3305;ETH;1930;1941;1945;1990;2;4;64;2;0;5;0;L3305;1930;1960;1960;x
Birru Wolde;3306;ETH;1930;1990;1990;1990;3;2;1;0;0;3;0;L3306;1930;1941;1960;x
Desta Damtew;3307;ETH;1930;1930;1930;1990;1;4;2;1;0;5;0;L3307;1930;1946;1960;x
Fikremariam;3308;ETH;1930;1939;1990;1990;3;2;0;1;0;5;0;L3308;1930;1943;1960;x
Gilaneh;3309;ETH;1930;1990;1990;1990;3;2;4;0;0;4;0;L3309;1930;1942;1960;x
Haile Selassie;3310;ETH;1930;1930;1930;1930;0;4;1;2;0;5;0;L3310;1930;1960;1960;x
Haile Selassie Gugsa;3311;ETH;1930;1990;1990;1990;3;2;0;0;0;1;0;L3311;1930;1942;1960;x
Hapte Mariam;3312;ETH;1930;1941;1945;1990;3;4;528;2;0;5;0;L3312;1930;1960;1960;x
Hapte Mikael;3313;ETH;1930;1930;1930;1990;1;5;20;2;0;5;0;L3313;1930;1946;1960;x
Ichamilch;3314;ETH;1930;1990;1990;1990;3;2;528;1;0;5;0;L3314;1930;1939;1960;x
Imru;3315;ETH;1930;1930;1990;1990;2;2;0;1;0;5;0;L3315;1930;1942;1960;x
Kama Sega;3316;ETH;1930;1990;1990;1990;3;2;0;1;0;3;0;L3316;1930;1939;1960;x
Kassa;3317;ETH;1930;1930;1990;1990;2;2;4;1;0;3;0;L3317;1930;1943;1960;x
Katama;3318;ETH;1930;1930;1943;1990;2;3;16;1;0;5;0;L3318;1930;1960;1960;x
Makonnen Demissie;3319;ETH;1930;1941;1990;1990;3;3;1;1;0;5;0;L3319;1930;1960;1960;x
Mesfin Sileshi;3320;ETH;1930;1943;1945;1990;3;4;17;2;0;5;0;L3320;1930;1960;1960;x
Mulugueta;3321;ETH;1930;1930;1990;1990;2;5;514;1;0;5;0;L3321;1930;1946;1960;x
Seyum;3322;ETH;1930;1930;1930;1990;1;3;1;1;0;3;0;L3322;1930;1942;1960;x
Tariku;3323;ETH;1930;1930;1990;1990;2;2;1;0;0;4;0;L3323;1930;1942;1960;x
Wolde Rufe;3324;ETH;1930;1930;1942;1990;2;3;0;1;0;5;0;L3324;1930;1960;1960;x
Wondossen Kassa;3325;ETH;1930;1990;1990;1990;3;2;0;0;0;5;0;L3325;1930;1939;1960;x
Katama;3326;ETH;1930;1930;1943;1990;2;2;0;1;0;5;1;L3326;1930;1960;1960;x
Makonnen Demissie;3327;ETH;1930;1941;1990;1990;3;2;0;1;0;5;1;L3327;1930;1960;1960;x
Seyum;3328;ETH;1930;1930;1990;1990;2;2;0;0;0;3;1;L3328;1930;1942;1960;x
Wondossen Kassa;3329;ETH;1930;1990;1990;1990;3;2;0;0;0;5;1;L3329;1930;1939;1960;x
Asrate;3330;ETH;1930;1990;1990;1990;3;2;0;0;0;2;2;L3330;1930;1942;1960;x
Gilaneh;3331;ETH;1930;1990;1990;1990;3;2;0;0;0;4;2;L3331;1930;1942;1960;x
Makonnen Demissie;3332;ETH;1930;1941;1990;1990;3;2;0;1;0;5;2;L3332;1930;1960;1960;x
Mesfin Sileshi;3333;ETH;1930;1943;1945;1990;3;3;0;2;0;5;2;L3333;1930;1960;1960;x
Robinson;3334;ETH;1930;1930;1990;1990;2;2;0;1;0;4;2;L3334;1930;1937;1960;x
Wehib Pasha;3335;ETH;1930;1930;1990;1990;2;4;34;1;0;5;0;L3335;1930;1938;1960;x
