Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
de Lezama;580000;EUS;1930;1990;1990;1990;3;4;260;0;0;5;0;L3020;1930;1960;1960;x
Eixea Vilar;580001;EUS;1930;1938;1990;1990;3;6;1;1;0;5;0;L3025;1930;1960;1960;x
Gamir Ulibarri;580002;EUS;1930;1930;1941;1990;2;5;0;2;0;5;0;L3035;1930;1960;1960;x
Goded Llopis;580003;EUS;1930;1930;1990;1990;2;5;0;1;0;5;0;L3433;1930;1943;1960;x
Llano de la Encomienda;580004;EUS;1930;1938;1990;1990;2;5;2;1;0;5;0;L3049;1930;1960;1960;x
Moscardó Ituarte;580005;EUS;1930;1939;1941;1990;3;6;0;2;0;5;0;L3447;1930;1960;1960;x
Orgaz Yoldi;580006;EUS;1930;1930;1942;1990;2;5;0;1;0;3;0;L3449;1930;1960;1960;x
Queipo de Llano y Sierra;580007;EUS;1930;1930;1930;1990;1;8;16;2;0;4;0;L3451;1930;1960;1960;x
Sabio Dutoit;580008;EUS;1937;1990;1990;1990;3;4;0;0;0;5;0;L3082;1937;1960;1960;x
Agacino Armas;580009;EUS;1930;1939;1990;1990;3;4;2048;1;0;5;1;L3468;1930;1960;1960;x
Fontenla Maristany;580010;EUS;1930;1944;1990;1990;2;5;0;1;0;5;1;L3476;1930;1960;1960;x
Prado Mendizábal;580011;EUS;1930;1990;1990;1990;3;5;0;0;0;5;1;L3102;1930;1960;1960;x
Calderon Gaztelu;580012;EUS;1937;1990;1990;1990;3;5;131072;0;0;5;2;L3482;1937;1960;1960;x
Ibarreche Garategui;580013;EUS;1930;1939;1990;1990;2;4;0;1;0;5;2;L3116;1930;1960;1960;x
Salas Larranzábal;580014;EUS;1930;1990;1990;1990;3;5;4096;1;0;5;2;L3489;1930;1960;1960;x
Sayos Estivill;580015;EUS;1937;1990;1990;1990;3;4;0;0;0;5;2;L3123;1937;1960;1960;x
Vigón Suerodíaz;580016;EUS;1930;1937;1990;1990;2;5;0;1;0;5;2;L3490;1930;1960;1960;x
