Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Airo;9700;FIN;1930;1944;1990;1990;3;6;0;2;0;4;0;L9700;1930;1960;1960;x
Alfthan;9701;FIN;1941;1990;1990;1990;3;5;10;1;0;4;0;L9701;1941;1960;1960;x
Arajuuri;9702;FIN;1930;1990;1990;1990;3;4;0;1;0;4;0;L9702;1930;1960;1960;x
Autti;9703;FIN;1940;1943;1990;1990;3;6;9;2;0;4;0;L9703;1940;1960;1960;x
Blick;9704;FIN;1930;1939;1990;1990;2;6;12;2;0;4;0;L9704;1930;1960;1960;x
Ekberg;9705;FIN;1939;1990;1990;1990;3;4;0;1;0;5;0;L9705;1939;1960;1960;x
Fagernäs;9706;FIN;1940;1990;1990;1990;3;6;8;1;0;4;0;L9706;1940;1960;1960;x
Grandell;9707;FIN;1930;1938;1990;1990;2;4;1;2;0;5;0;L9707;1930;1960;1960;x
Hanell;9708;FIN;1930;1939;1990;1990;2;6;2;2;0;4;0;L9708;1930;1947;1960;x
Hannuksela;9709;FIN;1938;1990;1990;1990;3;5;72;1;0;4;0;L9709;1938;1942;1960;x
Heinrichs;9710;FIN;1930;1930;1940;1990;1;7;8;3;0;4;0;L9710;1930;1960;1960;x
Heiskanen  J.H.;9711;FIN;1939;1990;1990;1990;3;5;8;1;0;4;0;L9711;1939;1960;1960;x
Heiskanen  K.A.;9712;FIN;1940;1941;1946;1990;2;6;12;3;0;4;0;L9712;1940;1960;1960;x
Hersalo;9713;FIN;1938;1990;1990;1990;3;5;8;1;0;4;0;L9713;1938;1960;1960;x
Hägglund;9714;FIN;1930;1930;1990;1990;2;5;10;1;0;4;0;L9714;1930;1960;1960;x
Ignatius;9715;FIN;1930;1930;1990;1990;2;7;522;2;0;5;0;L9715;1930;1941;1960;x
Isakson;9716;FIN;1938;1990;1990;1990;3;5;8;1;0;4;0;L9716;1938;1960;1960;x
Järvinen;9717;FIN;1940;1944;1990;1990;3;6;8;2;0;4;0;L9717;1940;1960;1960;x
Kaila;9718;FIN;1930;1990;1990;1990;3;6;520;1;0;5;0;L9718;1930;1939;1960;x
Kääriäinen;9719;FIN;1939;1990;1990;1990;3;6;8;1;0;4;0;L9719;1939;1960;1960;x
