Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Ardant du Picq;24000;FRA;1930;1938;1990;1990;2;4;1;2;0;5;0;L24000;1930;1960;1960;x
Arlabosse;24001;FRA;1930;1939;1990;1990;3;3;0;2;0;4;0;L24001;1930;1960;1960;x
Armand;24002;FRA;1943;1990;1990;1990;3;4;1;1;0;4;0;L24002;1943;1960;1960;x
Armingeat;24003;FRA;1937;1939;1990;1990;2;3;0;2;0;3;0;L24003;1937;1960;1960;x
Arnaud;24004;FRA;1939;1990;1990;1990;3;3;2;1;0;4;0;L24004;1939;1944;1960;x
Audet;24005;FRA;1930;1938;1943;1990;3;3;2;3;0;4;0;L24005;1930;1960;1960;x
Aymé;24006;FRA;1930;1943;1946;1990;3;4;0;3;0;3;0;L24006;1930;1960;1960;x
Barreau;24007;FRA;1930;1990;1990;1990;3;4;64;1;0;4;0;L24007;1930;1960;1960;x
Bastien;24008;FRA;1943;1990;1990;1990;3;4;256;1;0;3;0;L24008;1943;1960;1960;x
Beaumont;24009;FRA;1938;1990;1990;1990;3;3;32;1;0;4;0;L24009;1938;1960;1960;x
Bertin-Boussus;24010;FRA;1937;1940;1990;1990;3;3;1;2;0;4;0;L24010;1937;1960;1960;x
Bethouart;24011;FRA;1940;1942;1943;1990;1;6;260;3;0;5;0;L24011;1940;1960;1960;x
Billotte;24012;FRA;1943;1946;1990;1990;3;6;0;2;0;5;0;L24012;1943;1960;1960;x
Bingen;24013;FRA;1942;1990;1990;1990;3;5;64;1;0;5;0;L24013;1942;1944;1960;x
Blanc;24014;FRA;1930;1930;1938;1990;1;3;0;2;0;4;0;L24014;1930;1960;1960;x
Blanchard;24015;FRA;1930;1930;1990;1990;2;4;2;1;0;4;0;L24015;1930;1960;1960;x
Blanchet;24016;FRA;1943;1946;1990;1990;3;4;4;2;0;4;0;L24016;1943;1960;1960;x
Blaizot;24017;FRA;1940;1943;1944;1990;2;5;0;3;0;5;0;L24017;1940;1960;1960;x
Bondis;24018;FRA;1944;1945;1990;1990;3;6;256;2;0;5;0;L24018;1944;1960;1960;x
Bourges-Maunory;24019;FRA;1944;1947;1990;1990;3;3;32;2;0;3;0;L24019;1944;1947;1960;x
Bridoux;24020;FRA;1930;1939;1990;1990;2;3;0;1;0;2;0;L24020;1930;1960;1960;x
Brisac;24021;FRA;1944;1945;1990;1990;3;5;0;2;0;5;0;L24021;1944;1960;1960;x
Brocard;24022;FRA;1939;1990;1990;1990;3;4;128;1;0;5;0;L24022;1939;1943;1960;x
Brosset;24023;FRA;1942;1943;1990;1990;2;5;4;2;0;5;0;L24023;1942;1944;1960;x
Bruneau;24024;FRA;1939;1990;1990;1990;3;4;128;1;0;4;0;L24024;1939;1941;1960;x
Callies;24025;FRA;1942;1945;1990;1990;3;5;4;2;0;5;0;L24025;1942;1960;1960;x
Camerini;24026;FRA;1946;1990;1990;1990;3;4;256;1;0;5;0;L24026;1946;1990;1990;x
Carlès;24027;FRA;1930;1938;1990;1990;2;3;1;2;0;4;0;L24027;1930;1960;1960;x
