Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Delange;536000;GAB;1940;1944;1990;1990;2;3;16;1;0;5;0;M536042;1940;1960;1960;x
Drouilh;536001;GAB;1938;1990;1990;1990;3;4;288;0;0;5;0;L536001;1938;1944;1960;x
Eboue;536002;GAB;1930;1939;1941;1990;1;4;1;2;0;5;0;M536008;1930;1944;1960;x
Folliot;536003;GAB;1939;1990;1990;1990;3;6;517;1;0;5;0;M536045;1939;1960;1960;x
Frotier de Bagneux;536004;GAB;1940;1990;1990;1990;3;3;4;0;0;5;0;L536004;1940;1960;1960;x
l'Huillier;536005;GAB;1940;1990;1990;1990;3;4;128;0;0;5;0;M536047;1940;1960;1960;x
Mahango;536006;GAB;1945;1990;1990;1990;3;2;1;0;0;5;0;M536043;1945;1960;1960;x
Mousseda;536007;GAB;1945;1990;1990;1990;3;2;1;0;0;5;0;M536040;1945;1960;1960;x
Parant;536008;GAB;1930;1930;1990;1990;2;4;64;1;0;5;0;L533014;1930;1941;1960;x
Reste;536009;GAB;1930;1930;1990;1990;2;3;256;1;0;5;0;M536002;1930;1943;1960;x
Ricard;536010;GAB;1941;1990;1990;1990;3;3;2;0;0;5;0;L536010;1941;1960;1960;x
Sassault d'Avriers;536011;GAB;1930;1930;1990;1990;2;2;0;1;0;5;0;L536011;1930;1960;1960;x
Silvy;536012;GAB;1940;1990;1990;1990;3;3;256;0;0;5;0;L536012;1940;1960;1960;x
Valleé;536013;GAB;1939;1990;1990;1990;3;3;64;0;0;5;0;L536013;1939;1946;1960;x
Youlou;536014;GAB;1945;1945;1990;1990;2;2;2;1;0;5;0;M536046;1945;1960;1960;x
Assier de Perpignan;536015;GAB;1930;1930;1990;1990;2;3;8704;1;0;5;1;M536006;1930;1960;1960;x
Eboue;536016;GAB;1930;1939;1941;1990;1;5;4096;2;0;5;1;M536008;1930;1944;1960;x
Reste;536017;GAB;1930;1930;1990;1990;2;3;0;1;0;5;1;M536002;1930;1960;1960;x
Sassault d'Avriers;536018;GAB;1930;1930;1990;1990;2;2;2048;1;0;5;1;L536011;1930;1960;1960;x
Andrieux;536019;GAB;1939;1942;1990;1990;2;3;131072;1;0;5;2;M536053;1939;1960;1960;x
Eboue;536020;GAB;1930;1939;1941;1990;1;3;0;2;0;5;2;M536008;1930;1944;1960;x
Goussault;536021;GAB;1940;1990;1990;1990;3;3;0;0;0;5;2;L536021;1940;1960;1960;x
Parant;536022;GAB;1930;1930;1990;1990;2;2;16384;1;0;5;2;L533014;1930;1941;1960;x
Pré;536023;GAB;1930;1941;1990;1990;2;4;4096;1;0;5;2;M536017;1930;1960;1960;x
Commander;536900;GAB;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;536901;GAB;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;536902;GAB;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;536903;GAB;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;536904;GAB;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;536905;GAB;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;536906;GAB;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;536907;GAB;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;536908;GAB;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;536909;GAB;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;536910;GAB;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;536911;GAB;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
