Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Abkhazi;519000;GEO;1930;1930;1930;1990;1;4;576;1;0;5;0;M519048;1930;1960;1960;x
Arndt;519001;GEO;1930;1990;1990;1990;3;4;66;0;0;5;0;L519001;1930;1960;1960;x
Beburidzhe;519002;GEO;1930;1930;1990;1990;2;4;128;1;0;5;0;L519002;1930;1960;1960;x
Beria;519003;GEO;1930;1930;1990;1990;2;2;0;1;0;5;0;M519007;1930;1960;1960;x
Berkelmann;519004;GEO;1930;1990;1990;1990;3;2;0;0;0;5;0;L519004;1930;1960;1960;x
Brusilov;519005;GEO;1930;1930;1930;1990;1;3;514;1;0;5;0;M519050;1930;1960;1960;x
Busich;519006;GEO;1930;1942;1990;1990;2;3;32;1;0;5;0;L519006;1930;1960;1960;x
Cholokashvili;519007;GEO;1930;1930;1930;1990;1;4;4;1;0;5;0;M519046;1930;1960;1960;x
Chrobeck;519008;GEO;1930;1990;1990;1990;3;5;136;0;0;5;0;L519008;1930;1960;1960;x
de Bagration;519009;GEO;1930;1930;1930;1990;1;3;0;1;0;5;0;M519049;1930;1960;1960;x
du Moulin Eckhardt;519010;GEO;1930;1990;1990;1990;3;2;0;0;0;5;0;L519010;1930;1960;1960;x
Gordaschvili;519011;GEO;1930;1930;1990;1990;2;2;8;0;0;5;0;L519011;1930;1960;1960;x
Hieber;519012;GEO;1930;1990;1990;1990;3;3;4;0;0;5;0;L519012;1930;1960;1960;x
Karumidzhe;519013;GEO;1930;1990;1990;1990;3;2;0;0;0;5;0;M519047;1930;1960;1960;x
Lechitski;519014;GEO;1930;1930;1990;1990;2;3;513;1;0;5;0;L519014;1930;1960;1960;x
Maglakelidzhe;519015;GEO;1930;1942;1990;1990;3;2;4;1;0;5;0;M519054;1930;1960;1960;x
Mzechabukishvili;519016;GEO;1930;1990;1990;1990;3;2;16;0;0;5;0;L519016;1930;1960;1960;x
Nikoladzhe;519017;GEO;1930;1930;1990;1990;2;2;16;1;0;5;0;M519053;1930;1960;1960;x
Nukridzhe;519018;GEO;1930;1930;1940;1990;2;4;1;1;0;5;0;L519018;1930;1960;1960;x
Pridon-Zulukhidzhe;519019;GEO;1930;1990;1990;1990;3;2;0;0;0;5;0;L519019;1930;1960;1960;x
Razikashvili;519020;GEO;1930;1930;1990;1990;2;3;16;1;0;5;0;M519051;1930;1960;1960;x
Scherping;519021;GEO;1930;1990;1990;1990;3;1;0;0;0;5;0;L519021;1930;1960;1960;x
Shevardenzhe;519022;GEO;1930;1930;1990;1990;2;2;16;1;0;5;0;L519022;1930;1960;1960;x
Tcherniakhovski;519023;GEO;1930;1930;1939;1990;1;4;2;1;0;5;0;M519008;1930;1960;1960;x
Tsulukidzhe;519024;GEO;1930;1930;1990;1990;2;2;1;0;0;5;0;M519052;1930;1960;1960;x
