Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Brahnos;31500;GRE;1930;1990;1990;1990;3;3;32;0;0;3;0;L31500;1930;1942;1960;x
Demestichas;31501;GRE;1930;1938;1990;1990;2;3;0;1;0;4;0;L31501;1930;1942;1960;x
Diakos;31502;GRE;1939;1990;1990;1990;3;3;128;0;0;3;0;L31502;1939;1941;1960;x
Drakos;31503;GRE;1930;1930;1990;1990;2;3;0;1;0;4;0;L31503;1930;1940;1960;x
Elfthimios;31504;GRE;1943;1946;1990;1990;2;4;256;1;0;2;0;L31504;1943;1960;1960;x
Gazes;31505;GRE;1939;1943;1990;1990;2;4;0;1;0;5;0;L31505;1939;1960;1960;x
Karassos;31506;GRE;1939;1943;1990;1990;3;4;32;1;0;4;0;L31506;1939;1960;1960;x
Kitsos;31507;GRE;1939;1944;1990;1990;3;4;0;1;0;2;0;L31507;1939;1960;1960;x
Klados;31508;GRE;1930;1930;1990;1990;2;4;514;1;0;4;0;L31508;1930;1940;1960;x
Kondylis;31509;GRE;1930;1930;1930;1990;1;5;516;1;0;3;0;L31509;1930;1938;1960;x
Kotsalos;31510;GRE;1939;1942;1990;1990;3;4;64;1;0;3;0;L31510;1939;1960;1960;x
Lavdas;31511;GRE;1930;1930;1990;1990;2;3;0;0;0;4;0;L31511;1930;1945;1960;x
Lioumpas;31512;GRE;1940;1990;1990;1990;3;3;128;0;0;3;0;L31512;1940;1960;1960;x
Markou;31513;GRE;1930;1938;1990;1990;2;4;0;1;0;2;0;L31513;1930;1942;1960;x
Melissinos;31514;GRE;1944;1990;1990;1990;3;5;0;0;0;4;0;L31514;1944;1960;1960;x
Metaxas;31515;GRE;1930;1930;1938;1990;1;5;2;1;0;3;0;L31515;1930;1941;1960;x
Moutouses;31516;GRE;1930;1930;1990;1990;2;3;0;0;0;3;0;L31516;1930;1942;1960;x
Pangalos;31517;GRE;1930;1930;1939;1990;1;4;0;1;0;3;0;L31517;1930;1946;1960;x
Papadopoulos  C.;31518;GRE;1944;1990;1990;1990;3;4;256;0;0;4;0;L31518;1944;1960;1960;x
Papadopoulos  D.;31519;GRE;1930;1939;1990;1990;2;3;0;1;0;4;0;L31519;1930;1942;1960;x
Papageorgiou;31520;GRE;1930;1943;1946;1990;2;4;0;2;0;3;0;L31520;1930;1960;1960;x
Papagos;31521;GRE;1930;1930;1930;1945;1;6;2;2;0;5;0;L31521;1930;1960;1960;x
Papakonstinou;31522;GRE;1940;1990;1990;1990;3;4;0;0;0;4;0;L31522;1940;1960;1960;x
Paraskevopoulos;31523;GRE;1930;1930;1930;1990;1;5;513;1;0;3;0;L31523;1930;1939;1960;x
Pitsikas;31524;GRE;1937;1941;1990;1990;2;5;32;1;0;4;0;L31524;1937;1960;1960;x
Roussopoulos;31525;GRE;1930;1990;1990;1990;3;3;1;0;0;2;0;L31525;1930;1942;1960;x
Sarafis;31526;GRE;1939;1942;1944;1990;1;3;16;2;0;1;0;L31526;1939;1946;1960;x
Stanotas;31527;GRE;1930;1990;1990;1990;3;3;0;0;0;3;0;L31527;1930;1942;1960;x
Stephanakos;31528;GRE;1930;1990;1990;1990;3;3;0;0;0;2;0;L31528;1930;1939;1960;x
Stergiopoulos;31529;GRE;1930;1990;1990;1990;3;3;0;0;0;2;0;L31529;1930;1942;1960;x
Stimachos;31530;GRE;1942;1945;1990;1990;3;4;1;1;0;4;0;L31530;1942;1960;1960;x
Triantafyllidis;31531;GRE;1930;1990;1990;1990;3;3;256;0;0;2;0;L31531;1930;1945;1960;x
Tsigantes;31532;GRE;1930;1990;1990;1990;3;3;128;0;0;2;0;L31532;1930;1939;1960;x
Tsolakoglou;31533;GRE;1930;1930;1940;1990;1;5;2;1;0;1;0;L31533;1930;1945;1960;x
Tsounoukas;31534;GRE;1930;1930;1990;1990;2;3;16;0;0;5;0;L31534;1930;1942;1960;x
Urachnos;31535;GRE;1930;1930;1990;1990;2;4;514;1;0;4;0;L31535;1930;1942;1960;x
Vlahopoulos;31536;GRE;1930;1930;1930;1990;1;5;516;1;0;3;0;L31536;1930;1939;1960;x
Zegouris;31537;GRE;1939;1942;1946;1990;2;4;1;2;0;5;0;L31537;1939;1960;1960;x
Zervas;31538;GRE;1939;1942;1990;1990;2;5;17;1;0;3;0;L31538;1939;1960;1960;x
Zoiopoulos;31539;GRE;1938;1990;1990;1990;3;3;4;0;0;4;0;L31539;1938;1942;1960;x
Gousis;31540;GRE;1945;1990;1990;1990;3;3;0;0;0;3;1;L31540;1945;1960;1960;x
Koumas;31541;GRE;1930;1944;1990;1990;3;4;0;1;0;4;1;L31541;1930;1946;1960;x
Miaoulis;31542;GRE;1942;1990;1990;1990;3;3;0;0;0;3;1;L31542;1942;1960;1960;x
Oikonomou;31543;GRE;1943;1946;1990;1990;2;4;0;1;0;3;1;L31543;1943;1960;1960;x
Sakellariou;31544;GRE;1930;1930;1940;1990;1;4;0;1;0;4;1;L31544;1930;1946;1960;x
