Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Belov;502000;CGX;1930;1990;1990;1990;3;2;256;0;0;5;0;L502000;1930;1960;1960;x
Chen Jitang;502001;CGX;1930;1930;1930;1938;0;2;513;1;0;1;0;L50031;1930;1944;1960;x
Kravelkin;502002;CGX;1930;1990;1990;1990;3;2;4;0;0;5;0;L502002;1930;1960;1960;x
Li Jishen;502003;CGX;1930;1930;1930;1990;1;3;16;1;0;5;0;L502003;1930;1960;1960;x
Li Zongren;502004;CGX;1930;1939;1941;1944;1;4;4;3;0;4;0;L50186;1930;1960;1960;x
Golukjin;502005;CGX;1930;1930;1990;1990;2;2;0;0;0;5;0;L502005;1930;1960;1960;x
Bai Chongxi;502006;CGX;1930;1939;1941;1990;1;4;16;2;0;3;0;L50247;1930;1960;1960;x
Shermentcheff;502007;CGX;1930;1930;1990;1990;2;2;4;0;0;4;0;L502007;1930;1960;1960;x
Tschevelkov;502008;CGX;1930;1990;1990;1990;3;2;0;0;0;5;0;L502008;1930;1960;1960;x
von Appel;502009;CGX;1930;1942;1990;1990;3;3;128;1;0;5;0;L502009;1930;1960;1960;x
Yu Hanmou;502010;CGX;1930;1939;1990;1990;2;2;0;1;0;4;0;L502010;1930;1960;1960;x
Belov;502011;CGX;1930;1990;1990;1990;3;2;0;0;0;5;1;L502000;1930;1960;1960;x
Dranilov;502012;CGX;1930;1990;1990;1990;3;2;0;0;0;5;1;L502012;1930;1960;1960;x
Ertelkin;502013;CGX;1930;1930;1990;1990;2;3;8192;1;0;5;1;L502013;1930;1960;1960;x
Bai Chongxi;502014;CGX;1930;1939;1941;1990;1;2;0;1;0;3;1;L50247;1930;1960;1960;x
Kulchin;502015;CGX;1930;1990;1990;1990;3;2;0;0;0;5;1;L502015;1930;1960;1960;x
Beryakin;502016;CGX;1930;1990;1990;1990;3;2;0;0;0;5;2;L502016;1930;1960;1960;x
Khripin;502017;CGX;1930;1990;1990;1990;3;2;4096;0;0;5;2;L502017;1930;1960;1960;x
Li Zongren;502018;CGX;1930;1930;1941;1990;1;2;0;1;0;4;2;L50186;1930;1960;1960;x
Lindemann;502019;CGX;1930;1930;1990;1990;2;4;10;0;0;5;0;L502019;1930;1940;1960;x
Hoffmann;502020;CGX;1940;1940;1990;1990;2;4;516;1;0;5;0;L502020;1940;1944;1960;x
Vorbrugg;502021;CGX;1930;1930;1990;1990;2;4;129;1;0;5;0;L502021;1944;1960;1960;x
Dranilov;502023;CGX;1930;1990;1990;1990;3;2;0;0;0;5;1;L502012;1930;1970;1999;x
Ertelkin;502024;CGX;1930;1930;1990;1990;2;3;8192;1;0;5;1;L502013;1930;1970;1999;x
Bai Chongxi;502025;CGX;1930;1939;1941;1990;1;2;0;1;0;3;1;L50247;1930;1970;1999;x
Kulchin;502026;CGX;1930;1990;1990;1990;3;2;0;0;0;5;1;L502015;1930;1970;1999;x
Beryakin;502027;CGX;1930;1990;1990;1990;3;2;0;0;0;5;2;L502016;1930;1970;1999;x
Khripin;502028;CGX;1930;1990;1990;1990;3;2;4096;0;0;5;2;L502017;1930;1970;1999;x
Li Zongren;502029;CGX;1930;1930;1941;1990;1;2;0;1;0;4;2;620;1930;1970;1999;x
Bu Hanchi ;502030;CGX;1922;1990;1990;1990;3;3;0;0;0;4;0;unknownleader;1922;1971;1999;x
Chen Enyuan ;502031;CGX;1933;1990;1990;1990;3;2;0;0;0;4;0;unknownleader;1933;1977;1999;x
Chen Gui ;502032;CGX;1930;1990;1990;1990;3;3;0;0;0;4;2;unknownleader;1930;1950;1999;x
