Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Arana;210000;GUA;1941;1945;1990;1990;3;4;0;1;0;4;0;L210000;1941;1960;1960;x
Arbenz Guzman;210001;GUA;1942;1990;1990;1990;3;3;0;0;0;3;0;L210001;1942;1960;1960;x
Buenaventure Pineda;210002;GUA;1930;1930;1990;1990;2;3;1;0;0;3;0;L210002;1930;1945;1960;x
Castillo Armas;210003;GUA;1942;1944;1990;1990;2;3;0;1;0;4;0;L210003;1942;1960;1960;x
Chacon de Leon;210004;GUA;1930;1941;1990;1990;2;5;16;1;0;4;0;L210004;1930;1946;1960;x
Diaz de Leon;210005;GUA;1944;1990;1990;1990;3;4;4;0;0;3;0;L210005;1944;1960;1960;x
Flores Avendano;210006;GUA;1943;1990;1990;1990;3;4;0;0;0;4;0;L210006;1943;1960;1960;x
Orellana;210007;GUA;1930;1930;1939;1990;1;3;2;1;0;3;0;L210007;1930;1946;1960;x
Ortiz Escaranté;210008;GUA;1940;1990;1990;1990;3;3;256;0;0;5;0;L210008;1940;1960;1960;x
Ponce Vaides;210009;GUA;1930;1930;1930;1990;1;3;0;1;0;3;0;L210009;1930;1945;1960;x
Ubico Castaneda;210010;GUA;1930;1930;1930;1990;1;4;1;1;0;4;0;L210010;1930;1944;1960;x
Villafranco Mendoza;210011;GUA;1939;1990;1990;1990;3;4;0;0;0;5;0;L210011;1939;1960;1960;x
Villagrán Ariza;210012;GUA;1938;1943;1990;1990;2;4;64;1;0;3;0;L210012;1938;1960;1960;x
Ydigoras Fuentes;210013;GUA;1941;1990;1990;1990;3;4;128;0;0;5;0;L210013;1941;1960;1960;x
Ezuira Abel;210014;GUA;1930;1990;1990;1990;3;3;0;0;0;3;1;L210014;1930;1944;1960;x
Mendoza Arauja;210015;GUA;1945;1990;1990;1990;3;3;1024;0;0;4;1;L210015;1945;1960;1960;x
Mendoza Urribe;210016;GUA;1930;1930;1990;1990;2;3;0;1;0;4;1;L210016;1930;1944;1960;x
Torriello Garrido;210017;GUA;1938;1942;1990;1990;2;3;8192;1;0;3;1;L210017;1938;1960;1960;x
Buenaventure Pineda;210018;GUA;1930;1930;1990;1990;2;3;0;1;0;3;2;L210018;1930;1945;1960;x
Garcia Granados;210019;GUA;1942;1990;1990;1990;3;3;0;0;0;3;2;L210019;1942;1960;1960;x
Martinez Castro;210020;GUA;1944;1990;1990;1990;3;3;0;0;0;2;2;L210020;1944;1960;1960;x
Peralta Azurdia;210021;GUA;1939;1943;1990;1990;2;4;0;1;0;3;2;L210021;1939;1960;1960;x
Tesch Orlando;210022;GUA;1941;1945;1990;1990;2;4;0;1;0;4;2;L210022;1941;1960;1960;x
Orellana, J.M.;210024;GUA;1908;1908;1908;1932;1;3;0;2;0;5;0;621;1908;1932;1999;x
Chacón;210025;GUA;1908;1908;1908;1932;1;3;0;2;0;5;0;unknownleader;1908;1932;1999;x
Duarte;210026;GUA;1908;1908;1908;1932;1;3;0;2;0;5;0;unknownleader;1908;1932;1999;x
Letona;210027;GUA;1908;1908;1908;1932;1;3;0;2;0;5;0;unknownleader;1908;1932;1999;x
Aguijar;210028;GUA;1908;1908;1932;1932;2;3;0;2;0;5;0;unknownleader;1908;1932;1999;x
Orellana, L.;210029;GUA;1908;1908;1932;1932;2;3;0;2;0;5;0;unknownleader;1908;1932;1999;x
Herrera;210030;GUA;1908;1908;1932;1932;2;3;0;2;0;5;0;unknownleader;1908;1932;1999;x
Padilla;210031;GUA;1908;1908;1932;1932;2;3;0;2;0;5;0;unknownleader;1908;1932;1999;x
Orantes;210032;GUA;1908;1908;1932;1932;2;3;0;2;0;5;0;unknownleader;1908;1932;1999;x
Larrave;210033;GUA;1908;1932;1932;1932;3;3;0;2;0;5;0;unknownleader;1908;1932;1999;x
Linares;210034;GUA;1908;1932;1932;1932;3;3;0;2;0;5;0;unknownleader;1908;1932;1999;x
Sifuentes;210035;GUA;1908;1932;1932;1932;3;3;0;2;0;5;0;unknownleader;1908;1932;1999;x
Lima;210036;GUA;1908;1932;1932;1932;3;3;0;2;0;5;0;unknownleader;1908;1932;1999;x
Jiménez;210037;GUA;1908;1932;1932;1932;3;3;0;2;0;5;0;unknownleader;1908;1932;1999;x
Ruiz;210038;GUA;1908;1932;1932;1932;3;3;0;2;0;5;0;unknownleader;1908;1932;1999;x
Monterrosa;210039;GUA;1908;1932;1932;1932;3;3;0;2;0;5;0;unknownleader;1908;1932;1999;x
Sandoval;210040;GUA;1908;1932;1932;1932;3;3;0;2;0;5;0;unknownleader;1908;1932;1999;x
Mejía;210041;GUA;1908;1932;1932;1932;3;3;0;2;0;5;0;unknownleader;1908;1932;1999;x
Bonilla;210042;GUA;1908;1932;1932;1932;3;3;0;2;0;5;0;unknownleader;1908;1932;1999;x
Castañeda;210043;GUA;1908;1932;1932;1932;3;3;0;2;0;5;0;622;1908;1932;1999;x
Commander;210900;GUA;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;210901;GUA;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;210902;GUA;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;210903;GUA;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;210904;GUA;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;210905;GUA;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;210906;GUA;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;210907;GUA;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;210908;GUA;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;210909;GUA;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;210910;GUA;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;210911;GUA;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;210912;GUA;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;210913;GUA;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;210914;GUA;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;210915;GUA;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;210916;GUA;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;210917;GUA;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;210918;GUA;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;210919;GUA;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;210920;GUA;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;210921;GUA;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;210922;GUA;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;210923;GUA;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;210924;GUA;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;210925;GUA;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;210926;GUA;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;210927;GUA;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;210928;GUA;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;210929;GUA;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;210930;GUA;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;210931;GUA;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;210932;GUA;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;210933;GUA;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;210934;GUA;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;210935;GUA;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;210936;GUA;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;210937;GUA;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;210938;GUA;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;210939;GUA;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;210940;GUA;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;210941;GUA;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;210942;GUA;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;210943;GUA;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;210944;GUA;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;210945;GUA;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
