Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Bakker;7800;HOL;1938;1942;1990;1990;2;4;0;1;0;5;0;L7800;1938;1960;1960;x
Berenschot;7801;HOL;1930;1938;1990;1990;2;3;2;1;0;5;0;L7801;1930;1960;1960;x
Boerstra;7802;HOL;1930;1930;1990;1990;2;4;1;0;0;4;0;L7802;1930;1945;1960;x
Carstens;7803;HOL;1938;1990;1990;1990;3;3;64;0;0;3;0;L7803;1938;1942;1960;x
Cox;7804;HOL;1940;1990;1990;1990;3;5;5;0;0;5;0;L7804;1940;1960;1960;x
Dames;7805;HOL;1939;1990;1990;1990;3;3;0;0;0;3;0;L7805;1939;1960;1960;x
de Bruyne;7806;HOL;1942;1990;1990;1990;3;5;256;0;0;5;0;L7806;1942;1960;1960;x
de Jonge van Ellemeet;7807;HOL;1930;1939;1990;1990;3;3;0;1;0;4;0;L7807;1930;1960;1960;x
Dijxhoorn;7808;HOL;1940;1990;1990;1990;3;3;0;0;0;3;0;L7808;1940;1960;1960;x
Hackstroh;7809;HOL;1930;1990;1990;1990;3;3;0;0;0;3;0;L7809;1930;1960;1960;x
Harberts;7810;HOL;1930;1938;1990;1990;2;5;516;1;0;4;0;L7810;1930;1947;1960;x
Hasselman;7811;HOL;1938;1941;1990;1990;3;4;1;1;0;5;0;L7811;1938;1943;1960;x
Ilgen;7812;HOL;1930;1943;1990;1990;3;5;16;1;0;3;0;L7812;1930;1960;1960;x
Overakker;7813;HOL;1938;1940;1990;1990;2;3;64;1;0;5;0;L7813;1938;1945;1960;x
Pesman;7814;HOL;1930;1990;1990;1990;3;4;128;0;0;5;0;L7814;1930;1960;1960;x
Reynders;7815;HOL;1930;1930;1939;1990;1;5;0;2;0;5;0;L7815;1930;1940;1960;x
Seyffardt;7816;HOL;1930;1930;1990;1990;2;5;513;1;0;2;0;L7816;1930;1960;1960;x
Spoor;7817;HOL;1942;1945;1990;1990;3;5;1;1;0;5;0;L7817;1942;1960;1960;x
Statius-Muller;7818;HOL;1930;1990;1990;1990;3;5;33;0;0;5;0;L7818;1930;1960;1960;x
ter Poorten;7819;HOL;1930;1938;1939;1990;1;5;65;2;0;5;0;L7819;1930;1960;1960;x
