Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Andras;3101100;HUN;1944;1990;1990;1990;3;4;256;0;0;5;0;L31100;1944;1990;1990;x
Algya-Pap;3101101;HUN;1938;1942;1990;1990;2;5;4;1;0;3;0;L31101;1938;1946;1960;x
Babics;3101102;HUN;1940;1990;1990;1990;3;6;0;0;0;5;0;L31102;1940;1990;1990;x
Bajnóczy;3101103;HUN;1930;1930;1943;1990;1;5;64;1;0;5;0;L31103;1930;1990;1990;x
Bakay;3101104;HUN;1930;1943;1990;1990;3;5;0;1;0;2;0;L31104;1930;1990;1990;x
Barankay;3101105;HUN;1930;1990;1990;1990;3;5;0;0;0;3;0;L31105;1930;1942;1960;x
Barthá von Dálnokfalva;3101106;HUN;1930;1930;1930;1990;1;4;544;1;0;5;0;L31106;1930;1942;1960;x
Baumann;3101107;HUN;1944;1990;1990;1990;3;4;0;0;0;5;0;L31107;1944;1990;1990;x
Beldy;3101108;HUN;1937;1943;1990;1990;3;5;0;1;0;5;0;L31108;1937;1946;1960;x
Beregffy;3101109;HUN;1930;1937;1941;1990;1;5;0;2;0;5;0;L31109;1930;1990;1990;x
Berzin;3101110;HUN;1945;1947;1990;1990;3;6;4;1;0;5;0;L31110;1945;1990;1990;x
Billinitzer;3101111;HUN;1930;1930;1990;1990;2;5;513;1;0;4;0;L31111;1930;1940;1960;x
Bor;3101112;HUN;1942;1944;1990;1990;2;4;0;1;0;5;0;L31112;1942;1990;1990;x
Brunswik;3101113;HUN;1941;1946;1990;1990;3;5;4;1;0;5;0;L31113;1941;1990;1990;x
Csatay von Csatai;3101114;HUN;1930;1930;1941;1990;1;6;576;1;0;5;0;L31114;1930;1990;1990;x
Csicserics von Bacsány;3101115;HUN;1930;1930;1990;1990;2;5;514;1;0;4;0;L31115;1930;1939;1960;x
Dalos;3101116;HUN;1942;1990;1990;1990;3;6;0;0;0;4;0;L31116;1942;1944;1960;x
