Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Abdulhamid Pontiak;577000;INO;1930;1990;1990;1990;3;2;2;0;0;5;0;L577000;1930;1945;1960;x
Amangwu VIII. Jogarta;577001;INO;1930;1940;1990;1990;2;2;2;1;0;5;0;M577025;1930;1960;1960;x
Bakker;577002;INO;1938;1942;1990;1990;2;4;0;1;0;5;0;L7800;1938;1960;1960;x
Berenschot;577003;INO;1930;1938;1990;1990;2;3;2;1;0;5;0;L7801;1930;1960;1960;x
Boerstra;577004;INO;1930;1930;1990;1990;2;4;1;1;0;4;0;L7802;1930;1960;1960;x
Damiri;577005;INO;1945;1990;1990;1990;3;3;64;0;0;5;0;L577005;1945;1960;1960;x
Hamid II. Pontiak;577006;INO;1939;1943;1990;1990;2;3;0;1;0;5;0;M577041;1939;1960;1960;x
Machmud;577007;INO;1942;1945;1990;1990;2;4;0;1;0;5;0;L577007;1942;1960;1960;x
Malaka;577008;INO;1930;1940;1942;1990;1;7;16;2;0;5;0;M577042;1930;1960;1960;x
Nasution;577009;INO;1938;1943;1945;1990;1;5;4;2;0;5;0;M577043;1938;1960;1960;x
Ngabehi;577010;INO;1930;1990;1990;1990;3;3;1;0;0;5;0;M577029;1930;1960;1960;x
Prabowo;577011;INO;1945;1990;1990;1990;3;3;4;0;0;5;0;L577011;1945;1960;1960;x
Rachmat;577012;INO;1938;1943;1947;1990;2;4;32;2;0;5;0;L577012;1938;1960;1960;x
Recompa;577013;INO;1930;1990;1990;1990;3;4;0;0;0;5;0;L577013;1930;1960;1960;x
Sjamsoddin;577014;INO;1944;1990;1990;1990;3;3;1;0;0;5;0;L577014;1944;1960;1960;x
Spoor;577015;INO;1942;1945;1990;1990;3;5;1;1;0;5;0;L7817;1942;1960;1960;x
Starkenborgh-Stachouwer;577016;INO;1930;1930;1990;1990;2;3;2;1;0;5;0;M577002;1930;1943;1960;x
Sudiman;577017;INO;1930;1940;1990;1990;2;4;16;1;0;5;0;L577017;1930;1943;1960;x
Sudirman  B.;577018;INO;1939;1944;1990;1990;2;4;1;1;0;5;0;M577034;1939;1960;1960;x
Sudirman  L.;577019;INO;1943;1945;1990;1990;2;3;128;1;0;5;0;L577019;1943;1960;1960;x
Suharto;577020;INO;1942;1945;1990;1990;2;6;5;1;0;5;0;L577020;1942;1960;1960;x
Sukarno;577021;INO;1930;1940;1944;1946;1;3;1;2;0;5;0;M577011;1930;1960;1960;x
Sumoharjo;577022;INO;1941;1943;1990;1990;2;4;1;1;0;5;0;M577047;1941;1960;1960;x
Suratman;577023;INO;1945;1990;1990;1990;3;3;256;0;0;5;0;L577023;1945;1960;1960;x
Suryo;577024;INO;1941;1945;1990;1990;2;5;256;1;0;5;0;M577054;1941;1960;1960;x
Ter Poorten;577025;INO;1930;1938;1939;1990;1;5;65;2;0;5;0;L7819;1930;1960;1960;x
Amangwu IX. Jogarta;577026;INO;1930;1940;1945;1990;1;3;8192;2;0;5;1;M577049;1930;1960;1960;x
Doorman;577027;INO;1938;1944;1990;1990;2;5;0;1;0;4;1;L7836;1940;1960;1960;x
Helfrich;577028;INO;1930;1940;1990;1990;2;3;0;1;0;4;1;L7839;1930;1942;1960;x
Wihawartha;577029;INO;1945;1990;1990;1990;3;3;1024;0;0;5;1;L577029;1945;1960;1960;x
Jusf;577030;INO;1930;1942;1946;1990;2;3;4096;2;0;5;2;M577053;1930;1960;1960;x
Muhammed III. Pontiak;577031;INO;1930;1990;1990;1990;3;2;4096;0;0;5;2;M577004;1930;1944;1960;x
Rewrewfa;577032;INO;1945;1990;1990;1990;3;3;32768;0;0;5;2;L577032;1945;1960;1960;x
Riyadi;577033;INO;1943;1990;1990;1990;3;3;0;0;0;5;2;L577033;1943;1960;1960;x
Sukarno;577034;INO;1930;1940;1946;1990;1;3;131072;2;0;5;2;M577011;1930;1960;1960;x
Suryo;577035;INO;1941;1945;1990;1990;2;3;0;1;0;5;2;M577054;1941;1960;1960;x
van Oyen;577036;INO;1938;1942;1990;1990;2;4;16384;1;0;5;2;L7859;1938;1960;1960;x
Pakmehasan;577037;INO;1947;1949;1952;1990;1;4;1;2;0;5;0;M577063;1947;1960;1960;x
Commander;577900;INO;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;577901;INO;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;577902;INO;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;577903;INO;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;577904;INO;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;577905;INO;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;577906;INO;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;577907;INO;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;577908;INO;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;577909;INO;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;577910;INO;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;577911;INO;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;577912;INO;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;577913;INO;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;577914;INO;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;577915;INO;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;577916;INO;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
