Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
abn Hussein;3001000;IRQ;1930;1930;1930;1990;1;3;513;1;0;5;0;L300000;1930;1946;1960;x
al Arshat;3001001;IRQ;1944;1946;1990;1990;2;3;0;1;0;4;0;L300001;1944;1960;1960;x
al Hassan;3001002;IRQ;1939;1942;1990;1990;2;4;1;1;0;4;0;L300002;1939;1960;1960;x
al Rawi;3001003;IRQ;1930;1938;1990;1990;2;3;0;1;0;3;0;L300003;1930;1943;1960;x
al Umari;3001004;IRQ;1938;1990;1990;1990;3;3;0;0;0;1;0;L300004;1938;1942;1960;x
as Sabbagh;3001005;IRQ;1930;1930;1990;1990;2;5;514;1;0;4;0;L300005;1930;1960;1960;x
as Said;3001006;IRQ;1930;1930;1942;1945;1;3;4;2;0;5;0;L300006;1930;1960;1960;x
Bakr Sidqi;3001007;IRQ;1930;1930;1930;1990;1;3;0;1;0;3;0;L300007;1930;1938;1960;x
Dafni;3001008;IRQ;1942;1990;1990;1990;3;5;256;0;0;3;0;L300008;1942;1944;1960;x
Davis;3001009;IRQ;1941;1990;1990;1990;3;5;256;1;0;5;0;L300009;1941;1946;1960;x
Erekat;3001010;IRQ;1938;1943;1990;1990;3;3;128;1;0;1;0;L300010;1938;1945;1960;x
Fawzi;3001011;IRQ;1939;1990;1990;1990;3;3;256;0;0;1;0;L300011;1939;1960;1960;x
Ghazi I;3001012;IRQ;1930;1930;1930;1930;0;2;0;0;0;5;0;L300012;1930;1939;1960;x
Glubb;3001013;IRQ;1939;1942;1945;1990;2;6;5;3;0;5;0;L300013;1939;1960;1960;x
Ishakat;3001014;IRQ;1930;1930;1990;1990;2;4;0;0;0;5;0;L300014;1930;1945;1960;x
Osborne-Wilkinson;3001015;IRQ;1942;1990;1990;1990;3;4;128;1;0;5;0;L300015;1942;1946;1960;x
Peake;3001016;IRQ;1930;1930;1990;1990;2;5;2;1;0;3;0;L300016;1930;1942;1960;x
Sha'alan;3001017;IRQ;1930;1930;1941;1990;1;3;64;1;0;3;0;L300017;1930;1960;1960;x
Shaker ben Zaid;3001018;IRQ;1942;1990;1990;1990;3;3;0;0;0;3;0;L300018;1942;1960;1960;x
Shawkat;3001019;IRQ;1930;1990;1990;1990;3;3;0;0;0;1;0;L300019;1930;1942;1960;x
Thornhill;3001020;IRQ;1943;1990;1990;1990;3;5;32;0;0;5;0;L300020;1943;1946;1960;x
as Sabbagh;3001021;IRQ;1930;1930;1930;1990;1;3;512;1;0;4;1;L300021;1930;1960;1960;x
Nye;3001022;IRQ;1941;1943;1990;1990;2;4;0;1;0;5;1;L300022;1941;1946;1960;x
Tatton-Sykes;3001023;IRQ;1942;1990;1990;1990;3;4;1024;0;0;5;1;L300023;1942;1946;1960;x
Timms;3001024;IRQ;1944;1990;1990;1990;3;4;0;0;0;5;1;L300024;1944;1960;1960;x
al Tell;3001025;IRQ;1942;1946;1990;1990;3;4;0;1;0;3;2;L300025;1942;1960;1960;x
ben Jawad;3001026;IRQ;1930;1990;1990;1990;3;3;0;0;0;3;2;L300026;1930;1943;1960;x
Fischer;3001027;IRQ;1942;1990;1990;1990;3;4;0;0;0;5;2;L300027;1942;1946;1960;x
Grant;3001028;IRQ;1939;1990;1990;1990;3;4;0;0;0;5;2;L300028;1939;1960;1960;x
Rawlinson;3001029;IRQ;1940;1943;1990;1990;2;4;16384;1;0;5;2;L300029;1940;1946;1960;x
Commander;3001900;IRQ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;3001901;IRQ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;3001902;IRQ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;3001903;IRQ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;3001904;IRQ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;3001905;IRQ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;3001906;IRQ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;3001907;IRQ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;3001908;IRQ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;3001909;IRQ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;3001910;IRQ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;3001911;IRQ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;3001912;IRQ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;3001913;IRQ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;3001914;IRQ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;3001915;IRQ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;3001916;IRQ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;3001917;IRQ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;3001918;IRQ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;3001919;IRQ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;3001920;IRQ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;3001921;IRQ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;3001922;IRQ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;3001923;IRQ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;3001924;IRQ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;3001925;IRQ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;3001926;IRQ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;3001927;IRQ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;3001928;IRQ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;3001929;IRQ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;3001930;IRQ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;3001931;IRQ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
