Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Archer;77000;IRE;1941;1990;1990;1990;3;3;4;0;0;5;0;L77000;1941;1960;1960;x
Brennan;77001;IRE;1930;1930;1990;1990;2;5;516;1;0;5;0;L77001;1930;1942;1960;x
Bryan;77002;IRE;1938;1942;1990;1990;2;4;2;1;0;5;0;L77002;1938;1946;1960;x
Collins-Powell;77003;IRE;1930;1990;1990;1990;3;5;128;0;0;5;0;L77003;1930;1940;1960;x
Costello;77004;IRE;1930;1939;1942;1990;1;5;0;2;0;5;0;L77004;1930;1960;1960;x
Fitzemmett;77005;IRE;1930;1990;1990;1990;3;5;514;1;0;5;0;L77005;1930;1944;1960;x
Fitzroy;77006;IRE;1939;1942;1990;1990;2;3;128;1;0;5;0;L77006;1942;1960;1960;x
Flynn;77007;IRE;1945;1990;1990;1990;3;3;0;0;0;5;0;L77007;1945;1960;1960;x
Hanrahan;77008;IRE;1930;1939;1990;1990;2;3;0;1;0;5;0;L77008;1930;1941;1960;x
Kelly;77009;IRE;1940;1990;1990;1990;3;3;64;0;0;5;0;L77009;1940;1944;1960;x
Killane;77010;IRE;1930;1930;1990;1990;2;3;2;1;0;5;0;L77010;1930;1939;1960;x
Kinnane;77011;IRE;1939;1942;1990;1990;2;3;64;1;0;5;0;L77011;1939;1960;1960;x
MacNeill;77012;IRE;1938;1942;1990;1990;2;5;0;1;0;5;0;L77012;1938;1946;1960;x
McCabe;77013;IRE;1930;1990;1990;1990;3;3;0;0;0;5;0;L77013;1930;1939;1960;x
McKenna;77014;IRE;1930;1943;1990;1990;2;4;16;1;0;5;0;L77014;1930;1947;1960;x
McLaughlin;77015;IRE;1939;1990;1990;1990;3;3;0;0;0;5;0;L77015;1939;1946;1960;x
McNally;77016;IRE;1930;1941;1990;1990;2;4;32;1;0;5;0;L77016;1930;1960;1960;x
