Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Abzalgul;520000;KAZ;1930;1930;1990;1990;2;4;521;1;0;5;0;L520000;1930;1960;1960;x
Aneshan;520001;KAZ;1930;1942;1990;1990;2;3;2;1;0;5;0;M520028;1930;1960;1960;x
Bigeldinov;520002;KAZ;1930;1930;1930;1990;1;4;16;2;0;5;0;M520008;1930;1960;1960;x
Bohnstedt;520003;KAZ;1930;1990;1990;1990;3;3;514;1;0;5;0;L520003;1930;1960;1960;x
Bukaiklianov;520004;KAZ;1930;1930;1930;1990;1;3;1;1;0;5;0;M520012;1930;1960;1960;x
Dutov;520005;KAZ;1930;1930;1990;1990;2;4;16;1;0;5;0;M520014;1930;1960;1960;x
Gemp;520006;KAZ;1930;1990;1990;1990;3;4;576;1;0;5;0;L520006;1930;1960;1960;x
Mametova;520007;KAZ;1930;1990;1990;1990;3;6;9;0;0;5;0;L520007;1930;1960;1960;x
Sakhno;520008;KAZ;1930;1930;1990;1990;2;3;8;1;0;5;0;L520008;1930;1960;1960;x
Salminov;520009;KAZ;1930;1930;1941;1990;1;4;0;2;0;5;0;L520009;1930;1960;1960;x
Samarskiy;520010;KAZ;1930;1943;1990;1990;3;3;256;1;0;5;0;M520034;1930;1960;1960;x
Sarkisyan;520011;KAZ;1930;1990;1990;1990;3;5;256;0;0;5;0;M520035;1930;1960;1960;x
Semenchenko;520012;KAZ;1930;1930;1990;1990;2;3;128;1;0;5;0;L520012;1930;1960;1960;x
Sidorovich;520013;KAZ;1930;1990;1990;1990;3;2;0;0;0;5;0;L520013;1930;1960;1960;x
Sinenko;520014;KAZ;1930;1930;1990;1990;2;2;0;1;0;5;0;L520014;1930;1960;1960;x
Skvortsov;520015;KAZ;1930;1990;1990;1990;3;3;64;0;0;5;0;L520015;1930;1960;1960;x
Sokolov;520016;KAZ;1930;1930;1990;1990;2;2;0;1;0;5;0;L520016;1930;1960;1960;x
Solomatin;520017;KAZ;1930;1990;1990;1990;3;3;128;0;0;5;0;L520017;1930;1960;1960;x
Solyankin;520018;KAZ;1930;1990;1990;1990;3;2;0;0;0;5;0;L520018;1930;1960;1960;x
Starkov;520019;KAZ;1930;1940;1990;1990;2;4;128;1;0;5;0;M520031;1930;1960;1960;x
Starokoshko;520020;KAZ;1930;1990;1990;1990;3;2;8;0;0;5;0;L520020;1930;1960;1960;x
Starostin;520021;KAZ;1930;1930;1990;1990;2;4;2;1;0;5;0;M520032;1930;1960;1960;x
Studnev;520022;KAZ;1930;1990;1990;1990;3;2;0;0;0;5;0;L520022;1930;1960;1960;x
Suchkov;520023;KAZ;1930;1990;1990;1990;3;3;256;0;0;5;0;M520029;1930;1960;1960;x
Susaikov;520024;KAZ;1930;1930;1990;1990;2;2;1;1;0;5;0;M520007;1930;1960;1960;x
Talkaher;520025;KAZ;1930;1930;1990;1990;2;3;513;1;0;5;0;L520025;1930;1960;1960;x
von Enckevort;520026;KAZ;1930;1990;1990;1990;3;3;514;1;0;5;0;L520026;1930;1960;1960;x
von Flotow;520027;KAZ;1930;1990;1990;1990;3;3;0;0;0;5;0;L520027;1930;1960;1960;x
