Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Chae Byong Duk;578000;KOR;1930;1939;1944;1990;1;3;2;2;0;5;0;M578007;1930;1960;1960;x
Chi Chun Chung;578001;KOR;1930;1930;1942;1990;1;5;0;2;0;5;0;M578017;1930;1960;1960;x
Choi Hong Hi;578002;KOR;1941;1943;1990;1990;2;4;256;1;0;5;0;L578002;1941;1960;1960;x
Gu In Tak;578003;KOR;1945;1990;1990;1990;3;4;64;0;0;5;0;L578003;1945;1960;1960;x
Kim Shee Jen;578004;KOR;1945;1990;1990;1990;3;3;4;0;0;5;0;L578004;1945;1960;1960;x
Kim Won Bong;578005;KOR;1930;1930;1930;1941;0;6;17;2;0;5;0;M578018;1930;1947;1960;x
Koo Han-yong;578006;KOR;1944;1990;1990;1990;3;4;32;0;0;5;0;L578006;1944;1960;1960;x
Lee Chung Chun;578007;KOR;1930;1938;1944;1990;1;5;3;3;0;5;0;M578008;1930;1960;1960;x
Lee Hung Koon;578008;KOR;1939;1942;1990;1990;2;4;16;1;0;5;0;L578008;1939;1960;1960;x
Mo Chang-hoi;578009;KOR;1945;1990;1990;1990;3;3;0;0;0;5;0;L578009;1945;1960;1960;x
Paik Sun Yup;578010;KOR;1944;1990;1990;1990;3;4;9;0;0;5;0;L578010;1944;1960;1960;x
Park Chung Hee;578011;KOR;1943;1945;1990;1990;2;5;4;1;0;5;0;L578011;1943;1960;1960;x
Wang Tang-woe;578012;KOR;1945;1990;1990;1990;3;3;256;0;0;5;0;L578012;1945;1960;1960;x
Yu Hong-chul;578013;KOR;1944;1990;1990;1990;3;4;128;0;0;5;0;L578013;1944;1960;1960;x
Han Gil Su;578014;KOR;1944;1990;1990;1990;3;3;1024;0;0;5;1;L578014;1944;1960;1960;x
Jong Dong-ju;578015;KOR;1930;1941;1990;1990;2;4;2048;1;0;5;1;M578019;1930;1960;1960;x
Kang Jong Pil;578016;KOR;1942;1990;1990;1990;3;3;0;0;0;5;1;L578016;1942;1960;1960;x
Seo Chae-ko;578017;KOR;1945;1990;1990;1990;3;3;0;0;0;5;1;L578017;1945;1960;1960;x
Soon Won-yil;578018;KOR;1930;1940;1943;1990;1;4;4096;3;0;5;1;M578009;1930;1960;1960;x
Choi Hong Hi;578019;KOR;1941;1943;1990;1990;2;3;0;1;0;5;2;L578002;1941;1960;1960;x
Kang Hae Sup;578020;KOR;1943;1990;1990;1990;3;3;131072;0;0;5;2;L578020;1943;1960;1960;x
Kim Tae Sun;578021;KOR;1945;1990;1990;1990;3;3;4096;0;0;5;2;L578021;1945;1960;1960;x
Lee Bom Suk;578022;KOR;1930;1930;1943;1990;1;4;16384;2;0;5;2;M578010;1930;1960;1960;x
Ri Jae Sun;578023;KOR;1930;1941;1990;1990;2;4;131072;1;0;5;2;M578020;1930;1960;1960;x
Sinn Do-keun;578024;KOR;1939;1943;1990;1990;2;3;0;1;0;5;2;L578024;1939;1960;1960;x
Emperor Gojong;578026;KOR;1897;1897;1897;1897;0;5;512;0;0;5;0;797;1897;1919;1999;x
Emperor Soonjong;578027;KOR;1897;1897;1897;1907;0;5;0;1;0;5;0;798;1897;1926;1999;x
Prince Lee Hee;578028;KOR;1897;1897;1897;1932;1;5;512;0;0;5;0;799;1897;1912;1999;x
Prince Lee Ghang;578029;KOR;1897;1897;1897;1932;1;5;0;3;0;5;0;800;1897;1932;1999;x
Prince Lee Eun;578030;KOR;1915;1915;1915;1932;1;5;2;2;0;5;0;801;1915;1932;1999;x
Prince Lee Joon Yong;578031;KOR;1897;1897;1897;1932;1;5;512;1;0;5;0;802;1897;1917;1999;x
Lee Ghap;578032;KOR;1897;1897;1915;1932;1;5;4;2;0;5;0;803;1897;1917;1999;x
Yewn Woong Ryeol;578033;KOR;1897;1897;1902;1932;1;5;512;2;0;5;0;804;1897;1911;1999;x
Gwon Joong Hyun;578034;KOR;1897;1897;1907;1932;1;5;0;2;0;5;0;805;1897;1934;1999;x
Min Young Hwan;578035;KOR;1897;1900;1932;1932;2;5;16;2;0;5;0;806;1897;1905;1999;x
Min Young Gi;578036;KOR;1897;1911;1932;1932;2;5;0;1;0;5;0;807;1897;1927;1999;x
Min Young Chan;578037;KOR;1904;1932;1932;1932;3;5;0;1;0;5;0;808;1904;1932;1999;x
Min Byung Seok;578038;KOR;1897;1897;1932;1932;2;5;0;2;0;5;0;809;1897;1932;1999;x
Min Shang Ho;578039;KOR;1897;1906;1932;1932;2;5;32;2;0;5;0;810;1897;1932;1999;x
Yewn Taek Young;578040;KOR;1906;1932;1932;1932;3;5;0;0;0;5;0;811;1906;1932;1999;x
Uhm Joo Ik;578041;KOR;1897;1907;1932;1932;2;5;1;2;0;5;0;812;1897;1931;1999;x
Uhm Joon Won;578042;KOR;1897;1932;1932;1932;3;5;0;1;0;5;0;813;1897;1932;1999;x
Park Je Soon;578043;KOR;1897;1932;1932;1932;3;5;0;1;0;5;0;814;1897;1916;1999;x
Song Byung Joon;578044;KOR;1897;1932;1932;1932;3;5;0;1;0;5;0;815;1897;1925;1999;x
Lee Guen Taek;578045;KOR;1901;1932;1932;1932;3;5;0;1;0;5;0;816;1901;1919;1999;x
Lee Byung Moo;578046;KOR;1897;1905;1907;1932;1;5;0;2;0;5;0;817;1897;1920;1999;x
Woo Bum Sun;578047;KOR;1897;1932;1932;1932;3;5;0;1;0;5;0;818;1897;1903;1999;x
Lee Yong Ik;578048;KOR;1897;1905;1932;1932;2;5;1;1;0;5;0;819;1897;1907;1999;x
Park Seung Hwan;578049;KOR;1897;1932;1932;1932;3;5;4;2;0;5;0;820;1897;1907;1999;x
Shin Phal Gewn;578050;KOR;1897;1907;1916;1932;1;5;2;3;0;5;0;821;1897;1924;1999;x
Lee Joon Young;578051;KOR;1900;1932;1932;1932;3;5;0;2;0;5;0;822;1900;1907;1999;x
Jo Hee Yeon;578052;KOR;1897;1897;1932;1932;2;5;512;1;0;5;0;823;1897;1915;1999;x
Jo Dong Yewn;578053;KOR;1897;1897;1932;1932;2;5;0;1;0;5;0;824;1897;1923;1999;x
Jhang Hwa Sik;578054;KOR;1897;1932;1932;1932;3;5;32;2;0;5;0;825;1897;1928;1999;x
Lee Jae Whan;578055;KOR;1897;1907;1932;1932;2;5;1;2;0;5;0;826;1897;1922;1999;x
Baek Seong Gi;578056;KOR;1897;1904;1908;1932;1;5;64;1;0;5;0;827;1897;1929;1999;x
Han Jin Chang;578057;KOR;1897;1932;1932;1932;3;5;0;2;0;5;0;828;1897;1920;1999;x
Jeong Nhan Gyo;578058;KOR;1897;1907;1932;1932;2;5;0;1;0;5;0;829;1897;1930;1999;x
Shin Tae Hew;578059;KOR;1904;1932;1932;1932;3;5;0;1;0;5;0;830;1904;1928;1999;x
Jeong Gi Taek;578060;KOR;1897;1904;1932;1932;2;5;512;1;0;5;0;831;1897;1922;1999;x
Shin Gi Sun;578061;KOR;1897;1897;1904;1932;1;5;512;1;0;5;0;832;1897;1909;1999;x
Lee Jong Gun;578062;KOR;1897;1897;1932;1932;2;5;512;2;0;5;0;833;1897;1918;1999;x
Chae Eung Un;578063;KOR;1900;1932;1932;1932;3;5;0;2;0;5;0;834;1900;1915;1999;x
