Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Bala;548000;KUR;1930;1939;1990;1990;2;3;8;1;0;5;0;M548025;1930;1960;1960;x
Baltzer;548001;KUR;1940;1990;1990;1990;3;3;2;0;0;5;0;L548001;1940;1960;1960;x
Barzani;548002;KUR;1939;1942;1946;1990;1;6;16;3;0;5;0;M548028;1939;1960;1960;x
Biermann;548003;KUR;1940;1990;1990;1990;3;4;4;0;0;5;0;L548003;1940;1946;1960;x
Demirkol;548004;KUR;1930;1930;1941;1990;2;3;0;2;0;5;0;M548007;1930;1960;1960;x
Drees;548005;KUR;1939;1990;1990;1990;3;3;0;0;0;5;0;L548005;1939;1960;1960;x
Eberts;548006;KUR;1939;1990;1990;1990;3;4;4;0;0;5;0;L548006;1939;1946;1960;x
Eichstädt;548007;KUR;1940;1990;1990;1990;3;4;128;0;0;5;0;L548007;1940;1960;1960;x
Fischer;548008;KUR;1940;1990;1990;1990;3;3;32;0;0;5;0;L548008;1940;1960;1960;x
Geznen;548009;KUR;1930;1943;1990;1990;2;3;128;1;0;5;0;L548009;1930;1960;1960;x
Haktanir;548010;KUR;1937;1990;1990;1990;3;3;1;0;0;5;0;L548010;1937;1960;1960;x
Hausser;548011;KUR;1939;1990;1990;1990;3;4;544;1;0;5;0;L548011;1939;1945;1960;x
Jahanpur;548012;KUR;1938;1990;1990;1990;3;2;0;0;0;5;0;L548012;1938;1944;1960;x
Kriegbaum;548013;KUR;1939;1990;1990;1990;3;3;64;0;0;5;0;L548013;1939;1960;1960;x
Lukhman;548014;KUR;1943;1946;1990;1990;2;4;17;1;0;5;0;M548024;1943;1960;1960;x
Maslum;548015;KUR;1945;1990;1990;1990;3;2;256;0;0;5;0;L548015;1945;1960;1960;x
Ocalan;548016;KUR;1930;1930;1930;1990;1;3;1;1;0;5;0;M548008;1930;1946;1960;x
Pakravan;548017;KUR;1939;1990;1990;1990;3;2;1;0;0;5;0;L548017;1939;1960;1960;x
Roohizadegan;548018;KUR;1930;1930;1990;1990;2;3;64;1;0;5;0;M548026;1930;1960;1960;x
Söldner;548019;KUR;1941;1990;1990;1990;3;4;256;0;0;5;0;L548019;1941;1960;1960;x
Tanju;548020;KUR;1930;1940;1990;1990;3;2;2;1;0;5;0;M548027;1930;1960;1960;x
von Bismarck;548021;KUR;1930;1990;1990;1990;3;4;513;1;0;5;0;L548021;1930;1945;1960;x
von Dewitz zu Krebs;548022;KUR;1939;1990;1990;1990;3;4;256;0;0;5;0;L548022;1939;1960;1960;x
Aqiqat;548023;KUR;1930;1990;1990;1990;3;2;1024;0;0;5;1;M548029;1930;1960;1960;x
