Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Abuzyarov;521000;KYG;1930;1990;1990;1990;3;2;1;0;0;5;0;M521044;1930;1960;1960;x
Altinbek;521001;KYG;1930;1930;1990;1990;2;3;128;1;0;5;0;L521001;1930;1960;1960;x
Baranov;521002;KYG;1930;1939;1990;1990;2;3;4;1;0;5;0;M521046;1930;1960;1960;x
Bührmann;521003;KYG;1930;1990;1990;1990;3;3;1;0;0;5;0;L521003;1930;1960;1960;x
Cholponbek;521004;KYG;1930;1939;1990;1990;2;4;24;1;0;5;0;M521039;1930;1960;1960;x
Croneiss;521005;KYG;1930;1990;1990;1990;3;2;0;0;0;5;0;L521005;1930;1960;1960;x
Dushebaev;521006;KYG;1930;1941;1990;1990;2;3;0;1;0;5;0;M521007;1930;1960;1960;x
Dzhandosov;521007;KYG;1930;1930;1990;1990;2;4;16;1;0;5;0;M521051;1930;1960;1960;x
Ernst;521008;KYG;1930;1990;1990;1990;3;2;0;0;0;5;0;L521008;1930;1960;1960;x
Frunze;521009;KYG;1930;1930;1930;1940;1;7;5;4;0;5;0;M521008;1930;1960;1960;x
Goryashenko;521010;KYG;1930;1940;1990;1990;2;3;128;1;0;5;0;M521049;1930;1960;1960;x
Hierl;521011;KYG;1930;1990;1990;1990;3;2;0;0;0;5;0;L521011;1930;1960;1960;x
Hopf;521012;KYG;1930;1990;1990;1990;3;3;514;1;0;5;0;L521012;1930;1960;1960;x
Ishimov  B.;521013;KYG;1930;1943;1990;1990;3;3;64;1;0;5;0;L521013;1930;1960;1960;x
Ishimov  I.;521014;KYG;1930;1990;1990;1990;3;2;8;0;0;5;0;L521014;1930;1960;1960;x
Janusz;521015;KYG;1930;1990;1990;1990;3;2;32;0;0;5;0;L521015;1930;1960;1960;x
Jyrgaluul;521016;KYG;1930;1990;1990;1990;3;2;1;0;0;5;0;L521016;1930;1960;1960;x
Kannengiesser;521017;KYG;1930;1990;1990;1990;3;3;64;0;0;5;0;L521017;1930;1960;1960;x
Kubatbekov;521018;KYG;1930;1990;1990;1990;3;2;0;0;0;5;0;L521018;1930;1960;1960;x
Ostermann;521019;KYG;1930;1990;1990;1990;3;1;0;0;0;5;0;L521019;1930;1960;1960;x
Popov;521020;KYG;1930;1990;1990;1990;3;3;256;0;0;5;0;M521053;1930;1960;1960;x
