Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Adeline;540000;LAO;1942;1944;1990;1990;2;4;32;1;0;5;0;M540036;1942;1960;1960;x
Aphay;540001;LAO;1938;1943;1990;1990;2;3;4;1;0;5;0;M540034;1938;1960;1960;x
Bayrou;540002;LAO;1939;1990;1990;1990;3;3;1;0;0;5;0;M540039;1939;1960;1960;x
Boun;540003;LAO;1930;1930;1990;1990;2;2;0;1;0;5;0;M540010;1930;1960;1960;x
Brossolette;540004;LAO;1943;1990;1990;1990;3;2;1;0;0;5;0;M540023;1943;1960;1960;x
d'Arbonnier;540005;LAO;1938;1990;1990;1990;3;3;128;1;0;5;0;L540005;1938;1960;1960;x
Fevre;540006;LAO;1937;1990;1990;1990;3;3;0;0;0;5;0;L540006;1937;1945;1960;x
Hmong;540007;LAO;1944;1990;1990;1990;3;6;16;0;0;5;0;L540007;1944;1960;1960;x
Khong;540008;LAO;1943;1990;1990;1990;3;3;256;0;0;5;0;L540008;1943;1960;1960;x
Mairet;540009;LAO;1942;1990;1990;1990;3;4;256;0;0;5;0;M540030;1942;1960;1960;x
Muracciole;540010;FRA;1940;1990;1990;1990;3;4;16;0;0;5;0;M540026;1940;1960;1960;x
Pao;540011;LAO;1941;1944;1990;1990;2;4;17;1;0;5;0;M540038;1941;1960;1960;x
Perceval;540012;LAO;1941;1990;1990;1990;3;4;256;0;0;5;0;L540012;1941;1960;1960;x
Phanmong;540013;LAO;1940;1990;1990;1990;3;3;17;0;0;5;0;L540013;1940;1960;1960;x
Phetsarat;540014;LAO;1938;1941;1990;1990;2;3;2;1;0;5;0;M540008;1938;1947;1960;x
Phichith;540015;LAO;1945;1990;1990;1990;3;2;0;0;0;5;0;M540035;1945;1960;1960;x
Phomvihanh;540016;LAO;1943;1946;1990;1990;2;3;1;1;0;5;0;M540029;1943;1960;1960;x
Phousannani;540017;LAO;1939;1943;1990;1990;2;4;0;1;0;5;0;M540031;1939;1960;1960;x
Roques;540018;LAO;1930;1930;1930;1990;1;3;514;1;0;5;0;M540007;1930;1942;1960;x
Sahiaphan;540019;LAO;1930;1990;1990;1990;3;3;16;0;0;5;0;L540019;1930;1947;1960;x
Sasiavong;540020;LAO;1930;1930;1930;1930;0;2;0;0;0;5;0;M540001;1930;1960;1960;x
Sasorith;540021;LAO;1942;1945;1990;1990;2;2;0;1;0;5;0;L540021;1942;1960;1960;x
Savang  Va.;540022;LAO;1930;1930;1930;1990;1;2;1;1;0;5;0;M540011;1930;1960;1960;x
Savang  Vo.;540023;LAO;1939;1943;1990;1990;2;2;128;1;0;5;0;M540037;1939;1960;1960;x
Sinaud;540024;LAO;1940;1990;1990;1990;3;3;4;0;0;5;0;M540033;1940;1960;1960;x
Souvanna;540025;LAO;1938;1944;1990;1990;2;2;0;1;0;5;0;M540009;1938;1960;1960;x
Vezinet;540026;LAO;1939;1943;1990;1990;2;4;128;1;0;5;0;L540026;1939;1960;1960;x
Aphay;540027;LAO;1938;1990;1990;1990;3;2;0;0;0;5;1;M540034;1938;1960;1960;x
de Maismont;540028;LAO;1938;1990;1990;1990;3;2;0;0;0;5;1;M540042;1938;1944;1960;x
Souphanou;540029;LAO;1939;1990;1990;1990;3;2;0;0;0;5;1;M540041;1939;1960;1960;x
Souvanna;540030;LAO;1930;1944;1990;1990;2;2;0;1;0;5;1;M540009;1938;1960;1960;x
Albert;540031;LAO;1941;1990;1990;1990;3;3;4096;0;0;5;2;L540031;1941;1960;1960;x
Boun;540032;LAO;1930;1930;1990;1990;2;2;16384;1;0;5;2;M540010;1930;1960;1960;x
de Maismont;540033;LAO;1938;1990;1990;1990;3;3;32768;0;0;5;2;M540042;1938;1944;1960;x
Sasorith;540034;LAO;1941;1990;1990;1990;3;2;4096;0;0;5;2;L540021;1941;1960;1960;x
Commander;540900;LAO;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;540901;LAO;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;540902;LAO;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;540903;LAO;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;540904;LAO;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;540905;LAO;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;540906;LAO;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;540907;LAO;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;540908;LAO;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;540909;LAO;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;540910;LAO;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;540911;LAO;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;540912;LAO;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;540913;LAO;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;540914;LAO;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;540915;LAO;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;540916;LAO;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;540917;LAO;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;540918;LAO;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;540919;LAO;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
