Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Bachs;1900000;LAT;1930;1990;1990;1990;3;3;0;0;0;3;0;L19000;1930;1941;1960;x
Balodis;1900001;LAT;1930;1939;1943;1990;2;4;64;2;0;4;0;L19001;1930;1960;1960;x
Bangerskis;1900002;LAT;1937;1939;1942;1990;1;4;2;2;0;3;0;L19002;1937;1960;1960;x
Berkis;1900003;LAT;1930;1930;1940;1990;1;4;0;2;0;3;0;L19003;1930;1942;1960;x
Bolsteins;1900004;LAT;1938;1990;1990;1990;3;4;4;0;0;4;0;L19004;1938;1940;1960;x
Bubinduss;1900005;LAT;1939;1990;1990;1990;3;4;0;0;0;3;0;L19005;1939;1942;1960;x
Buks;1900006;LAT;1939;1990;1990;1990;3;3;32;0;0;3;0;L19006;1939;1942;1960;x
Celmins;1900007;LAT;1939;1942;1990;1990;3;4;4;1;0;4;0;L19007;1939;1945;1960;x
Dambitis;1900008;LAT;1930;1930;1990;1990;2;5;8;1;0;2;0;L19008;1930;1939;1960;x
Dankers;1900009;LAT;1930;1930;1945;1990;2;4;0;1;0;2;0;L19009;1930;1960;1960;x
Duze;1900010;LAT;1941;1990;1990;1990;3;3;0;0;0;4;0;L19010;1941;1960;1960;x
Ezerins;1900011;LAT;1937;1990;1990;1990;3;3;0;0;0;4;0;L19011;1937;1944;1960;x
Goppers;1900012;LAT;1930;1930;1930;1990;1;5;514;1;0;5;0;L19012;1930;1939;1960;x
Grosbart;1900013;LAT;1940;1941;1990;1990;2;5;128;1;0;2;0;L19013;1940;1944;1960;x
Jeske;1900014;LAT;1939;1990;1990;1990;3;3;0;0;0;3;0;L19014;1939;1941;1960;x
Klavins;1900015;LAT;1930;1930;1940;1990;1;4;513;1;0;5;0;L19015;1930;1941;1960;x
Klinsons;1900016;LAT;1930;1990;1990;1990;3;4;513;1;0;5;0;L19016;1930;1941;1960;x
Krustins;1900017;LAT;1930;1940;1990;1990;2;4;0;0;0;3;0;L19017;1930;1941;1960;x
Kurelis;1900018;LAT;1938;1943;1990;1990;2;3;32;1;0;3;0;L19018;1938;1960;1960;x
Kurse;1900019;LAT;1940;1990;1990;1990;3;3;1;0;0;4;0;L19019;1940;1960;1960;x
Lobe;1900020;LAT;1942;1990;1990;1990;3;3;4;0;0;2;0;L19020;1942;1945;1960;x
Osis;1900021;LAT;1930;1990;1990;1990;3;3;0;0;0;2;0;L19021;1930;1939;1960;x
Prauls;1900022;LAT;1937;1990;1990;1990;3;4;2;0;0;5;0;L19022;1937;1941;1960;x
Rozentseins;1900023;LAT;1930;1990;1990;1990;3;3;1;0;0;3;0;L19023;1930;1941;1960;x
Silgailis;1900024;LAT;1942;1990;1990;1990;3;3;2;0;0;2;0;L19024;1942;1960;1960;x
Skrapce;1900025;LAT;1930;1990;1990;1990;3;3;32;0;0;4;0;L19025;1930;1939;1960;x
Sprogis;1900026;LAT;1944;1990;1990;1990;3;5;16;0;0;1;0;L19026;1944;1990;1990;x
Tefpers;1900027;LAT;1939;1990;1990;1990;3;3;0;0;0;3;0;L19027;1939;1960;1960;x
Vacietis;1900028;LAT;1943;1945;1947;1990;2;5;4;2;0;4;0;L19028;1943;1960;1960;x
Virsaitis;1900029;LAT;1930;1930;1990;1990;2;4;528;1;0;3;0;L19029;1930;1943;1960;x
