Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Allen;390000;LIB;1941;1990;1990;1990;3;3;32;0;0;5;0;L390000;1941;1947;1960;x
Baker;390001;LIB;1939;1990;1990;1990;3;3;0;0;0;5;0;L390001;1939;1945;1960;x
Briggs;390002;LIB;1940;1990;1990;1990;3;3;64;0;0;5;0;L390002;1940;1946;1960;x
Cornelius;390003;LIB;1943;1990;1990;1990;3;3;0;0;0;5;0;L390003;1943;1960;1960;x
Davis;390004;LIB;1939;1941;1943;1990;1;4;4;2;0;5;0;L390004;1939;1946;1960;x
Fox;390005;LIB;1930;1940;1990;1990;2;3;1;1;0;5;0;L390005;1930;1960;1960;x
Perry;390006;LIB;1945;1990;1990;1990;3;4;256;0;0;5;0;L390006;1945;1960;1960;x
Ross;390007;LIB;1937;1990;1990;1990;3;3;16;0;0;5;0;L390007;1937;1943;1960;x
Virgin;390008;LIB;1930;1930;1938;1990;1;2;2;1;0;5;0;L390008;1930;1940;1960;x
Wills;390009;LIB;1942;1945;1990;1990;3;3;128;1;0;5;0;L390009;1942;1960;1960;x
Banks Williams;390010;LIB;1943;1990;1990;1990;3;3;2048;0;0;5;1;L390010;1943;1960;1960;x
Brandon;390011;LIB;1930;1940;1990;1990;2;3;0;1;0;5;1;L390011;1930;1946;1960;x
Gittens;390012;LIB;1945;1990;1990;1990;3;3;1024;0;0;5;1;L390012;1945;1960;1960;x
Mulzac;390013;LIB;1939;1944;1990;1990;2;3;4096;1;0;5;1;L390013;1939;1960;1960;x
Archer;390014;LIB;1945;1990;1990;1990;3;3;0;0;0;5;2;L390014;1945;1960;1960;x
Brandon;390015;LIB;1930;1940;1990;1990;3;3;131072;1;0;5;2;L390015;1930;1946;1960;x
Chan;390016;LIB;1930;1930;1990;1990;2;2;0;1;0;5;2;L390016;1930;1940;1960;x
Cornelius;390017;LIB;1943;1990;1990;1990;3;2;16384;0;0;5;2;L390017;1943;1960;1960;x
Gee;390018;LIB;1942;1990;1990;1990;3;2;0;0;0;5;2;L390018;1942;1946;1960;x
Commander;390900;LIB;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;390901;LIB;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;390902;LIB;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;390903;LIB;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;390904;LIB;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;390905;LIB;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;390906;LIB;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;390907;LIB;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;390908;LIB;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;390909;LIB;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;390910;LIB;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;390911;LIB;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;390912;LIB;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;390913;LIB;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;390914;LIB;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;390915;LIB;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;390916;LIB;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;390917;LIB;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;390918;LIB;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;390919;LIB;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;390920;LIB;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;390921;LIB;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;390922;LIB;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;390923;LIB;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;390924;LIB;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;390925;LIB;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;390926;LIB;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;390927;LIB;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;390928;LIB;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;390929;LIB;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;390930;LIB;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;390931;LIB;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;390932;LIB;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;390933;LIB;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;390934;LIB;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;390935;LIB;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;390936;LIB;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;390937;LIB;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;390938;LIB;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;390939;LIB;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;390940;LIB;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;390941;LIB;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;390942;LIB;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;390943;LIB;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;390944;LIB;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;390945;LIB;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;390946;LIB;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;390947;LIB;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;390948;LIB;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;390949;LIB;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;390950;LIB;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;390951;LIB;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;390952;LIB;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;390953;LIB;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;390954;LIB;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;390955;LIB;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;390956;LIB;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;390957;LIB;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;390958;LIB;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;390959;LIB;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;390960;LIB;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;390961;LIB;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;390962;LIB;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;390963;LIB;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;390964;LIB;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
