Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Amiel;538000;MAD;1930;1939;1941;1990;1;4;128;2;0;5;0;M538007;1930;1960;1960;x
Cayla;538001;MAD;1930;1930;1930;1990;1;4;514;1;0;5;0;M538001;1930;1941;1960;x
Crocq;538002;MAD;1943;1990;1990;1990;3;3;1;0;0;5;0;L538002;1943;1960;1960;x
Desmaisons;538003;MAD;1940;1990;1990;1990;3;4;288;0;0;5;0;L538003;1940;1960;1960;x
Fanjava;538004;MAD;1930;1945;1990;1990;3;2;128;1;0;5;0;M538033;1930;1960;1960;x
Lamarque;538005;MAD;1937;1990;1990;1990;3;4;16;0;0;5;0;L538005;1937;1944;1960;x
Lequesne;538006;MAD;1939;1990;1990;1990;3;3;4;0;0;5;0;L538006;1939;1960;1960;x
Querville;538007;MAD;1938;1943;1990;1990;2;3;256;1;0;5;0;M538034;1938;1960;1960;x
Rakotondrandria;538008;MAD;1945;1990;1990;1990;3;2;64;0;0;5;0;M538031;1945;1960;1960;x
Vibert;538009;MAD;1941;1990;1990;1990;3;3;256;0;0;5;0;M538023;1941;1960;1960;x
de Barbezière;538010;MAD;1930;1930;1990;1990;2;3;0;1;0;5;1;M538009;1930;1960;1960;x
Demozay;538011;MAD;1939;1990;1990;1990;3;2;4096;0;0;5;1;L538011;1939;1960;1960;x
Querville;538012;MAD;1938;1943;1990;1990;2;3;2048;1;0;5;1;M538034;1938;1960;1960;x
Vibert;538013;MAD;1941;1990;1990;1990;3;3;1024;0;0;5;1;M538023;1941;1960;1960;x
Andlauer;538014;MAD;1940;1945;1990;1990;2;4;0;1;0;5;2;M538036;1940;1960;1960;x
Demozay;538015;MAD;1939;1990;1990;1990;3;4;4096;1;0;5;2;L538011;1939;1960;1960;x
Gatissou;538016;MAD;1941;1990;1990;1990;3;3;16384;0;0;5;2;L538016;1941;1960;1960;x
Guedj;538017;MAD;1930;1990;1990;1990;3;3;131072;0;0;5;2;M538010;1930;1945;1960;x
Commander;538900;MAD;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;538901;MAD;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;538902;MAD;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;538903;MAD;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
