Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Abdul Rahman;565000;MLY;1930;1930;1945;1990;2;4;1;1;0;5;0;M565030;1930;1960;1960;x
al-Marhum;565001;MLY;1938;1990;1990;1990;3;4;4;0;0;5;0;L565001;1938;1960;1960;x
al-Mansur;565002;MLY;1930;1941;1990;1990;2;4;1;1;0;5;0;M565031;1930;1960;1960;x
Badlishah;565003;MLY;1930;1990;1990;1990;3;4;1;0;0;5;0;M565032;1930;1960;1960;x
Bassingstoker;565004;MLY;1940;1990;1990;1990;3;3;2;0;0;5;0;L565004;1940;1960;1960;x
Besar;565005;MLY;1930;1990;1990;1990;3;6;528;1;0;5;0;M565024;1930;1943;1960;x
Bimantura;565006;MLY;1945;1990;1990;1990;3;3;1;0;0;5;0;L565006;1945;1960;1960;x
Brooke-Popham;565007;MLY;1941;1941;1941;1990;1;5;513;3;0;5;0;L1051;1941;1944;1960;x
Dobbie;565008;MLY;1930;1940;1990;1990;2;5;2;1;0;5;0;M565007;1930;1960;1960;x
Ghiath of Selangor;565009;MLY;1930;1990;1990;1990;3;4;32;0;0;5;0;L565009;1930;1945;1960;x
Hamid Shah;565010;MLY;1930;1930;1990;1990;2;4;514;1;0;5;0;M565029;1930;1943;1960;x
H.R.H. Ismael of Trengganu;565011;MLY;1938;1941;1945;1990;1;4;64;2;0;5;0;L565011;1938;1960;1960;x
Ibrahim IV of Kelantan;565012;MLY;1930;1990;1990;1990;3;3;0;0;0;5;0;M565014;1930;1960;1960;x
Keen;565013;MLY;1939;1990;1990;1990;3;6;256;0;0;5;0;L565013;1939;1960;1960;x
Mohd;565014;MLY;1945;1990;1990;1990;3;3;2;0;0;5;0;L565014;1945;1960;1960;x
Mustain of Pahang;565015;MLY;1930;1990;1990;1990;3;6;528;1;0;5;0;L565015;1930;1960;1960;x
Percival;565016;MLY;1930;1939;1941;1990;2;4;2;2;0;5;0;M565008;1930;1942;1960;x
Putra of Perlis;565017;MLY;1930;1930;1941;1990;1;4;128;1;0;5;0;M565035;1930;1960;1960;x
Suleiman of Selangor;565018;MLY;1930;1930;1930;1990;1;4;512;0;0;5;0;L565018;1930;1939;1960;x
Templer;565019;MLY;1942;1944;1945;1990;1;6;4;3;0;5;0;M565034;1942;1960;1960;x
Young;565020;MLY;1942;1990;1990;1990;3;3;2;0;0;5;0;M565021;1942;1960;1960;x
Atcherley;565021;MLY;1930;1930;1990;1990;2;5;4096;1;0;5;1;M565009;1930;1960;1960;x
Gurney;565022;MLY;1939;1942;1990;1990;2;4;4096;1;0;5;1;M565003;1939;1960;1960;x
Kerr;565023;MLY;1940;1990;1990;1990;3;5;2048;0;0;5;1;L565023;1940;1946;1960;x
Rahman Ali;565024;MLY;1930;1990;1990;1990;3;3;0;0;0;5;1;M565036;1930;1960;1960;x
Tun Rahman;565025;MLY;1943;1946;1990;1990;2;3;0;1;0;5;1;M565030;1943;1960;1960;x
Tunka of Tampin;565026;MLY;1941;1990;1990;1990;3;3;0;0;0;5;1;M565028;1941;1960;1960;x
ul-Lail of Perlis;565027;MLY;1930;1930;1990;1990;2;3;0;1;0;5;1;M565037;1930;1943;1960;x
Yew;565028;MLY;1945;1990;1990;1990;3;3;0;0;0;5;1;L565028;1945;1960;1960;x
Britton;565029;MLY;1930;1990;1990;1990;3;5;4096;0;0;5;2;L565029;1930;1943;1960;x
Choon;565030;MLY;1945;1990;1990;1990;3;3;0;0;0;5;2;L565030;1945;1960;1960;x
Hisam II. of Selangor;565031;MLY;1930;1930;1990;1990;2;4;131072;1;0;5;2;M565039;1930;1944;1960;x
Jarman;565032;MLY;1930;1938;1942;1990;1;5;4096;2;0;5;2;M565010;1930;1960;1960;x
MacDonald;565033;MLY;1938;1942;1990;1990;2;5;16384;1;0;5;2;L565033;1938;1960;1960;x
Shan;565034;MLY;1941;1990;1990;1990;3;4;65536;0;0;5;2;L565034;1941;1960;1960;x
Stephenson;565035;MLY;1939;1990;1990;1990;3;5;8192;0;0;5;2;L565035;1939;1960;1960;x
Wan;565036;MLY;1930;1990;1990;1990;3;4;32768;0;0;5;2;M565038;1930;1960;1960;x
Commander;565900;MLY;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;565901;MLY;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;565902;MLY;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;565903;MLY;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;565904;MLY;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;565905;MLY;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;565906;MLY;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;565907;MLY;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;565908;MLY;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;565909;MLY;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;565910;MLY;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;565911;MLY;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;565912;MLY;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;565913;MLY;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;565914;MLY;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;565915;MLY;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;565916;MLY;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;565917;MLY;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;565918;MLY;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;565919;MLY;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;565920;MLY;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;565921;MLY;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;565922;MLY;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;565923;MLY;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;565924;MLY;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;565925;MLY;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;565926;MLY;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;565927;MLY;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;565928;MLY;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;565929;MLY;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;565930;MLY;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;565931;MLY;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;565932;MLY;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;565933;MLY;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;565934;MLY;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;565935;MLY;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;565936;MLY;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;565937;MLY;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;565938;MLY;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;565939;MLY;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;565940;MLY;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;565941;MLY;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;565942;MLY;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;565943;MLY;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;565944;MLY;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;565945;MLY;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;565946;MLY;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;565947;MLY;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;565948;MLY;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;565949;MLY;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;565950;MLY;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;565951;MLY;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;565952;MLY;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;565953;MLY;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;565954;MLY;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;565955;MLY;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;565956;MLY;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;565957;MLY;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;565958;MLY;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;565959;MLY;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;565960;MLY;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;565961;MLY;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
