Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Amemiya;513000;MEN;1930;1938;1945;1990;2;4;0;3;0;5;0;L101006;1930;1990;1990;x
Asaka;513001;MEN;1930;1930;1930;1990;1;5;4;2;0;5;0;L101014;1930;1939;1960;x
Bauer;513002;MEN;1930;1990;1990;1990;3;4;128;0;0;5;0;L513002;1930;1990;1990;x
Fujii;513003;MEN;1938;1941;1990;1990;3;4;0;1;0;5;0;L101024;1938;1990;1990;x
Funabiki;513004;MEN;1938;1943;1990;1990;3;5;8;2;0;5;0;L101027;1938;1990;1990;x
Hattori;513005;MEN;1945;1990;1990;1990;3;5;4;1;0;5;0;L101035;1945;1990;1990;x
Hayashi;513006;MEN;1943;1944;1990;1990;3;5;4;2;0;5;0;L101036;1943;1990;1990;x
Hederich;513007;MEN;1930;1990;1990;1990;3;4;516;1;0;5;0;L513007;1930;1990;1990;x
Homma;513008;MEN;1930;1941;1990;1990;2;6;1;2;0;5;0;L101047;1930;1990;1990;x
Ide;513009;MEN;1937;1990;1990;1990;3;5;1;1;0;5;0;L101054;1937;1990;1990;x
Kajika;513010;MEN;1942;1946;1990;1990;3;5;1;2;0;5;0;L101074;1942;1990;1990;x
Kaneoka;513011;MEN;1930;1990;1990;1990;3;7;64;1;0;5;0;L101076;1930;1990;1990;x
Kasahara;513012;MEN;1941;1945;1990;1990;2;5;16;2;0;5;0;L101079;1941;1990;1990;x
Kita;513013;MEN;1941;1944;1990;1990;2;5;0;2;0;5;0;L101096;1941;1990;1990;x
Maeda;513014;MEN;1937;1941;1990;1990;2;5;256;2;0;5;0;L101112;1937;1990;1990;x
Miyazaki;513015;MEN;1943;1990;1990;1990;3;6;1;1;0;5;0;L101120;1943;1990;1990;x
Okada;513016;MEN;1945;1990;1990;1990;3;4;2;1;0;5;0;L101140;1945;1990;1990;x
Sanada;513017;MEN;1930;1990;1990;1990;3;4;128;1;0;5;0;L101151;1930;1990;1990;x
De Noyan;513018;MEN;1930;1930;1930;1990;1;3;1;1;0;5;0;M513001;1930;1990;1990;x
Yano;513019;MEN;1941;1990;1990;1990;3;4;0;1;0;5;0;L101210;1941;1990;1990;x
Hanke;513020;MEN;1930;1930;1990;1990;2;4;0;1;0;5;1;M513009;1930;1990;1990;x
Mahrholz;513021;MEN;1930;1990;1990;1990;3;4;8192;0;0;5;1;L513021;1930;1990;1990;x
Sakonji;513022;MEN;1930;1930;1990;1990;2;4;0;0;0;5;1;L101274;1930;1990;1990;x
Suekuni;513023;MEN;1939;1990;1990;1990;3;4;0;1;0;5;1;L101281;1939;1990;1990;x
Wehr;513024;MEN;1930;1990;1990;1990;3;4;1024;0;0;5;1;L513024;1930;1990;1990;x
