Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Almazan;4505500;MEX;1941;1945;1990;1990;3;5;32;1;0;1;0;L4500;1941;1960;1960;x
Alvarez Algrea;4505501;MEX;1930;1990;1990;1990;3;4;128;0;0;5;0;L4501;1930;1946;1960;x
Amaro Dominguez;4505502;MEX;1930;1938;1990;1990;2;6;16;1;0;5;0;L4502;1930;1944;1960;x
Ávila Camacho;4505503;MEX;1930;1930;1940;1990;1;5;0;1;0;5;0;L4503;1930;1945;1960;x
Ballestreros Miranda;4505504;MEX;1939;1990;1990;1990;3;4;32;0;0;1;0;L4504;1939;1960;1960;x
Calles del Rio;4505505;MEX;1938;1941;1990;1990;2;4;128;1;0;3;0;L4505;1938;1945;1960;x
Calles Plutarco;4505506;MEX;1930;1930;1990;1990;2;4;2;1;0;3;0;L4506;1930;1939;1960;x
Cardenas del Rio;4505507;MEX;1930;1930;1930;1990;1;4;2;1;0;5;0;L4507;1930;1944;1960;x
Cardenas Rodriguez;4505508;MEX;1942;1945;1990;1990;3;6;256;1;0;5;0;L4508;1942;1960;1960;x
Díaz Ovalle;4505509;MEX;1930;1939;1990;1990;2;4;1;1;0;4;0;L4509;1930;1943;1960;x
Estrada Reynoso;4505510;MEX;1930;1930;1930;1990;1;6;513;1;0;5;0;L4510;1930;1940;1960;x
Figueroa Figueroa;4505511;MEX;1939;1943;1946;1990;2;5;2;2;0;5;0;L4511;1939;1960;1960;x
Garcia Barragan;4505512;MEX;1942;1944;1990;1990;3;6;256;1;0;5;0;L4512;1942;1960;1960;x
Garza Siller;4505513;MEX;1930;1990;1990;1990;3;4;1;0;0;3;0;L4513;1930;1939;1960;x
Guillermo Villasina;4505514;MEX;1938;1941;1990;1990;2;4;1;1;0;5;0;L4514;1938;1946;1960;x
Hernandéz Krumm;4505515;MEX;1930;1990;1990;1990;3;4;128;0;0;4;0;L4515;1930;1942;1960;x
Hill;4505516;MEX;1930;1930;1990;1990;2;6;516;1;0;5;0;L4516;1930;1939;1960;x
Jara Corona;4505517;MEX;1939;1942;1990;1990;2;4;0;1;0;5;0;L4517;1939;1960;1960;x
Lara Viejo;4505518;MEX;1940;1990;1990;1990;3;4;4;1;0;4;0;L4518;1940;1960;1960;x
Limon Marquez;4505519;MEX;1939;1942;1945;1990;2;5;4;2;0;5;0;L4519;1939;1960;1960;x
Macias Valenzuela;4505520;MEX;1939;1941;1990;1990;2;5;0;1;0;5;0;L4520;1939;1947;1960;x
Mugica Valdéz;4505521;MEX;1930;1930;1990;1990;2;6;528;1;0;2;0;L4521;1930;1939;1960;x
Olachea Aviles;4505522;MEX;1943;1946;1990;1990;3;7;256;1;0;5;0;L4522;1943;1960;1960;x
Palafox;4505523;MEX;1930;1930;1930;1990;1;4;64;1;0;2;0;L4523;1930;1938;1960;x
Pro Díaz;4505524;MEX;1939;1990;1990;1990;3;4;2;0;0;3;0;L4524;1939;1960;1960;x
Quiroga Escamilla;4505525;MEX;1930;1939;1942;1990;1;5;0;2;0;5;0;L4525;1930;1947;1960;x
Ramos Santos;4505526;MEX;1941;1945;1990;1990;3;5;1;1;0;3;0;L4526;1941;1960;1960;x
Rojas Razo;4505527;MEX;1943;1990;1990;1990;3;5;128;0;0;5;0;L4527;1943;1960;1960;x
Salgado Cordero;4505528;MEX;1945;1990;1990;1990;3;4;0;0;0;5;0;L4528;1945;1960;1960;x
Serrano;4505529;MEX;1930;1930;1990;1990;2;6;513;1;0;3;0;L4529;1930;1941;1960;x
Urquizo Benavides;4505530;MEX;1930;1939;1990;1990;2;5;4;1;0;5;0;L4530;1930;1945;1960;x
Zapata Vera;4505531;MEX;1938;1990;1990;1990;3;4;32;0;0;5;0;L4531;1938;1946;1960;x
Ángel Castillo;4505532;MEX;1943;1945;1990;1990;3;5;0;1;0;5;1;L4532;1943;1960;1960;x
Coello Ochoa;4505533;MEX;1930;1990;1990;1990;3;4;1024;0;0;5;1;L4533;1930;1941;1960;x
Corona;4505534;MEX;1937;1939;1942;1990;1;5;0;1;0;5;1;L4534;1937;1960;1960;x
Del Mercado;4505535;MEX;1938;1942;1990;1990;2;4;0;1;0;5;1;L4535;1938;1946;1960;x
Gomez Maqueo;4505536;MEX;1941;1943;1990;1990;2;4;0;1;0;5;1;L4536;1941;1960;1960;x
Macias Alvarez;4505537;MEX;1930;1930;1990;1990;2;6;8704;1;0;5;1;L4537;1930;1941;1960;x
Meixueiro Alejandre;4505538;MEX;1943;1990;1990;1990;3;4;0;0;0;5;1;L4538;1943;1960;1960;x
Niembro Almazán;4505539;MEX;1944;1990;1990;1990;3;4;4096;0;0;5;1;L4539;1944;1960;1960;x
Othon Blanco;4505540;MEX;1930;1930;1930;1990;1;6;2560;1;0;5;1;L4540;1930;1939;1960;x
Schaufelberger;4505541;MEX;1944;1946;1990;1990;3;6;0;1;0;5;1;L4541;1944;1960;1960;x
Sildar;4505542;MEX;1930;1990;1990;1990;3;4;0;0;0;5;1;L4542;1930;1943;1960;x
Toledo Hiram;4505543;MEX;1930;1930;1939;1990;1;6;4608;1;0;2;1;L4543;1930;1943;1960;x
Zermenao Araico;4505544;MEX;1941;1944;1990;1990;3;5;4096;1;0;5;1;L4544;1941;1960;1960;x
Cardenas Rodriguez;4505545;MEX;1942;1945;1990;1990;3;4;0;1;0;5;2;L4545;1942;1960;1960;x
Carranza Rodriguez;4505546;MEX;1943;1990;1990;1990;3;5;4096;0;0;5;2;L4546;1943;1960;1960;x
Espinosa Fuentes;4505547;MEX;1942;1990;1990;1990;3;4;0;0;0;5;2;L4547;1942;1947;1960;x
Espinoza Galván;4505548;MEX;1941;1990;1990;1990;3;4;65536;0;0;5;2;L4548;1941;1960;1960;x
Fernandez Lopez Portillo;4505549;MEX;1944;1990;1990;1990;3;4;0;0;0;5;2;L4549;1944;1960;1960;x
Fiero Villalobos;4505550;MEX;1942;1944;1990;1990;2;5;0;1;0;5;2;L4550;1942;1960;1960;x
Gorriz;4505551;MEX;1930;1990;1990;1990;3;4;0;0;0;5;2;L4551;1930;1941;1960;x
Guillermo Villasina;4505552;MEX;1930;1930;1990;1990;2;4;0;1;0;5;2;L4552;1930;1941;1960;x
Macias Alvarez;4505553;MEX;1930;1930;1990;1990;2;5;131584;1;0;5;2;L4553;1930;1941;1960;x
Olachea Aviles;4505554;MEX;1943;1946;1990;1990;3;5;0;1;0;5;2;L4554;1943;1960;1960;x
Rojas Razo;4505555;MEX;1940;1945;1990;1990;3;5;16384;1;0;5;2;L4555;1940;1960;1960;x
Ruiz Gavino;4505556;MEX;1930;1938;1990;1990;2;6;32768;1;0;5;2;L4556;1930;1940;1960;x
Salinas Camina;4505557;MEX;1937;1940;1941;1990;1;5;4096;2;0;5;2;L4557;1937;1960;1960;x
Salinas Carraza;4505558;MEX;1941;1990;1990;1990;3;4;0;0;0;5;2;L4558;1941;1946;1960;x
Sildar;4505559;MEX;1930;1990;1990;1990;3;5;131072;0;0;5;2;L4559;1930;1943;1960;x
Vega Santander;4505560;MEX;1944;1990;1990;1990;3;4;0;0;0;5;2;L4560;1944;1960;1960;x
Aguilar;4505561;MEX;1913;1913;1913;1930;1;5;773;1;0;3;0;6639;1913;1927;1999;x
Altamirano;4505562;MEX;1913;1930;1930;1930;1;4;0;1;0;3;0;unknownleader;1913;1914;1999;x
Argumedo;4505563;MEX;1913;1930;1930;1930;1;5;0;0;0;3;0;917;1913;1916;1999;x
Beltrán Castañares;4505564;MEX;1913;1914;1930;1930;1;4;0;1;0;3;0;7236;1913;1930;1999;x
Blanquet;4505565;MEX;1913;1930;1930;1930;1;4;773;2;0;3;0;912;1913;1918;1999;x
Bravo;4505566;MEX;1913;1930;1930;1930;1;6;773;0;0;3;0;7221;1913;1918;1999;x
Cartón;4505567;MEX;1913;1930;1930;1930;1;4;0;1;0;3;0;unknownleader;1913;1914;1999;x
Cejudo;4505568;MEX;1916;1930;1930;1930;1;4;0;1;0;3;0;unknownleader;1916;1930;1999;x
Carmen Curiel;4505569;MEX;1913;1930;1930;1930;1;6;773;1;0;3;0;unknownleader;1913;1915;1999;x
Casso López;4505570;MEX;1913;1914;1930;1930;1;6;512;1;0;3;0;unknownleader;1913;1925;1999;x
Chacón;4505571;MEX;1913;1930;1930;1930;1;4;0;1;0;3;0;unknownleader;1913;1930;1999;x
Dávila;4505572;MEX;1914;1930;1930;1930;1;6;0;0;0;3;0;unknownleader;1914;1927;1999;x
Delgadillo;4505573;MEX;1914;1930;1930;1930;1;5;0;1;0;3;0;unknownleader;1914;1930;1999;x
De Moure;4505574;MEX;1913;1913;1930;1930;1;4;0;1;0;3;0;unknownleader;1913;1930;1999;x
Eguía Lis;4505575;MEX;1913;1930;1930;1930;1;5;512;1;0;3;0;unknownleader;1913;1917;1999;x
Escandón y Barrón;4505576;MEX;1913;1913;1913;1930;1;4;0;2;0;3;0;8315;1913;1926;1999;x
Gallardo;4505577;MEX;1913;1930;1930;1930;1;4;0;1;0;3;0;unknownleader;1913;1914;1999;x
Gil;4505578;MEX;1913;1930;1930;1930;1;4;0;0;0;3;0;unknownleader;1913;1922;1999;x
Gorostieta y Velarde;4505579;MEX;1913;1930;1930;1930;1;5;0;1;0;3;0;2832;1913;1929;1999;x
Harrotian;4505580;MEX;1913;1913;1930;1930;1;4;0;1;0;3;0;unknownleader;1913;1930;1999;x
Huerta;4505581;MEX;1913;1913;1913;1930;1;4;773;1;0;3;0;8363;1913;1916;1999;x
Jiménez Castro;4505582;MEX;1913;1930;1930;1930;1;5;0;0;0;3;0;unknownleader;1913;1914;1999;x
Lucas;4505583;MEX;1913;1930;1930;1930;1;5;773;1;0;3;0;unknownleader;1913;1917;1999;x
Lojero;4505584;MEX;1913;1930;1930;1930;1;5;773;1;0;3;0;unknownleader;1913;1923;1999;x
Maas Águila;4505585;MEX;1913;1914;1930;1930;1;6;0;1;0;3;0;unknownleader;1913;1930;1999;x
Maas Flores;4505586;MEX;1913;1930;1930;1930;1;5;0;1;0;3;0;unknownleader;1913;1914;1999;x
Martínez;4505587;MEX;1913;1930;1930;1930;1;5;773;0;0;3;0;unknownleader;1913;1920;1999;x
Maldonado;4505588;MEX;1913;1930;1930;1930;1;4;0;1;0;3;0;unknownleader;1913;1914;1999;x
