Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Badrak;330000;MON;1930;1930;1938;1990;1;4;9;1;0;3;0;L330000;1930;1941;1960;x
Chimid;330001;MON;1930;1930;1930;1938;0;3;0;1;0;5;0;L330001;1930;1941;1960;x
Choibalsan;330002;MON;1930;1930;1938;1941;1;4;16;2;0;5;0;L330002;1930;1960;1960;x
Demchegdongrov;330003;MON;1930;1938;1990;1990;2;3;0;1;0;4;0;L330003;1930;1941;1960;x
Duudei;330004;MON;1939;1941;1990;1990;2;3;1;1;0;5;0;L330004;1939;1960;1960;x
Feklenko;330005;MON;1941;1990;1990;1990;3;3;4;0;0;5;0;L330005;1941;1960;1960;x
Irgel;330006;MON;1939;1945;1990;1990;3;4;0;1;0;5;0;L330006;1939;1960;1960;x
Ivanyuk;330007;MON;1941;1990;1990;1990;3;3;2;0;0;5;0;L330007;1941;1947;1960;x
Kryuchenkin;330008;MON;1941;1990;1990;1990;3;3;1;0;0;5;0;L330008;1941;1960;1960;x
Kuliev;330009;MON;1930;1942;1990;1990;3;4;64;1;0;5;0;L330009;1930;1960;1960;x
Lee Shou-hsin;330010;MON;1941;1943;1990;1990;2;3;256;1;0;2;0;L330010;1941;1960;1960;x
Luvsan;330011;MON;1930;1930;1930;1990;1;3;0;1;0;5;0;L330011;1930;1938;1960;x
Lyibangryyan;330012;MON;1941;1945;1990;1990;3;4;4;1;0;5;0;L330012;1941;1960;1960;x
Mahbarid;330013;MON;1942;1944;1990;1990;2;3;0;1;0;5;0;L330013;1942;1960;1960;x
Mindro;330014;MON;1940;1990;1990;1990;3;4;128;0;0;5;0;L330014;1940;1960;1960;x
Missan;330015;MON;1941;1990;1990;1990;3;3;32;0;0;5;0;L330015;1941;1960;1960;x
Nikolenko;330016;MON;1941;1990;1990;1990;3;4;8;0;0;5;0;L330016;1941;1944;1960;x
