Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Behrendt;544000;MTN;1930;1930;1942;1990;1;2;2;1;0;5;0;M544028;1930;1960;1960;x
Beutler;544001;MTN;1942;1990;1990;1990;3;3;32;0;0;5;0;L544001;1943;1960;1960;x
Blümke;544002;MTN;1941;1990;1990;1990;3;4;256;0;0;5;0;L544002;1941;1960;1960;x
Cheric;544003;MTN;1930;1940;1990;1990;2;3;16;0;0;5;0;M544030;1930;1960;1960;x
Danilo I;544004;MTN;1930;1930;1930;1930;0;1;0;0;0;5;0;L544004;1930;1960;1960;x
Bahovic;544005;MTN;1940;1945;1990;1990;2;4;4;1;0;5;0;L544005;1940;1960;1960;x
de Batchberg;544006;MTN;1930;1930;1990;1990;2;3;516;1;0;5;0;L544006;1930;1939;1960;x
Deutsch;544007;MTN;1942;1990;1990;1990;3;5;256;1;0;5;0;L544007;1942;1960;1960;x
Djilas;544008;MTN;1942;1990;1990;1990;3;2;2;0;0;5;0;L544008;1942;1960;1960;x
Djukanovic;544009;MTN;1940;1990;1990;1990;3;3;1;0;0;5;0;L544009;1940;1960;1960;x
Djurisic;544010;MTN;1930;1930;1941;1990;2;3;2;1;0;5;0;M544014;1930;1960;1960;x
Feller;544011;MTN;1943;1990;1990;1990;3;3;128;0;0;5;0;L544011;1943;1960;1960;x
Filipovic;544012;MTN;1942;1946;1990;1990;2;3;1;1;0;5;0;M544025;1942;1960;1960;x
Finger;544013;MTN;1942;1990;1990;1990;3;3;64;0;0;5;0;L544013;1942;1960;1960;x
Gallwitz;544014;MTN;1940;1990;1990;1990;3;4;0;0;0;5;0;L544014;1940;1946;1960;x
Gojna;544015;MTN;1930;1990;1990;1990;3;3;513;1;0;5;0;M544007;1930;1944;1960;x
Gothsche;544016;MTN;1941;1990;1990;1990;3;3;0;0;0;5;0;L544016;1941;1960;1960;x
Grolig;544017;MTN;1942;1990;1990;1990;3;4;128;0;0;5;0;L544017;1942;1960;1960;x
Günther;544018;MTN;1940;1990;1990;1990;3;3;0;0;0;5;0;L544018;1940;1960;1960;x
Gvozdenovic;544019;MTN;1930;1930;1930;1990;1;4;640;1;0;5;0;M544008;1930;1942;1960;x
Haus;544020;MTN;1942;1990;1990;1990;3;4;32;0;0;5;0;L544020;1942;1960;1960;x
Henke;544021;MTN;1942;1990;1990;1990;3;4;1;0;0;5;0;L544021;1942;1960;1960;x
Herfurth;544022;MTN;1940;1990;1990;1990;3;3;4;0;0;5;0;L544022;1940;1960;1960;x
Höcherl;544023;MTN;1941;1990;1990;1990;3;3;2;0;0;5;0;L544023;1942;1947;1960;x
Jankovic;544024;MTN;1930;1930;1930;1990;1;4;513;1;0;5;0;M544029;1930;1941;1960;x
Martinovic;544025;MTN;1930;1930;1990;1990;2;3;514;1;0;5;0;M544009;1930;1941;1960;x
Milosevic;544026;MTN;1940;1990;1990;1990;3;3;256;0;0;5;0;L544026;1940;1960;1960;x
Petrovic;544027;MTN;1930;1990;1990;1990;3;2;0;0;0;5;0;M544033;1930;1960;1960;x
Spruner von Mertz;544028;MTN;1939;1990;1990;1990;3;4;2;0;0;5;0;L544028;1940;1960;1960;x
Tirkuvic;544029;MTN;1938;1942;1990;1990;2;3;64;1;0;5;0;M544024;1938;1960;1960;x
