Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Amharche;531000;MOR;1945;1990;1990;1990;3;2;1;0;0;5;0;L531000;1945;1960;1960;x
Amyot d'Inville;531001;MOR;1939;1990;1990;1990;3;4;256;0;0;5;0;L531001;1939;1944;1960;x
Bougrine;531002;MOR;1945;1990;1990;1990;3;2;1;0;0;5;0;L531002;1945;1960;1960;x
Boulhimez;531003;MOR;1946;1990;1990;1990;3;2;0;0;0;5;0;L531003;1946;1960;1960;x
Chodron de Courcel;531004;MOR;1942;1990;1990;1990;3;5;132;0;0;5;0;L531004;1942;1960;1960;x
de Hauteclocque;531005;MOR;1941;1990;1990;1990;3;4;4;0;0;5;0;L531005;1941;1960;1960;x
de la Bollardiere;531006;MOR;1942;1946;1990;1990;2;4;4;1;0;5;0;M531029;1942;1960;1960;x
Devigny;531007;MOR;1941;1946;1990;1990;2;3;2;1;0;5;0;L531007;1941;1960;1960;x
Dlimi;531008;MOR;1942;1990;1990;1990;3;2;16;0;0;5;0;M531028;1942;1960;1960;x
Dodelier;531009;MOR;1930;1990;1990;1990;3;4;1;0;0;5;0;L531009;1930;1941;1960;x
Gharbaoui;531010;MOR;1945;1990;1990;1990;3;2;0;0;0;5;0;M531030;1945;1960;1960;x
Guillaume;531011;MOR;1930;1930;1990;1990;2;3;5;1;0;5;0;M531008;1930;1945;1960;x
Hadjira;531012;MOR;1930;1990;1990;1990;3;2;17;0;0;5;0;M531031;1930;1945;1960;x
Jeanperrin;531013;MOR;1940;1945;1990;1990;2;3;1;1;0;5;0;M531033;1940;1960;1960;x
la Guillin;531014;MOR;1930;1990;1990;1990;3;3;32;0;0;5;0;M531007;1930;1946;1960;x
le Goasguen;531015;MOR;1939;1944;1990;1990;3;5;132;2;0;5;0;L531015;1939;1960;1960;x
Litas;531016;MOR;1938;1990;1990;1990;3;3;64;0;0;5;0;L531016;1938;1960;1960;x
Madbouh;531017;MOR;1945;1990;1990;1990;3;2;2;0;0;5;0;L531017;1945;1960;1960;x
Nariman;531018;MOR;1930;1990;1990;1990;3;2;1;0;0;5;0;L531018;1930;1942;1960;x
Nmichi;531019;MOR;1943;1946;1990;1990;2;3;2;1;0;5;0;M531034;1943;1960;1960;x
Oufkir;531020;MOR;1945;1990;1990;1990;3;2;0;0;0;5;0;M531024;1945;1960;1960;x
