Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
da Camara Pina;569000;MOZ;1941;1990;1990;1990;3;5;256;0;0;5;0;L569000;1941;1960;1960;x
da Costa Lopes da Silva;569001;MOZ;1939;1990;1990;1990;3;4;128;0;0;5;0;M569026;1939;1960;1960;x
da Rocha Belez Ferraz;569002;MOZ;1938;1942;1990;1990;2;4;4;1;0;5;0;L569002;1938;1960;1960;x
de Barros Rodrigues;569003;MOZ;1930;1940;1942;1990;2;4;2;2;0;5;0;M569027;1930;1960;1960;x
de Castro de Abreu é Mota;569004;MOZ;1930;1930;1990;1990;2;4;514;1;0;5;0;L569004;1930;1942;1960;x
de Silva Bastos;569005;MOZ;1938;1940;1990;1990;2;4;2;1;0;5;0;L569005;1938;1960;1960;x
Ivens Ferraz;569006;MOZ;1930;1930;1942;1990;1;4;4;1;0;5;0;M569024;1930;1960;1960;x
Kaulza de Arriaga;569007;MOZ;1944;1990;1990;1990;3;6;261;0;0;5;0;M569021;1944;1960;1960;x
Lobato Guerra;569008;MOZ;1930;1940;1990;1990;3;4;64;1;0;5;0;M569025;1930;1960;1960;x
Martins de Carvalho;569009;MOZ;1930;1930;1930;1990;1;5;513;1;0;5;0;M569008;1930;1942;1960;x
Miranda Cabral;569010;MOZ;1930;1930;1990;1990;2;5;515;1;0;5;0;L569010;1930;1960;1960;x
Nunes Gomes;569011;MOZ;1944;1990;1990;1990;3;5;4;0;0;5;0;M569029;1944;1960;1960;x
Pereira Cabral;569012;MOZ;1930;1930;1930;1930;0;4;513;1;0;5;0;M569001;1930;1941;1960;x
Silva Nunes;569013;MOZ;1941;1990;1990;1990;3;4;128;0;0;5;0;M569022;1941;1960;1960;x
Sinel de Cordes;569014;MOZ;1930;1990;1990;1990;3;2;512;0;0;5;0;L569014;1930;1960;1960;x
Taveira Pereira;569015;MOZ;1941;1990;1990;1990;3;3;128;0;0;5;0;M569027;1941;1960;1960;x
de Sousa é Vasconcelos;569016;MOZ;1930;1930;1930;1990;1;5;8704;1;0;5;1;M569003;1930;1945;1960;x
Garcia Rosado;569017;MOZ;1930;1930;1990;1990;2;3;0;0;0;5;1;M569009;1930;1960;1960;x
Pereira Bastos;569018;MOZ;1930;1990;1990;1990;3;3;2048;0;0;5;1;L569018;1930;1960;1960;x
Ponjo;569019;MOZ;1945;1990;1990;1990;3;3;4096;0;0;5;1;M569031;1945;1960;1960;x
Rodrigues Ribeiro;569020;MOZ;1938;1990;1990;1990;3;3;1024;0;0;5;1;M569030;1938;1945;1960;x
Antunes Tomas;569021;MOZ;1940;1943;1990;1990;2;4;16384;1;0;5;2;L569021;1940;1960;1960;x
Conceicao Neves;569022;MOZ;1940;1945;1990;1990;3;3;0;1;0;5;2;M569006;1940;1960;1960;x
Nunes de Oliveira;569023;MOZ;1930;1930;1990;1990;2;3;4096;1;0;5;2;M569002;1930;1960;1960;x
Sá Aruajo;569024;MOZ;1939;1942;1990;1990;2;4;4096;1;0;5;2;M569010;1939;1960;1960;x
Val-Covo;569025;MOZ;1941;1990;1990;1990;3;3;131072;0;0;5;2;M569032;1941;1960;1960;x
Commander;569900;MOZ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;569901;MOZ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;569902;MOZ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;569903;MOZ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;569904;MOZ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;569905;MOZ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;569906;MOZ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;569907;MOZ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;569908;MOZ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;569909;MOZ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;569910;MOZ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;569911;MOZ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;569912;MOZ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;569913;MOZ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;569914;MOZ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;569915;MOZ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;569916;MOZ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;569917;MOZ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;569918;MOZ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;569919;MOZ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;569920;MOZ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;569921;MOZ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;569922;MOZ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;569923;MOZ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;569924;MOZ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;569925;MOZ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;569926;MOZ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;569927;MOZ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;569928;MOZ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;569929;MOZ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;569930;MOZ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;569931;MOZ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;569932;MOZ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;569933;MOZ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;569934;MOZ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;569935;MOZ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;569936;MOZ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;569937;MOZ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;569938;MOZ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;569939;MOZ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;569940;MOZ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;569941;MOZ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;569942;MOZ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;569943;MOZ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;569944;MOZ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;569945;MOZ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;569946;MOZ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;569947;MOZ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;569948;MOZ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;569949;MOZ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;569950;MOZ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;569951;MOZ;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;569952;MOZ;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;569953;MOZ;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;569954;MOZ;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;569955;MOZ;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;569956;MOZ;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;569957;MOZ;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;569958;MOZ;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;569959;MOZ;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;569960;MOZ;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;569961;MOZ;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;569962;MOZ;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
