Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Alonso;3400;SPA;1930;1990;1990;1990;3;4;1;0;0;5;0;L3400;1930;1938;1960;x
Alonso Vega;3401;SPA;1930;1940;1945;1990;3;7;16;3;0;5;0;L3401;1930;1960;1960;x
Álvarez Arenas;3402;SPA;1930;1937;1990;1990;2;4;0;1;0;5;0;L3402;1930;1945;1960;x
Aranda Mata;3403;SPA;1930;1930;1990;1990;2;6;32;1;0;3;0;L3403;1930;1941;1960;x
Arrese Magra;3404;SPA;1941;1943;1990;1990;2;4;0;1;0;5;0;L3404;1941;1960;1960;x
Asensio Cabanillas;3405;SPA;1930;1937;1942;1990;2;6;0;2;0;5;0;L3405;1930;1960;1960;x
Aznar Gerner;3406;SPA;1930;1990;1990;1990;3;4;0;0;0;4;0;L3406;1930;1940;1960;x
Bautista Sanchéz;3407;SPA;1930;1990;1990;1990;3;7;64;0;0;5;0;L3407;1930;1960;1960;x
Barrera;3408;SPA;1930;1930;1990;1990;2;4;0;0;0;5;0;L3408;1930;1938;1960;x
Barrón Ortiz;3409;SPA;1937;1941;1990;1990;3;5;2;1;0;5;0;L3409;1937;1943;1960;x
Barroso Sánchez-Guerra;3410;SPA;1938;1990;1990;1990;3;4;0;0;0;5;0;L3410;1938;1946;1960;x
Beigbéder Atienza;3411;SPA;1930;1939;1942;1990;3;6;1;3;0;5;0;L3411;1930;1960;1960;x
Benjumea;3412;SPA;1937;1942;1990;1990;3;5;256;1;0;5;0;L3412;1937;1960;1960;x
Bergonzoli;3413;SPA;1930;1930;1990;1990;2;5;4;1;0;3;0;L3413;1930;1960;1960;x
Cabanellas Ferrer;3414;SPA;1930;1930;1930;1990;1;6;514;1;0;4;0;L3414;1930;1938;1960;x
Castejón Espinosa;3415;SPA;1930;1990;1990;1990;3;5;0;0;0;5;0;L3415;1930;1960;1960;x
Cavalcanti;3416;SPA;1930;1930;1930;1990;1;4;513;1;0;5;0;L3416;1930;1960;1960;x
