Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Baber Rana;410000;NEP;1938;1941;1990;1990;2;2;16;1;0;5;0;L410000;1938;1960;1960;x
Bond;410001;NEP;1930;1990;1990;1990;3;4;64;0;0;5;0;L410001;1930;1943;1960;x
Dhir Rana;410002;NEP;1941;1946;1990;1990;3;3;4;1;0;5;0;L410002;1941;1960;1960;x
Gehendra Rana;410003;NEP;1942;1990;1990;1990;3;2;1;0;0;5;0;L410003;1942;1960;1960;x
Kiran Rana;410004;NEP;1930;1939;1990;1990;2;2;1;1;0;5;0;L410004;1930;1943;1960;x
Mainwaring;410005;NEP;1943;1990;1990;1990;3;3;128;1;0;5;0;L410005;1943;1960;1960;x
Mohan Rana;410006;NEP;1930;1990;1990;1990;3;2;2;0;0;5;0;L410006;1930;1941;1960;x
Nara Rana;410007;NEP;1940;1945;1947;1990;1;3;16;2;0;5;0;L410007;1940;1960;1960;x
Ojasuni Rana;410008;NEP;1930;1930;1930;1930;0;2;512;1;0;5;0;L410008;1930;1941;1960;x
Padma Rana;410009;NEP;1930;1930;1930;1990;1;2;512;1;0;5;0;L410009;1930;1939;1960;x
Potter;410010;NEP;1939;1939;1990;1990;2;3;0;1;0;5;0;L410010;1939;1945;1960;x
Rudra Rana;410011;NEP;1937;1941;1943;1990;1;3;2;2;0;5;0;L410011;1937;1960;1960;x
Thapa;410012;NEP;1940;1942;1990;1990;2;2;0;1;0;5;0;L410012;1940;1960;1960;x
Collins;410013;NEP;1940;1990;1990;1990;3;3;0;0;0;5;1;L410013;1940;1946;1960;x
Rudra Rana;410014;NEP;1937;1941;1990;1990;2;2;0;0;0;5;1;L410014;1937;1960;1960;x
Collins;410015;NEP;1940;1990;1990;1990;3;2;131072;0;0;5;2;L410015;1940;1946;1960;x
Gehendra Rana;410016;NEP;1942;1944;1990;1990;3;2;0;1;0;5;2;L410016;1942;1960;1960;x
Kiran Rana;410017;NEP;1930;1939;1990;1990;2;2;0;1;0;5;2;L410017;1930;1943;1960;x
Commander;410900;NEP;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;410901;NEP;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;410902;NEP;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;410903;NEP;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;410904;NEP;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;410905;NEP;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;410906;NEP;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;410907;NEP;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;410908;NEP;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;410909;NEP;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;410910;NEP;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;410911;NEP;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;410912;NEP;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;410913;NEP;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;410914;NEP;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;410915;NEP;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;410916;NEP;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;410917;NEP;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;410918;NEP;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;410919;NEP;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;410920;NEP;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;410921;NEP;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;410922;NEP;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;410923;NEP;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;410924;NEP;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;410925;NEP;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;410926;NEP;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;410927;NEP;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
