Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Andrews;58000;NZL;1943;1990;1990;1990;3;4;0;1;0;5;0;L58000;1943;1960;1960;x
Awatere;58001;NZL;1941;1990;1990;1990;3;5;16;1;0;5;0;L58001;1941;1946;1960;x
Barrowclough;58002;NZL;1940;1944;1990;1990;3;5;4;2;0;5;0;L58002;1940;1960;1960;x
Burrows;58003;NZL;1940;1990;1990;1990;3;4;0;1;0;5;0;L58003;1940;1942;1960;x
Clifton;58004;NZL;1930;1990;1990;1990;3;3;32;1;0;5;0;L58004;1930;1942;1960;x
Cunningham;58005;NZL;1939;1990;1990;1990;3;3;0;1;0;5;0;L58005;1939;1943;1960;x
Duigan;58006;NZL;1930;1930;1990;1990;2;4;2;1;0;5;0;L58006;1930;1941;1960;x
Falconer;58007;NZL;1944;1990;1990;1990;3;4;4;1;0;5;0;L58007;1944;1960;1960;x
Falla;58008;NZL;1938;1940;1990;1990;2;2;1;1;0;5;0;L58008;1938;1945;1960;x
Fitzgerald;58009;NZL;1943;1990;1990;1990;3;4;256;1;0;5;0;L58009;1943;1960;1960;x
Freyberg;58010;NZL;1930;1937;1939;1990;1;8;5;4;0;5;0;L58010;1930;1960;1960;x
Gentry;58011;NZL;1930;1942;1990;1990;2;5;64;1;0;5;0;L58011;1930;1960;1960;x
Goss;58012;NZL;1941;1990;1990;1990;3;4;0;1;0;5;0;L58012;1941;1960;1960;x
Hanson;58013;NZL;1942;1990;1990;1990;3;5;33;1;0;5;0;L58013;1942;1946;1960;x
Hargest;58014;NZL;1930;1990;1990;1990;3;3;64;1;0;5;0;L58014;1930;1941;1960;x
Hunt;58015;NZL;1944;1990;1990;1990;3;4;0;1;0;5;0;L58015;1944;1960;1960;x
Inglis;58016;NZL;1930;1942;1990;1990;2;5;128;2;0;5;0;L58016;1930;1960;1960;x
Jameson;58017;NZL;1944;1990;1990;1990;3;4;256;1;0;5;0;L58017;1944;1960;1960;x
Kenrick;58018;NZL;1930;1990;1990;1990;3;4;1;1;0;5;0;L58018;1930;1942;1960;x
Kippenberger;58019;NZL;1938;1944;1990;1990;3;5;4;2;0;5;0;L58019;1938;1960;1960;x
Mason;58020;NZL;1930;1990;1990;1990;3;3;0;1;0;5;0;L58020;1930;1943;1960;x
McKenzie;58021;NZL;1939;1990;1990;1990;3;4;256;1;0;5;0;L58021;1939;1946;1960;x
Mead;58022;NZL;1930;1938;1990;1990;2;4;514;1;0;5;0;L58022;1930;1942;1960;x
Miles;58023;NZL;1930;1990;1990;1990;3;4;64;1;0;5;0;L58023;1930;1943;1960;x
Mitchell;58024;NZL;1939;1990;1990;1990;3;4;32;1;0;5;0;L58024;1939;1946;1960;x
Nichols;58025;NZL;1930;1930;1990;1990;2;5;512;1;0;5;0;L58025;1930;1939;1960;x
Park;58026;NZL;1930;1941;1990;1990;2;4;0;2;0;5;0;L58026;1930;1944;1960;x
Parkinson;58027;NZL;1940;1943;1990;1990;3;6;192;2;0;5;0;L58027;1940;1960;1960;x
Peren;58028;NZL;1940;1990;1990;1990;3;5;256;1;0;5;0;L58028;1940;1960;1960;x
Pleasants;58029;NZL;1945;1990;1990;1990;3;4;4;1;0;5;0;L58029;1945;1960;1960;x
Porritt;58030;NZL;1945;1990;1990;1990;3;5;0;1;0;5;0;L58030;1945;1960;1960;x
Puttick;58031;NZL;1930;1930;1990;1990;2;5;514;1;0;5;0;L58031;1930;1946;1960;x
Queree;58032;NZL;1944;1990;1990;1990;3;4;2;1;0;5;0;L58032;1944;1960;1960;x
Romans;58033;NZL;1939;1990;1990;1990;3;4;1;1;0;5;0;L58033;1939;1942;1960;x
Row;58034;NZL;1943;1990;1990;1990;3;3;0;1;0;5;0;L58034;1943;1960;1960;x
Russell;58035;NZL;1930;1930;1990;1990;2;4;0;1;0;5;0;L58035;1930;1941;1960;x
Saunders;58036;NZL;1930;1990;1990;1990;3;3;0;1;0;5;0;L58036;1930;1941;1960;x
Sinclair-Burgess;58037;NZL;1930;1930;1930;1990;1;6;514;2;0;5;0;L58037;1930;1938;1960;x
Stevens;58038;NZL;1937;1940;1990;1990;2;3;0;2;0;5;0;L58038;1937;1945;1960;x
Stewart;58039;NZL;1939;1942;1990;1990;2;4;128;2;0;5;0;L58039;1939;1944;1960;x
Tuker;58040;NZL;1939;1943;1990;1990;2;6;128;2;0;5;0;L58040;1939;1960;1960;x
Weir;58041;NZL;1938;1944;1990;1990;3;6;64;2;0;5;0;L58041;1939;1960;1960;x
Drummond;58042;NZL;1930;1941;1990;1990;2;4;0;2;0;5;1;L58042;1930;1946;1960;x
Faulkner;58043;NZL;1942;1990;1990;1990;3;5;8192;1;0;5;1;L58043;1942;1960;1960;x
Field;58044;NZL;1943;1946;1990;1990;3;4;0;2;0;5;1;L58044;1943;1960;1960;x
Hilliard;58045;NZL;1930;1943;1990;1990;2;4;1024;2;0;5;1;L58045;1930;1946;1960;x
Horan;58046;NZL;1930;1930;1990;1990;2;5;4096;1;0;5;1;L58046;1930;1942;1960;x
Lake;58047;NZL;1944;1990;1990;1990;3;5;0;1;0;5;1;L58047;1944;1960;1960;x
MacDonald;58048;NZL;1938;1990;1990;1990;3;4;0;1;0;5;1;L58048;1938;1960;1960;x
MacNulty;58049;NZL;1930;1930;1990;1990;2;4;0;1;0;5;1;L58049;1930;1940;1960;x
Phipps;58050;NZL;1942;1990;1990;1990;3;5;0;1;0;5;1;L58050;1942;1960;1960;x
Simpson;58051;NZL;1945;1990;1990;1990;3;4;0;1;0;5;1;L58051;1945;1960;1960;x
Stratton;58052;NZL;1930;1930;1939;1990;1;5;0;2;0;5;1;L58052;1930;1947;1960;x
Bayley;58053;NZL;1938;1942;1990;1990;2;4;131072;2;0;5;2;L58053;1938;1944;1960;x
Blake;58054;NZL;1943;1945;1990;1990;2;5;131072;2;0;5;2;L58054;1943;1960;1960;x
Carr;58055;NZL;1938;1940;1942;1945;1;6;16384;4;0;5;2;L58055;1938;1947;1960;x
Dall-Mackie;58056;NZL;1942;1990;1990;1990;3;4;4096;1;0;5;2;L58056;1942;1946;1960;x
Deere;58057;NZL;1930;1941;1990;1990;2;5;0;2;0;5;2;L58057;1930;1960;1960;x
Issit;58058;NZL;1930;1939;1943;1990;1;6;0;3;0;5;2;L58058;1930;1960;1960;x
McGregor;58059;NZL;1930;1930;1942;1990;1;5;0;2;0;5;2;L58059;1930;1947;1960;x
Newton;58060;NZL;1943;1990;1990;1990;3;4;0;1;0;5;2;L58060;1943;1960;1960;x
Player;58061;NZL;1944;1990;1990;1990;3;5;0;1;0;5;2;L58061;1944;1960;1960;x
Robinson;58062;NZL;1930;1990;1990;1990;3;5;0;1;0;5;2;L58062;1930;1940;1960;x
Roediger;58063;NZL;1941;1990;1990;1990;3;5;32768;1;0;5;2;L58063;1941;1960;1960;x
Stott;58064;NZL;1940;1990;1990;1990;3;5;4096;1;0;5;2;L58064;1940;1946;1960;x
Stratton;58065;NZL;1938;1940;1941;1990;1;6;0;3;0;5;2;L58065;1938;1960;1960;x
Trousdale;58066;NZL;1943;1990;1990;1990;3;4;4096;1;0;5;2;L58066;1943;1960;1960;x
Watts;58067;NZL;1941;1990;1990;1990;3;4;0;1;0;5;2;L58067;1941;1947;1960;x
Freyberg;58069;NZL;1914;1932;1932;1932;3;5;4;1;0;5;0;5760;1914;1932;1999;x
Russell;58070;NZL;1914;1932;1932;1932;3;7;0;3;0;5;0;5761;1914;1932;1999;x
Park;58071;NZL;1914;1932;1932;1932;3;4;0;0;0;5;2;5762;1914;1932;1999;x
Chaytor;58072;NZL;1914;1932;1932;1932;3;7;0;3;0;5;0;5763;1914;1932;1999;x
Caldwell;58073;NZL;1914;1932;1932;1932;3;4;0;0;0;5;2;5764;1914;1932;1999;x
Bannerman;58074;NZL;1914;1932;1932;1932;3;4;0;0;0;5;2;5765;1914;1932;1999;x
Commander;58900;NZL;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;58901;NZL;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;58902;NZL;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;58903;NZL;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;58904;NZL;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;58905;NZL;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;58906;NZL;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;58907;NZL;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;58908;NZL;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;58909;NZL;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;58910;NZL;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;58911;NZL;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;58912;NZL;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;58913;NZL;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;58914;NZL;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;58915;NZL;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;58916;NZL;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;58917;NZL;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;58918;NZL;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;58919;NZL;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;58920;NZL;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;58921;NZL;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;58922;NZL;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;58923;NZL;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;58924;NZL;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;58925;NZL;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;58926;NZL;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;58927;NZL;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;58928;NZL;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;58929;NZL;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;58930;NZL;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;58931;NZL;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;58932;NZL;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;58933;NZL;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;58934;NZL;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;58935;NZL;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;58936;NZL;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;58937;NZL;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;58938;NZL;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;58939;NZL;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;58940;NZL;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;58941;NZL;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;58942;NZL;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;58943;NZL;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;58944;NZL;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;58945;NZL;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;58946;NZL;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;58947;NZL;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;58948;NZL;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;58949;NZL;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;58950;NZL;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;58951;NZL;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;58952;NZL;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;58953;NZL;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;58954;NZL;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;58955;NZL;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;58956;NZL;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;58957;NZL;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;58958;NZL;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;58959;NZL;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;58960;NZL;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;58961;NZL;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;58962;NZL;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;58963;NZL;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;58964;NZL;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
